"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"石神井公園駅","石神井公園駅（しゃくじいこうえんえき）","https://ja.wikipedia.org/wiki/石神井公園駅","北緯35度44分36.8秒東経139度36分25.3秒","所在地: 東京都練馬区石神井町三丁目23番10号北緯35度44分36.8秒東経139度36分25.3秒﻿ / ﻿北緯35.743556度 東経139.607028度﻿ / 35.743556; 139.607028座標: 北緯35度44分36.8秒東経139度36分25.3秒﻿ / ﻿北緯35.743556度 東経139.607028度﻿ / 35.743556; 139.607028;駅番号: SI10;所属事業者: 西武鉄道;所属路線: ■池袋線;キロ程: 10.6km（池袋起点）小竹向原から7.2 km;駅構造: 高架駅;ホーム: 2面4線;乗降人員-統計年度-: 61,897人/日-2020年-;開業年月日: 1915年（大正4年）4月15日;1・2:  池袋線;3・4: 上り","日本の鉄道駅一覧_しや-しん","箇条書き","特急ならびに平日朝ラッシュ時に運行される通勤準急を除いた、全旅客営業列車が停車する。終日にわたって当駅発着の列車が設定されている。"
"市役所駅","市役所駅（しやくしょえき）","https://ja.wikipedia.org/wiki/市役所駅","北緯35度10分54秒東経136度54分19秒","所在地: 名古屋市中区三の丸三丁目1番1号北緯35度10分54秒東経136度54分19秒﻿ / ﻿北緯35.18167度 東経136.90528度﻿ / 35.18167; 136.90528座標: 北緯35度10分54秒東経136度54分19秒﻿ / ﻿北緯35.18167度 東経136.90528度﻿ / 35.18167; 136.90528;駅番号: M07;所属事業者: 名古屋市交通局（名古屋市営地下鉄）;所属路線: 名城線;キロ程: 4.8 km（大曽根起点）;駅構造: 地下駅;ホーム: 1面2線;乗車人員-統計年度-: 21,659人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 43,485人/日-2019年-;開業年月日: 1965年（昭和40年）10月15日;1:  名城線・ 名港線;2:  名城線;所在地: 名古屋市中区三の丸三丁目1番1号北緯35度10分54秒東経136度54分19秒﻿ / ﻿北緯35.18167度 東経136.90528度﻿ / 35.18167; 136.90528座標: 北緯35度10分54秒東経136度54分19秒﻿ / ﻿北緯35.18167度 東経136.90528度﻿ / 35.18167; 136.90528;駅番号: M07;所属事業者: 名古屋市交通局（名古屋市営地下鉄）;所属路線: 名城線;キロ程: 4.8 km（大曽根起点）;駅構造: 地下駅;ホーム: 1面2線;乗車人員-統計年度-: 21,659人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 43,485人/日-2019年-;開業年月日: 1965年（昭和40年）10月15日;1:  名城線・ 名港線;2:  名城線","日本の鉄道駅一覧_しや-しん","箇条書き","名古屋市役所および愛知県庁・名古屋城の最寄駅である。駅名標には通常の漢字表記とローマ字表記に加え、英訳した"City Hall"が表記されているほか、附近の主要施設である「県庁 (Prefectural Office) / 名古屋城 (Nagoya Castle)」も副駅名として表記されているが、路線上で名古屋城の最寄り駅であることを確認する術が無いことから、2022年（令和4年）度を目途に「名古屋城駅」に改称されることになった。"
"市役所前停留場 (北海道)","市役所前停留場 (北海道)（しやくしょまえていりゅうじょう・函館市企業局交通部本線）","https://ja.wikipedia.org/wiki/市役所前停留場_(北海道)","北緯41度46分9.62秒東経140度43分31.45秒","所在地: 北海道函館市大手町12-9先、18-9先北緯41度46分9.62秒東経140度43分31.45秒﻿ / ﻿北緯41.7693389度 東経140.7254028度﻿ / 41.7693389; 140.7254028﻿ (市役所前停留場)座標: 北緯41度46分9.62秒東経140度43分31.45秒﻿ / ﻿北緯41.7693389度 東経140.7254028度﻿ / 41.7693389; 140.7254028﻿ (市役所前停留場);駅番号: DY18;所属事業者: 函館市企業局交通部;所属路線: 函館市電本線;キロ程: 0.3km（函館駅前起点）湯の川より6.8 km;駅構造: 地上駅（停留場）;ホーム: 2面2線;乗降人員-統計年度-: 377人/日-2019年-;開業年月日: 1913年10月30日","日本の鉄道駅一覧_しや-しん","箇条書き",""
"市役所前駅 (千葉県)","市役所前駅 (千葉県)（しやくしょまええき・千葉都市モノレール1号線）","https://ja.wikipedia.org/wiki/市役所前駅_(千葉県)","北緯35度36分25.9秒東経140度6分28秒","所在地: 千葉市中央区千葉港地先道路北緯35度36分25.9秒東経140度6分28秒﻿ / ﻿北緯35.607194度 東経140.10778度﻿ / 35.607194; 140.10778座標: 北緯35度36分25.9秒東経140度6分28秒﻿ / ﻿北緯35.607194度 東経140.10778度﻿ / 35.607194; 140.10778;駅番号: CM02;所属事業者: 千葉都市モノレール;所属路線: ■1号線（■2号線直通含む）;キロ程: 0.7 km（千葉みなと起点）;駅構造: 高架駅;ホーム: 相対式、2面2線;乗車人員-統計年度-: 2,460人/日（降車客含まず）-2018年-;開業年月日: 1995年（平成7年）8月1日;備考: 無人駅;1:  1号線;2: 千葉みなと方面","日本の鉄道駅一覧_しや-しん","箇条書き","相対式ホーム2面2線を持つ高架駅。駅員無配置。千葉市役所と連絡通路でつながっている。"
"市役所前駅 (長野県)","市役所前駅 (長野県)（しやくしょまええき・長野電鉄長野線）","https://ja.wikipedia.org/wiki/市役所前駅_(長野県)","北緯36度38分56.9秒東経138度11分29.3秒","駅番号: N2;所属事業者: 長野電鉄;所属路線: 長野線;キロ程: 0.4 km（長野起点）;電報略号: シヤ;駅構造: 地下駅;ホーム: 2面2線;乗車人員-統計年度-: 593人/日（降車客含まず）-2019年-;開業年月日: 1928年（昭和3年）6月24日;1: ■長野線;2: 上り","日本の鉄道駅一覧_しや-しん","箇条書き","相対式ホーム2面2線を有する地下駅。有人駅である。長野大通りの下に位置し、駅舎のある地下1階には駅務室、宿直室、電気室、機械室があり、ホームは地下2階にある。改札までの地下通路は横断地下道の役割も果たしている。エスカレーターは、2番線（地下2階）から北口の改札のある地下1階の間の上り専用のみ設置されている。"
"市役所前停留場 (愛知県)","市役所前停留場 (愛知県)（しやくしょまえていりゅうじょう・豊橋鉄道東田本線）","https://ja.wikipedia.org/wiki/市役所前停留場_(愛知県)","北緯34度46分2.16秒東経137度23分33.87秒","所在地: 愛知県豊橋市八町通三丁目北緯34度46分2.16秒東経137度23分33.87秒﻿ / ﻿北緯34.7672667度 東経137.3927417度﻿ / 34.7672667; 137.3927417座標: 北緯34度46分2.16秒東経137度23分33.87秒﻿ / ﻿北緯34.7672667度 東経137.3927417度﻿ / 34.7672667; 137.3927417;駅番号:  5;所属事業者: 豊橋鉄道;所属路線: 東田本線;キロ程: 1.4 km（駅前起点）;駅構造: 地上駅;ホーム: 2面2線;開業年月日: 1925年（昭和元年）頃;備考: 営門前駅として開業。","日本の鉄道駅一覧_しや-しん","箇条書き","相対式の上屋付き安全地帯2面2線を持つ。国道1号との併用軌道上にある。"
"市役所前駅 (和歌山県)","市役所前駅 (和歌山県)（しやくしょまええき・紀州鉄道線）","https://ja.wikipedia.org/wiki/市役所前駅_(和歌山県)","北緯33度53分24.14秒東経135度9分10.88秒","所在地: 和歌山県御坊市薗351-2北緯33度53分24.14秒東経135度9分10.88秒﻿ / ﻿北緯33.8900389度 東経135.1530222度﻿ / 33.8900389; 135.1530222座標: 北緯33度53分24.14秒東経135度9分10.88秒﻿ / ﻿北緯33.8900389度 東経135.1530222度﻿ / 33.8900389; 135.1530222;所属事業者: 紀州鉄道;所属路線: 紀州鉄道線;キロ程: 2.4 km（御坊起点）;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 8人/日（降車客含まず）-2019年-;開業年月日: 1967年（昭和42年）8月30日;備考: 無人駅","日本の鉄道駅一覧_しや-しん","箇条書き","単式ホーム1面1線のみを持つ地上駅。無人駅である。ホームに上屋があるのみで駅舎や便所はないが、公衆電話と自動販売機が設置されている。"
"市役所前停留場 (広島県)","市役所前停留場 (広島県)（しやくしょまえていりゅうじょう・広島電鉄宇品線）","https://ja.wikipedia.org/wiki/市役所前停留場_(広島県)","北緯34度23分8.84秒東経132度27分16秒","所在地: 広島市中区国泰寺町1丁目北緯34度23分8.84秒東経132度27分16秒﻿ / ﻿北緯34.3857889度 東経132.45444度﻿ / 34.3857889; 132.45444﻿ (市役所前停留場)座標: 北緯34度23分8.84秒東経132度27分16秒﻿ / ﻿北緯34.3857889度 東経132.45444度﻿ / 34.3857889; 132.45444﻿ (市役所前停留場);駅番号: ●U4;所属事業者: 広島電鉄;所属路線: ■宇品線;キロ程: 1.1 km（紙屋町起点）;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 3,545人/日-2019年-;開業年月日: 1912年（大正元年）11月23日;下りホーム:;上りホーム:","日本の鉄道駅一覧_しや-しん","箇条書き","広島市役所は当停留場の東に隣接している。"
"市役所前停留場 (愛媛県)","市役所前停留場 (愛媛県)（しやくしょまえていりゅうじょう・伊予鉄道城南線）","https://ja.wikipedia.org/wiki/市役所前停留場_(愛媛県)","北緯33度50分24.12秒東経132度45分53.77秒","所在地: 愛媛県松山市二番町四丁目北緯33度50分24.12秒東経132度45分53.77秒﻿ / ﻿北緯33.8400333度 東経132.7649361度﻿ / 33.8400333; 132.7649361﻿ (市役所前電停);駅番号: 21;所属事業者: 伊予鉄道;所属路線: 城南線;キロ程: 2.8 km（道後温泉起点）;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 801人/日-2015年-;開業年月日: 1911年（明治44年）9月1日（八股電停として）;備考: * 1944年に八股停留場より改称;西側: ■2号線 環状;東側: ■1号線 環状","日本の鉄道駅一覧_しや-しん","箇条書き","かつて停留所前に歩道橋があり、松山城をバックに路面電車の撮影ができたが、歩道橋は地下駐車場の工事が始まった1996年に撤去された。"
"市役所前停留場 (鹿児島県)","市役所前停留場 (鹿児島県)（しやくしょまえていりゅうじょう・鹿児島市電第一期線）","https://ja.wikipedia.org/wiki/市役所前停留場_(鹿児島県)","北緯31度35分48.45秒東経130度33分28.46秒","所在地: 鹿児島県鹿児島市山下町北緯31度35分48.45秒東経130度33分28.46秒﻿ / ﻿北緯31.5967917度 東経130.5579056度﻿ / 31.5967917; 130.5579056﻿ (市役所前停留場);駅番号: ●I04●N04;所属事業者: 鹿児島市交通局;所属路線: 鹿児島市電第一期線（1系統・2系統）;キロ程: 2.4km（武之橋起点）鹿児島駅前から0.6 km;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 1,378人/日-2015年-;開業年月日: 1914年10月3日;所属事業者: 鹿児島市交通局;所属路線: 鹿児島市電上町線（2系統）;キロ程: 0.0 km（市役所前起点）;開業年月日: 1948年（昭和23年）12月28日;廃止年月日: 1985年（昭和60年）10月1日;備考: 鹿児島市電上町線の廃止に伴い廃駅;所在地: 鹿児島県鹿児島市山下町北緯31度35分48.45秒東経130度33分28.46秒﻿ / ﻿北緯31.5967917度 東経130.5579056度﻿ / 31.5967917; 130.5579056﻿ (市役所前停留場);駅番号: ●I04●N04;所属事業者: 鹿児島市交通局;所属路線: 鹿児島市電第一期線（1系統・2系統）;キロ程: 2.4km（武之橋起点）鹿児島駅前から0.6 km;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 1,378人/日-2015年-;開業年月日: 1914年10月3日;所属事業者: 鹿児島市交通局;所属路線: 鹿児島市電上町線（2系統）;キロ程: 0.0 km（市役所前起点）;開業年月日: 1948年（昭和23年）12月28日;廃止年月日: 1985年（昭和60年）10月1日;備考: 鹿児島市電上町線の廃止に伴い廃駅","日本の鉄道駅一覧_しや-しん","箇条書き","かつては鹿児島本線をオーバークロスし、鹿児島市清水町の清水町停留場まで行く旧2系統の上町線が当停留場から分岐していたが、国道の渋滞緩和策によって1985年10月1日限りで廃止となっている。現在は代替路線として路線バスが通っている。"
