"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"大安駅 (三重県)","大安駅（だいあんえき）","https://ja.wikipedia.org/wiki/大安駅_(三重県)","北緯35度5分31.06秒東経136度32分43.33秒","所在地: 三重県いなべ市大安町大井田1305北緯35度5分31.06秒東経136度32分43.33秒﻿ / ﻿北緯35.0919611度 東経136.5453694度﻿ / 35.0919611; 136.5453694座標: 北緯35度5分31.06秒東経136度32分43.33秒﻿ / ﻿北緯35.0919611度 東経136.5453694度﻿ / 35.0919611; 136.5453694;所属事業者: 三岐鉄道;所属路線: 三岐線;キロ程: 15.3 km（富田起点）;電報略号: ダイ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 403人/日（降車客含まず）-2019年-;開業年月日: 1931年（昭和6年）7月23日;備考: * 1986年に大井田駅から改称。","日本の鉄道駅一覧_た","箇条書き","単式ホーム1面1線を持つ地上駅。入って右側には三岐観光、左側にはいなべ市大安図書館（旧・大安町中央図書館）がある。"
"大安寺駅","大安寺駅（だいあんじえき）","https://ja.wikipedia.org/wiki/大安寺駅","北緯34度39分46.87秒東経133度53分13.37秒","所在地: 岡山市北区大安寺中町5-29北緯34度39分46.87秒東経133度53分13.37秒﻿ / ﻿北緯34.6630194度 東経133.8870472度﻿ / 34.6630194; 133.8870472﻿ (大安寺駅);駅番号: JR-U03;所属事業者: 西日本旅客鉄道（JR西日本）;所属路線: U吉備線（桃太郎線）;キロ程: 3.3 km（岡山起点）;電報略号: タア;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 345人/日（降車客含まず）-2019年-;開業年月日: 1914年（大正3年）2月25日*;備考: 無人駅（自動券売機 有）;1: U桃太郎線;2: U桃太郎線","日本の鉄道駅一覧_た","箇条書き","島式ホーム1面2線を有し行違いが可能な地上駅。互いのホームは構内踏切で連絡している。"
"第一通り駅","第一通り駅（だいいちどおりえき）","https://ja.wikipedia.org/wiki/第一通り駅","北緯34度42分26.06秒東経137度43分57.62秒","所在地: 浜松市中区田町230-28北緯34度42分26.06秒東経137度43分57.62秒﻿ / ﻿北緯34.7072389度 東経137.7326722度﻿ / 34.7072389; 137.7326722座標: 北緯34度42分26.06秒東経137度43分57.62秒﻿ / ﻿北緯34.7072389度 東経137.7326722度﻿ / 34.7072389; 137.7326722;駅番号:  02;所属事業者: 遠州鉄道;所属路線: 鉄道線;キロ程: 0.5 km（新浜松駅起点）;駅構造: 高架駅;ホーム: 1面1線;乗車人員-統計年度-: *1,462人/日（降車客含まず）-2019年-;乗降人員-統計年度-: *3,174人/日-2019年-;開業年月日: 1985年（昭和60年）12月1日;備考: * 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。","日本の鉄道駅一覧_た","箇条書き","高架化の際に設置された新駅である。仮称は田町駅であった。"
"大雲寺前停留場","大雲寺前停留場（だいうんじまえていりゅうじょう）","https://ja.wikipedia.org/wiki/大雲寺前停留場","北緯34度39分23.99秒東経133度55分34.5秒","所在地: 岡山市北区中央町・表町三丁目北緯34度39分23.99秒東経133度55分34.5秒﻿ / ﻿北緯34.6566639度 東経133.926250度﻿ / 34.6566639; 133.926250﻿ (大雲寺前停留場 *);駅番号: ○S07;所属事業者: 岡山電気軌道;所属路線: ■清輝橋線;キロ程: 1.1km（柳川起点）岡山駅前から1.6 km;駅構造: 地上駅;ホーム: 1面2線;乗降人員-統計年度-: 158人/日-2019年-;開業年月日: 1928年（昭和3年）3月18日","日本の鉄道駅一覧_た","箇条書き","島式ホーム1面2線。"
"大開駅","大開駅（だいかいえき）","https://ja.wikipedia.org/wiki/大開駅","北緯34度40分16.24秒東経135度9分42.15秒","所在地: 神戸市兵庫区水木通七丁目1B-1北緯34度40分16.24秒東経135度9分42.15秒﻿ / ﻿北緯34.6711778度 東経135.1617083度﻿ / 34.6711778; 135.1617083﻿ (大開駅)座標: 北緯34度40分16.24秒東経135度9分42.15秒﻿ / ﻿北緯34.6711778度 東経135.1617083度﻿ / 34.6711778; 135.1617083﻿ (大開駅);駅番号: HS37;所属事業者: 阪神電気鉄道（神戸高速鉄道）;所属路線: 神戸高速線（東西線）;キロ程: 1.9km（西代起点*）大阪梅田から35.2 km;駅構造: 地下駅;ホーム: 2面2線;乗車人員-統計年度-: 3,112人/日（降車客含まず）-2019年-;開業年月日: 1968年（昭和43年）4月7日;備考: * 起点→終点の方向が上り;1: ■神戸高速線;2: 下り","日本の鉄道駅一覧_た","箇条書き","↑高速長田駅"
"大学駅","大学駅（だいがくえき）","https://ja.wikipedia.org/wiki/大学駅","北緯33度11分21.50秒東経129度40分1.32秒","所在地: 長崎県佐世保市川下町北緯33度11分21.50秒東経129度40分1.32秒﻿ / ﻿北緯33.1893056度 東経129.6670333度﻿ / 33.1893056; 129.6670333;所属事業者: 松浦鉄道;所属路線: ■西九州線;キロ程: 80.9 km（有田起点）;駅構造: 高架駅;ホーム: 1面1線;乗降人員-統計年度-: 1,058人/日-2019年-;開業年月日: 1991年（平成3年）3月16日","日本の鉄道駅一覧_た","箇条書き","単式1面1線ホームの高架駅である。無人駅で駅舎は無いが、待合室がある。ホームは盛土上にある。"
"大学病院停留場","大学病院停留場（だいがくびょういんていりゅうじょう）","https://ja.wikipedia.org/wiki/大学病院停留場","北緯32度46分8.56秒東経129度51分51.06秒","所在地: 長崎県長崎市浜口町2番5号先北緯32度46分8.56秒東経129度51分51.06秒﻿ / ﻿北緯32.7690444度 東経129.8641833度﻿ / 32.7690444; 129.8641833﻿ (大学病院停留場);駅番号: 21;所属事業者: 長崎電気軌道;所属路線: 本線（■1号系統・□2号系統・■3号系統）;キロ程: 2.8km（住吉起点）赤迫から3.0 km;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 2,800人/日-2015年-;開業年月日: 1947年（昭和22年）5月16日*;備考: * 前身となる停留場は1915年開業","日本の鉄道駅一覧_た","箇条書き","停留場名が示す通り、長崎大学病院の最寄りとなる停留場である。"
"大学前駅 (長野県)","大学前駅 (長野県)（だいがくまええき・上田電鉄別所線）","https://ja.wikipedia.org/wiki/大学前駅_(長野県)","北緯36度22分15.39秒東経138度12分54.66秒","所在地: 長野県上田市下之郷字上迎284-5北緯36度22分15.39秒東経138度12分54.66秒﻿ / ﻿北緯36.3709417度 東経138.2151833度﻿ / 36.3709417; 138.2151833座標: 北緯36度22分15.39秒東経138度12分54.66秒﻿ / ﻿北緯36.3709417度 東経138.2151833度﻿ / 36.3709417; 138.2151833;駅番号: BE08;所属事業者: 上田電鉄;所属路線: 別所線;キロ程: 5.2 km（上田起点）;駅構造: 地上駅;ホーム: 単式1面1線;乗車人員-統計年度-: 393人/日（降車客含まず）-2017年-;開業年月日: 1921年（大正10年）6月17日;備考: 無人駅（多客期駅員派遣）","日本の鉄道駅一覧_た","箇条書き","単式1面1線のホームを持つ地上駅。もとは駅員配置駅であった。現在普段は無人駅だが、新学期や夏の多客期には駅員が派遣される。自動券売機設置駅（1機）。かつてはホーム上にトイレがあったが老朽化のため2005年（平成17年）の駅設備改修時に撤去されている。"
"大学前駅 (滋賀県)","大学前駅 (滋賀県)（だいがくまええき・近江鉄道本線）","https://ja.wikipedia.org/wiki/大学前駅_(滋賀県)","北緯35度5分15.84秒東経136度11分4.84秒","所在地: 滋賀県東近江市布施町29-2北緯35度5分15.84秒東経136度11分4.84秒﻿ / ﻿北緯35.0877333度 東経136.1846778度﻿ / 35.0877333; 136.1846778座標: 北緯35度5分15.84秒東経136度11分4.84秒﻿ / ﻿北緯35.0877333度 東経136.1846778度﻿ / 35.0877333; 136.1846778;駅番号: OR27;所属事業者: 近江鉄道;所属路線: ■本線（水口・蒲生野線）;キロ程: 28.4 km（米原起点）;駅構造: 地上駅;ホーム: 片式1面1線;乗車人員-統計年度-: 83人/日（降車客含まず）-2016年-;開業年月日: 1990年（平成2年）3月29日;備考: 無人駅布引グリーンスタジアムへ徒歩10分","日本の鉄道駅一覧_た","箇条書き","近隣にあるびわこ学院大学が駅名の由来である。"
"代官町駅","代官町駅（だいかんちょうえき）","https://ja.wikipedia.org/wiki/代官町駅","北緯34度50分7.75秒東経138度7分33.95秒","所在地: 静岡県島田市金谷代官町北緯34度50分7.75秒東経138度7分33.95秒﻿ / ﻿北緯34.8354861度 東経138.1260972度﻿ / 34.8354861; 138.1260972座標: 北緯34度50分7.75秒東経138度7分33.95秒﻿ / ﻿北緯34.8354861度 東経138.1260972度﻿ / 34.8354861; 138.1260972;所属事業者: 大井川鐵道;所属路線: 大井川本線;キロ程: 3.8 km（金谷起点）;駅構造: 地上駅;ホーム: 単式 1面1線;乗車人員-統計年度-: 18人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 38人/日-2019年-;開業年月日: 1965年（昭和40年）9月16日","日本の鉄道駅一覧_た","箇条書き","単式ホーム1面1線の地上駅。ログハウス風の木造の待合室が設置されている。"
