"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"智恵文駅","智恵文駅（ちえぶんえき）","https://ja.wikipedia.org/wiki/智恵文駅","北緯44度27分19秒東経142度24分53秒","所在地: 北海道名寄市智恵文十一線北緯44度27分19秒東経142度24分53秒﻿ / ﻿北緯44.45528度 東経142.41472度﻿ / 44.45528; 142.41472;駅番号: ○W51;所属事業者: 北海道旅客鉄道（JR北海道）;所属路線: ■宗谷本線;キロ程: 91.2 km（旭川起点）;電報略号: チフ;駅構造: 地上駅;ホーム: 1面1線;乗降人員-統計年度-: 10人/日-2014年-;開業年月日: 1911年（明治44年）11月3日;備考: 無人駅","日本の鉄道駅一覧_ち-て","箇条書き","開業時の所在地名（下名寄村字智恵文）より。"
"近川駅","近川駅（ちかがわえき）","https://ja.wikipedia.org/wiki/近川駅","北緯41度11分28.83秒東経141度16分45.20秒","所在地: 青森県むつ市大字奥内字近川北緯41度11分28.83秒東経141度16分45.20秒﻿ / ﻿北緯41.1913417度 東経141.2792222度﻿ / 41.1913417; 141.2792222座標: 北緯41度11分28.83秒東経141度16分45.20秒﻿ / ﻿北緯41.1913417度 東経141.2792222度﻿ / 41.1913417; 141.2792222;所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■大湊線;キロ程: 42.7 km（野辺地起点）;電報略号: チカ;駅構造: 地上駅;ホーム: 1面1線;開業年月日: 1921年（大正10年）9月25日;備考: 無人駅","日本の鉄道駅一覧_ち-て","箇条書き","単式ホーム1面1線を有する地上駅。元々は相対式ホーム2面2線だったが、旧2番線（下り線）の線路は撤去され、旧1番線（上り線）のみ使用されている。"
"千垣駅","千垣駅（ちがきえき）","https://ja.wikipedia.org/wiki/千垣駅","北緯36度34分25.39秒東経137度22分25.87秒","所在地: 富山県中新川郡立山町千垣156北緯36度34分25.39秒東経137度22分25.87秒﻿ / ﻿北緯36.5737194度 東経137.3738528度﻿ / 36.5737194; 137.3738528﻿ (千垣駅)座標: 北緯36度34分25.39秒東経137度22分25.87秒﻿ / ﻿北緯36.5737194度 東経137.3738528度﻿ / 36.5737194; 137.3738528﻿ (千垣駅);駅番号: T53;所属事業者: 富山地方鉄道;所属路線: ■立山線;キロ程: 17.3 km（寺田起点）;駅構造: 地上駅;ホーム: 単式1面1線;乗降人員-統計年度-: 118人/日-2019年-;開業年月日: 1923年（大正12年）4月20日","日本の鉄道駅一覧_ち-て","箇条書き","単式ホーム1面1線を持つ地上駅。無人駅である。"
"茅ケ崎駅","茅ケ崎駅（ちがさきえき）","https://ja.wikipedia.org/wiki/茅ケ崎駅","北緯35度19分49秒東経139度24分25秒","所在地: 神奈川県茅ヶ崎市元町1-1北緯35度19分49秒東経139度24分25秒﻿ / ﻿北緯35.33028度 東経139.40694度﻿ / 35.33028; 139.40694座標: 北緯35度19分49秒東経139度24分25秒﻿ / ﻿北緯35.33028度 東経139.40694度﻿ / 35.33028; 139.40694;所属事業者: 東日本旅客鉄道（JR東日本）;電報略号: チサ;駅構造: 地上駅（橋上駅）;ホーム: 3面6線;乗車人員-統計年度-: 41,684人/日（降車客含まず）-2020年-;開業年月日: 1898年（明治31年）6月15日;所属路線: ■東海道本線;駅番号: JT10;キロ程: 58.6 km（東京起点）;所属路線: ■相模線;キロ程: 0.0 km（茅ケ崎起点）;備考: 直営駅（管理駅）みどりの窓口有;1・2: ■相模線;3:  東海道線（□特急「湘南」）;4: 下り;5:  東海道線;6: 下り","日本の鉄道駅一覧_ち-て","箇条書き","所在地は茅ヶ崎市だが、駅名は「茅ケ崎」である。"
"近田駅","近田駅（ちかたえき）","https://ja.wikipedia.org/wiki/近田駅","北緯34度32分46.63秒東経133度18分39.45秒","所在地: 広島県福山市駅家町大字近田547-7北緯34度32分46.63秒東経133度18分39.45秒﻿ / ﻿北緯34.5462861度 東経133.3109583度﻿ / 34.5462861; 133.3109583﻿ (近田駅);所属事業者: 西日本旅客鉄道（JR西日本）;所属路線: Z福塩線;キロ程: 16.0 km（福山起点）;電報略号: チカ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 227人/日（降車客含まず）-2019年-;開業年月日: 1914年（大正3年）7月21日;備考: 無人駅（自動券売機 有）","日本の鉄道駅一覧_ち-て","箇条書き","府中方面に向かって左側に単式ホーム1面1線を持つ地上駅（停留所）。福山駅管理の無人駅で駅舎はなく、直接ホームに入る形になっている。棒線駅のため、福山方面行きと府中方面行きの双方が同一ホームを共用する。"
"近津駅","近津駅（ちかつえき）","https://ja.wikipedia.org/wiki/近津駅","北緯37度0分1.7秒東経140度23分37.2秒","所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■水郡線;キロ程: 86.4 km（水戸起点）;電報略号: チツ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 30人/日（降車客含まず）-2004年-;開業年月日: 1932年（昭和7年）11月11日;備考: 無人駅","日本の鉄道駅一覧_ち-て","箇条書き","単式ホーム1面1線を有する地上駅である。行き違い設備廃止までは相対式ホーム2面2線を持ち、旧ホームが現在も残る。"
"地下鉄赤塚駅","地下鉄赤塚駅（ちかてつあかつかえき）","https://ja.wikipedia.org/wiki/地下鉄赤塚駅","北緯35度46分11.9秒東経139度38分38.5秒","所在地: 東京都練馬区北町八丁目37-16北緯35度46分11.9秒東経139度38分38.5秒﻿ / ﻿北緯35.769972度 東経139.644028度﻿ / 35.769972; 139.644028座標: 北緯35度46分11.9秒東経139度38分38.5秒﻿ / ﻿北緯35.769972度 東経139.644028度﻿ / 35.769972; 139.644028;駅番号: Y03F03;所属事業者: 東京地下鉄（東京メトロ）;所属路線: ●有楽町線●副都心線;キロ程: 3.6 km（和光市起点）;電報略号: チア;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 31,398人/日-2020年-;開業年月日: 1983年（昭和58年）6月24日;備考: 業務委託駅（メトロコマース）;1:  有楽町線;2:  有楽町線 副都心線","日本の鉄道駅一覧_ち-て","箇条書き","有楽町線・副都心線が乗り入れる。当駅を含む和光市駅- 小竹向原駅の区間は、有楽町線と副都心線が線路を共有している。駅番号は有楽町線がY 03、副都心線がF 03である。"
"地下鉄成増駅","地下鉄成増駅（ちかてつなりますえき）","https://ja.wikipedia.org/wiki/地下鉄成増駅","北緯35度46分35.5秒東経139度37分53.5秒","所在地: 東京都板橋区成増二丁目11-3北緯35度46分35.5秒東経139度37分53.5秒﻿ / ﻿北緯35.776528度 東経139.631528度﻿ / 35.776528; 139.631528﻿ (地下鉄成増駅)座標: 北緯35度46分35.5秒東経139度37分53.5秒﻿ / ﻿北緯35.776528度 東経139.631528度﻿ / 35.776528; 139.631528﻿ (地下鉄成増駅);駅番号: Y02F02;所属事業者: 東京地下鉄（東京メトロ）;所属路線: ●有楽町線●副都心線;キロ程: 2.2 km（和光市起点）;電報略号: チナ;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 39,414人/日-2020年-;開業年月日: 1983年（昭和58年）6月24日;1:  有楽町線;2:  有楽町線 副都心線","日本の鉄道駅一覧_ち-て","箇条書き","↑和光市駅"
"近永駅","近永駅（ちかながえき）","https://ja.wikipedia.org/wiki/近永駅","北緯33度15分20.34秒東経132度40分35.48秒","所在地: 愛媛県北宇和郡鬼北町近永北緯33度15分20.34秒東経132度40分35.48秒﻿ / ﻿北緯33.2556500度 東経132.6765222度﻿ / 33.2556500; 132.6765222座標: 北緯33度15分20.34秒東経132度40分35.48秒﻿ / ﻿北緯33.2556500度 東経132.6765222度﻿ / 33.2556500; 132.6765222;駅番号: ○G40;所属事業者: 四国旅客鉄道（JR四国）;所属路線: ■予土線;キロ程: 60.4 km（若井起点）;電報略号: チナ;駅構造: 地上駅;ホーム: 1面2線;乗降人員-統計年度-: 334人/日-2018年-;開業年月日: 1914年（大正3年）10月18日;備考: 簡易委託駅;1: ■予土線;2: 下り","日本の鉄道駅一覧_ち-て","箇条書き","島式ホーム1面2線を有する地上駅。駅舎内部の出札口で受託者が切符を手売りする簡易委託駅で、定期券も販売している。"
"近文駅","近文駅（ちかぶみえき）","https://ja.wikipedia.org/wiki/近文駅","北緯43度47分22.2秒東経142度19分32.2秒","所在地: 北海道旭川市近文町20丁目北緯43度47分22.2秒東経142度19分32.2秒﻿ / ﻿北緯43.789500度 東経142.325611度﻿ / 43.789500; 142.325611座標: 北緯43度47分22.2秒東経142度19分32.2秒﻿ / ﻿北緯43.789500度 東経142.325611度﻿ / 43.789500; 142.325611;駅番号: ○A27;所属事業者: 北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*;所属路線: ■函館本線;キロ程: 419.1 km（函館起点）;電報略号: フミ;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 193人/日（降車客含まず）-2012年-;開業年月日: 1911年（明治44年）1月11日;備考: 無人駅;所属事業者: 日本国有鉄道（国鉄）;所属路線: 函館本線貨物支線（鷹栖岐線）;キロ程: 0.0 km（近文起点）;開業年月日: 1950年（昭和25年）1月15日;廃止年月日: 1978年（昭和53年）10月1日;2: ■函館本線;1: 上り;所在地: 北海道旭川市近文町20丁目北緯43度47分22.2秒東経142度19分32.2秒﻿ / ﻿北緯43.789500度 東経142.325611度﻿ / 43.789500; 142.325611座標: 北緯43度47分22.2秒東経142度19分32.2秒﻿ / ﻿北緯43.789500度 東経142.325611度﻿ / 43.789500; 142.325611;駅番号: ○A27;所属事業者: 北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*;所属路線: ■函館本線;キロ程: 419.1 km（函館起点）;電報略号: フミ;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 193人/日（降車客含まず）-2012年-;開業年月日: 1911年（明治44年）1月11日;備考: 無人駅;所属事業者: 日本国有鉄道（国鉄）;所属路線: 函館本線貨物支線（鷹栖岐線）;キロ程: 0.0 km（近文起点）;開業年月日: 1950年（昭和25年）1月15日;廃止年月日: 1978年（昭和53年）10月1日;2: ■函館本線;1: 上り","日本の鉄道駅一覧_ち-て","箇条書き","ロシアの南下政策に危機感を抱いていた明治政府は、明治32年6月から第7師団を札幌から旭川へ移動。これに併せ、兵営地建設のための軍用引込線4.6kmを設けるに当たり当駅を開設した。"
