"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"奈井江駅","奈井江駅（ないええき）","https://ja.wikipedia.org/wiki/奈井江駅","北緯43度25分25秒東経141度53分20.2秒","所在地: 北海道空知郡奈井江町本町北緯43度25分25秒東経141度53分20.2秒﻿ / ﻿北緯43.42361度 東経141.888944度﻿ / 43.42361; 141.888944;駅番号: ○A18;所属事業者: 北海道旅客鉄道（JR北海道）;所属路線: ■函館本線;キロ程: 354.3 km（函館起点）;電報略号: ナイ;駅構造: 地上駅;ホーム: 2面3線;乗降人員-統計年度-: 478人/日-2018年-;開業年月日: 1891年（明治24年）7月5日;備考: 簡易委託駅;3: ■函館本線;2・1: 上り","日本の鉄道駅一覧_な","箇条書き","かつては急行「かむい」・「そらち」が停車していた。"
"撫牛子駅","撫牛子駅（ないじょうしえき）","https://ja.wikipedia.org/wiki/撫牛子駅","北緯40度37分18.67秒東経140度29分52.7秒","所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■奥羽本線（■五能線直通含む）;キロ程: 449.8 km（福島起点）;電報略号: ナヨ;駅構造: 地上駅;ホーム: 2面2線;開業年月日: 1935年（昭和10年）4月15日;備考: 無人駅;1: ■奥羽本線;2: ■奥羽本線","日本の鉄道駅一覧_な","箇条書き","川部駅から乗り入れる五能線の列車も停車する。"
"苗穂駅","苗穂駅（なえぼえき）","https://ja.wikipedia.org/wiki/苗穂駅","北緯43度04分06.8874秒東経141度22分23.9262秒","所在地: 札幌市中央区北3条東11丁目北緯43度04分06.8874秒東経141度22分23.9262秒﻿ / ﻿北緯43.068579833度 東経141.373312833度﻿ / 43.068579833; 141.373312833﻿ (苗穂駅);駅番号: ○H02;所属事業者: 北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）;所属路線: ■函館本線;キロ程: 288.2 km（函館起点）;電報略号: ナホ;駅構造: 地上駅（橋上駅）;ホーム: 2面4線;乗車人員-統計年度-: 5,200人/日（降車客含まず）-2019年-;開業年月日: 1910年（明治43年）5月16日;備考: 札幌市内駅直営駅（管理駅）みどりの窓口有話せる券売機設置駅;所属事業者: 日本国有鉄道（国鉄）;所属路線: 千歳線（旧線）;キロ程: 0.0 km（苗穂起点）;開業年月日: 1926年8月21日;廃止年月日: 1973年9月10日;1: ■函館本線;2: ■千歳線;3: 上り;4: ■函館本線;所在地: 札幌市中央区北3条東11丁目北緯43度04分06.8874秒東経141度22分23.9262秒﻿ / ﻿北緯43.068579833度 東経141.373312833度﻿ / 43.068579833; 141.373312833﻿ (苗穂駅);駅番号: ○H02;所属事業者: 北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）;所属路線: ■函館本線;キロ程: 288.2 km（函館起点）;電報略号: ナホ;駅構造: 地上駅（橋上駅）;ホーム: 2面4線;乗車人員-統計年度-: 5,200人/日（降車客含まず）-2019年-;開業年月日: 1910年（明治43年）5月16日;備考: 札幌市内駅直営駅（管理駅）みどりの窓口有話せる券売機設置駅;所属事業者: 日本国有鉄道（国鉄）;所属路線: 千歳線（旧線）;キロ程: 0.0 km（苗穂起点）;開業年月日: 1926年8月21日;廃止年月日: 1973年9月10日;1: ■函館本線;2: ■千歳線;3: 上り;4: ■函館本線","日本の鉄道駅一覧_な","箇条書き","地名は、アイヌ語の「ナイ・ポ」（小さな川）に由来している。この辺りは豊平川の旧河道に当たる伏篭川の水源であり、多くの小川や泉があったために名づけられた。"
"直江駅","直江駅（なおええき）","https://ja.wikipedia.org/wiki/直江駅","北緯35度23分1.73秒東経132度48分27.5秒","所在地: 島根県出雲市斐川町上直江1100北緯35度23分1.73秒東経132度48分27.5秒﻿ / ﻿北緯35.3838139度 東経132.807639度﻿ / 35.3838139; 132.807639﻿ (直江駅);所属事業者: 西日本旅客鉄道（JR西日本）;所属路線: D山陰本線;キロ程: 379.1 km（京都起点）;電報略号: ナオ;駅構造: 地上駅（橋上駅）;ホーム: 2面3線;乗車人員-統計年度-: 432人/日（降車客含まず）-2018年-;開業年月日: 1910年（明治43年）10月10日;備考: 無人駅（自動券売機 有）;1: D山陰本線;2: D山陰本線;3: D山陰本線","日本の鉄道駅一覧_な","箇条書き","単式・島式の複合型2面3線のホームを持ち、待避・行き違いが可能な地上駅。構内の配線は一線スルー構造とはなっていない。橋上駅舎(山陰地方及び島根県では当駅が初めて)を有しており、南北に出口がある。先代の木造駅舎は閉鎖されているが、そのままの形で残されている。松江駅管理の無人駅であるが、自動券売機が設置されている。"
"直江津駅","直江津駅（なおえつえき）","https://ja.wikipedia.org/wiki/直江津駅","北緯37度10分15.80秒東経138度14分35.17秒","所在地: 新潟県上越市東町1-1北緯37度10分15.80秒東経138度14分35.17秒﻿ / ﻿北緯37.1710556度 東経138.2431028度﻿ / 37.1710556; 138.2431028座標: 北緯37度10分15.80秒東経138度14分35.17秒﻿ / ﻿北緯37.1710556度 東経138.2431028度﻿ / 37.1710556; 138.2431028;所属事業者: えちごトキめき鉄道東日本旅客鉄道（JR東日本）;電報略号: ナホ;駅構造: 地上駅（橋上駅）;ホーム: 3面6線;乗車人員-統計年度-: （JR東日本）-2020年-1,559人/日（降車客含まず）（えちごトキめき鉄道）-2020年-1,128人/日（降車客含まず）;開業年月日: 1886年（明治19年）8月15日;所属路線: ■妙高はねうまライン;キロ程: 37.7km（妙高高原起点）長野から75.0 km;所属路線: ■日本海ひすいライン;キロ程: 59.3km（市振起点）泊から68.7km米原から353.8 km;所属路線: ■信越本線（JR東日本）（■北越急行ほくほく線*直通含む）;キロ程: 0.0 km（直江津起点）;備考: 共同使用駅（えちごトキめき鉄道の管轄駅）直営駅（管理駅）ただし、JR東日本は業務委託駅みどりの窓口有;1: ■日本海ひすいライン;2 - 6:;5・6: ■ほくほく線","日本の鉄道駅一覧_な","箇条書き","当駅は上越市北部の海岸線に程近い直江津の市街地（旧直江津市）に位置する。えちごトキめき鉄道の妙高はねうまラインと日本海ひすいラインの2路線が乗り入れる拠点駅で、北口側には同社の本社が所在する。JR東日本の信越本線が乗り入れているが、駅舎や車両基地など構内施設の大部分は、えちごトキめき鉄道が管理を行っている。"
"直川駅","直川駅（なおかわえき）","https://ja.wikipedia.org/wiki/直川駅","北緯32度53分55.55秒東経131度46分46.58秒","所在地: 大分県佐伯市直川大字上直見北緯32度53分55.55秒東経131度46分46.58秒﻿ / ﻿北緯32.8987639度 東経131.7796056度﻿ / 32.8987639; 131.7796056;所属事業者: 九州旅客鉄道（JR九州）;所属路線: ■日豊本線;キロ程: 213.6 km（小倉起点）;電報略号: ナカコル（神原駅時代）;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 15人/日（降車客含まず）-2015年-;乗降人員-統計年度-: 31人/日-2015年-;開業年月日: 1920年（大正9年）11月20日;備考: 無人駅;1: ■日豊本線;2: 下り","日本の鉄道駅一覧_な","箇条書き","島式ホーム1面2線を有する地上駅で、跨線橋を備える。"
"直見駅","直見駅（なおみえき）","https://ja.wikipedia.org/wiki/直見駅","北緯32度55分41.53秒東経131度48分27.64秒","所在地: 大分県佐伯市直川大字下直見北緯32度55分41.53秒東経131度48分27.64秒﻿ / ﻿北緯32.9282028度 東経131.8076778度﻿ / 32.9282028; 131.8076778;所属事業者: 九州旅客鉄道（JR九州）;所属路線: ■日豊本線;キロ程: 208.8 km（小倉起点）;電報略号: ナミ;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 4人/日（降車客含まず）-2015年-;乗降人員-統計年度-: 9人/日-2015年-;開業年月日: 1920年（大正9年）11月20日;備考: 無人駅;1: ■日豊本線;2: 下り","日本の鉄道駅一覧_な","箇条書き","島式ホーム1面2線を有する地上駅で、跨線橋を備える。"
"那加駅","那加駅（なかえき）","https://ja.wikipedia.org/wiki/那加駅","北緯35度24分2秒東経136度50分9秒","所在地: 岐阜県各務原市那加本町49-1北緯35度24分2秒東経136度50分9秒﻿ / ﻿北緯35.40056度 東経136.83583度﻿ / 35.40056; 136.83583;駅番号: CG  02;所属事業者: 東海旅客鉄道（JR東海）;所属路線: CG高山本線;キロ程: 7.2 km（岐阜起点）;電報略号: ナカ;駅構造: 地上駅;ホーム: 2面2線;乗車人員-統計年度-: 1,277人/日（降車客含まず）-2019年-;開業年月日: 1920年（大正9年）11月1日;乗換: 新那加駅（名鉄各務原線）;備考: 無人駅;1: CG高山本線;2: 下り","日本の鉄道駅一覧_な","箇条書き","相対式ホーム2面2線を有し、列車交換が可能な地上駅。かつては木造の駅舎を有したが、コンクリートのものに改築された。トイレは無い。また下りホームには、シースルーの待合室がある。"
"中愛別駅","中愛別駅（なかあいべつえき）","https://ja.wikipedia.org/wiki/中愛別駅","北緯43度53分46.26秒東経142度39分19.75秒","所在地: 北海道上川郡愛別町字中央北緯43度53分46.26秒東経142度39分19.75秒﻿ / ﻿北緯43.8961833度 東経142.6554861度﻿ / 43.8961833; 142.6554861;駅番号: ○A39;所属事業者: 北海道旅客鉄道（JR北海道）;所属路線: ■石北本線;キロ程: 32.0 km（新旭川起点）;電報略号: ナア;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 16人/日-2014年-;開業年月日: 1923年（大正12年）11月15日;備考: 無人駅;1: ■石北本線;2: 下り","日本の鉄道駅一覧_な","箇条書き","愛別村（当時）の中央に位置したことによる。"
"中荒井駅","中荒井駅（なかあらいえき）","https://ja.wikipedia.org/wiki/中荒井駅","北緯37度10分48.7秒東経139度45分3.2秒","所属事業者: 会津鉄道;所属路線: 会津線;キロ程: 45.8 km（西若松起点）;電報略号: ナア;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 11人/日（降車客含まず）-2015年-;開業年月日: 1947年（昭和22年）12月12日","日本の鉄道駅一覧_な","箇条書き","単式ホーム1面1線を有する地上駅で、無人駅である。"
