"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"糠沢駅","糠沢駅（ぬかざわえき）","https://ja.wikipedia.org/wiki/糠沢駅","北緯40度15分3.93秒東経140度23分52.17秒","所在地: 秋田県北秋田市綴子字下谷地北緯40度15分3.93秒東経140度23分52.17秒﻿ / ﻿北緯40.2510917度 東経140.3978250度﻿ / 40.2510917; 140.3978250座標: 北緯40度15分3.93秒東経140度23分52.17秒﻿ / ﻿北緯40.2510917度 東経140.3978250度﻿ / 40.2510917; 140.3978250;所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■奥羽本線;キロ程: 388.1 km（福島起点）;電報略号: ヌサ;駅構造: 地上駅;ホーム: 2面2線;開業年月日: 1956年（昭和31年）12月3日;備考: 無人駅;1: ■奥羽本線;2: 上り","日本の鉄道駅一覧_ぬ-の","箇条書き","昼間は普通列車が通過する時間帯があるほか、秋田発大館行最終列車も通過する。"
"額住宅前駅","額住宅前駅（ぬかじゅうたくまええき）","https://ja.wikipedia.org/wiki/額住宅前駅","北緯36度31分5.92秒東経136度37分8.03秒","所在地: 石川県金沢市額新町1丁目20北緯36度31分5.92秒東経136度37分8.03秒﻿ / ﻿北緯36.5183111度 東経136.6188972度﻿ / 36.5183111; 136.6188972座標: 北緯36度31分5.92秒東経136度37分8.03秒﻿ / ﻿北緯36.5183111度 東経136.6188972度﻿ / 36.5183111; 136.6188972;駅番号: ○I08;所属事業者: 北陸鉄道;所属路線: ■石川線;キロ程: 6.1 km（野町起点）;駅構造: 地上駅;ホーム: 島式 1面2線;乗降人員-統計年度-: 348人/日-2019年-;開業年月日: 1915年（大正4年）6月22日;東側: 石川線;西側: 上り","日本の鉄道駅一覧_ぬ-の","箇条書き","島式1面2線のホームを持つ地上駅である。交換可能駅であり、ほとんどの電車は当駅で交換する。駅舎からホームへは、構内踏切を利用する。"
"額田駅 (大阪府)","額田駅 (大阪府)（ぬかたえき・近畿日本鉄道奈良線）","https://ja.wikipedia.org/wiki/額田駅_(大阪府)","北緯34度40分32.45秒東経135度39分4.89秒","所在地: 大阪府東大阪市山手町2-10北緯34度40分32.45秒東経135度39分4.89秒﻿ / ﻿北緯34.6756806度 東経135.6513583度﻿ / 34.6756806; 135.6513583座標: 北緯34度40分32.45秒東経135度39分4.89秒﻿ / ﻿北緯34.6756806度 東経135.6513583度﻿ / 34.6756806; 135.6513583;駅番号:  A15;所属事業者: 近畿日本鉄道（近鉄）;所属路線: A奈良線;キロ程: 9.0km（布施起点）大阪難波から15.1 km;電報略号: ヌカタ;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 3,490人/日-2018年-;開業年月日: 1920年（大正9年）7月13日;1: A奈良線;2: 上り","日本の鉄道駅一覧_ぬ-の","箇条書き","↑枚岡駅"
"額田駅 (茨城県)","額田駅 (茨城県)（ぬかだえき・東日本旅客鉄道水郡線）","https://ja.wikipedia.org/wiki/額田駅_(茨城県)","北緯36度29分8.5秒東経140度30分12.4秒","所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■水郡線（常陸太田支線）;キロ程: 3.6 km（上菅谷起点）水戸から13.7 km;電報略号: ヌカ;駅構造: 地上駅;ホーム: 1面1線;開業年月日: 1897年（明治30年）11月16日;備考: 無人駅","日本の鉄道駅一覧_ぬ-の","箇条書き","かつて台地下を流れる久慈川からの川砂利を同駅から貨車輸送していた時期があり、台地の上下間の砂利の運搬にインクラインを使用したとの話がある。当駅河合方に架かる歩道橋の北側に、1線分の区画が残っているが、これがインクラインの名残と言われている。"
"糠南駅","糠南駅（ぬかなんえき）","https://ja.wikipedia.org/wiki/糠南駅","北緯44度55分14.3秒東経142度0分2.8秒","所在地: 北海道天塩郡幌延町字問寒別北緯44度55分14.3秒東経142度0分2.8秒﻿ / ﻿北緯44.920639度 東経142.000778度﻿ / 44.920639; 142.000778﻿ (糠南駅)座標: 北緯44度55分14.3秒東経142度0分2.8秒﻿ / ﻿北緯44.920639度 東経142.000778度﻿ / 44.920639; 142.000778﻿ (糠南駅);駅番号: ○W67;所属事業者: 北海道旅客鉄道（JR北海道）;所属路線: ■宗谷本線;キロ程: 178.0 km（旭川起点）;電報略号: ヌナ;駅構造: 地上駅;ホーム: 1面1線;開業年月日: 1955年（昭和30年）12月2日;備考: 無人駅","日本の鉄道駅一覧_ぬ-の","箇条書き","当駅の所在地近辺の地名より。以前は「ヌカナン」の字名が存在したが1959年（昭和34年）に周辺地区とともに「問寒別」に統合されている。"
"温田駅","温田駅（ぬくたえき）","https://ja.wikipedia.org/wiki/温田駅","北緯35度20分11.20秒東経137度50分28.98秒","所在地: 長野県下伊那郡泰阜村温田北緯35度20分11.20秒東経137度50分28.98秒﻿ / ﻿北緯35.3364444度 東経137.8413833度﻿ / 35.3364444; 137.8413833座標: 北緯35度20分11.20秒東経137度50分28.98秒﻿ / ﻿北緯35.3364444度 東経137.8413833度﻿ / 35.3364444; 137.8413833;所属事業者: 東海旅客鉄道（JR東海）;所属路線: CD飯田線;キロ程: 102.2 km（豊橋起点）;電報略号: ヌク;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 225人/日（降車客含まず）-2018年-;開業年月日: 1935年（昭和10年）11月15日;備考: 駅員無配置駅標高：340m;1: CD飯田線;2: 上り","日本の鉄道駅一覧_ぬ-の","箇条書き","特急「伊那路」は、正月・盆のみの臨時停車だったが、2005年からは通年停車となった。"
"生見駅","生見駅（ぬくみえき）","https://ja.wikipedia.org/wiki/生見駅","北緯31度18分25.97秒東経130度34分39.85秒","所在地: 鹿児島県鹿児島市喜入生見町2797北緯31度18分25.97秒東経130度34分39.85秒﻿ / ﻿北緯31.3072139度 東経130.5777361度﻿ / 31.3072139; 130.5777361;所属事業者: 九州旅客鉄道（JR九州）;所属路線: 指宿枕崎線;キロ程: 35.0 km（鹿児島中央起点）;電報略号: ヌク;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 69人/日（降車客含まず）-2015年-;乗降人員-統計年度-: 144人/日-2015年-;開業年月日: 1934年（昭和9年）12月19日;備考: 無人駅;1: ■指宿枕崎線;2: 上り","日本の鉄道駅一覧_ぬ-の","箇条書き","島式ホーム1面2線を有する地上駅。駅舎とは構内踏切で結ばれている。ごく短いホームの残る側線が一本残されている。無人駅。"
"抜里駅","抜里駅（ぬくりえき）","https://ja.wikipedia.org/wiki/抜里駅","北緯34度57分12.21秒東経138度5分15.58秒","所在地: 静岡県島田市川根町抜里北緯34度57分12.21秒東経138度5分15.58秒﻿ / ﻿北緯34.9533917度 東経138.0876611度﻿ / 34.9533917; 138.0876611座標: 北緯34度57分12.21秒東経138度5分15.58秒﻿ / ﻿北緯34.9533917度 東経138.0876611度﻿ / 34.9533917; 138.0876611;所属事業者: 大井川鐵道;所属路線: 大井川本線;キロ程: 18.8 km（金谷起点）;駅構造: 地上駅;ホーム: 単式 1面1線;乗車人員-統計年度-: 9人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 19人/日-2019年-;開業年月日: 1930年（昭和5年）7月16日;備考: 無人駅","日本の鉄道駅一覧_ぬ-の","箇条書き","単式1面1線のホームをもつ地上駅。無人駅である。"
"布市駅","布市駅（ぬのいちえき）","https://ja.wikipedia.org/wiki/布市駅","北緯36度38分43.3秒東経137度14分7.3秒","所在地: 富山県富山市布市747北緯36度38分43.3秒東経137度14分7.3秒﻿ / ﻿北緯36.645361度 東経137.235361度﻿ / 36.645361; 137.235361﻿ (布市駅)座標: 北緯36度38分43.3秒東経137度14分7.3秒﻿ / ﻿北緯36.645361度 東経137.235361度﻿ / 36.645361; 137.235361﻿ (布市駅);駅番号: T65;所属事業者: 富山地方鉄道;所属路線: ■上滝線;キロ程: 3.2 km（南富山起点）;駅構造: 地上駅;ホーム: 単式1面1線;乗車人員-統計年度-: 124人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 256人/日-2019年-;開業年月日: 1921年（大正10年）4月25日;備考: 無人駅","日本の鉄道駅一覧_ぬ-の","箇条書き","単式ホーム1面1線を有する無人駅。"
"布崎駅","布崎駅（ぬのざきえき）","https://ja.wikipedia.org/wiki/布崎駅","北緯35度27分0.89秒東経132度51分18秒","所在地: 島根県出雲市園町北緯35度27分0.89秒東経132度51分18秒﻿ / ﻿北緯35.4502472度 東経132.85500度﻿ / 35.4502472; 132.85500座標: 北緯35度27分0.89秒東経132度51分18秒﻿ / ﻿北緯35.4502472度 東経132.85500度﻿ / 35.4502472; 132.85500;駅番号: 10;所属事業者: 一畑電車;所属路線: 北松江線;キロ程: 14.5 km（電鉄出雲市起点）;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 65人/日（降車客含まず）-2018年-;乗降人員-統計年度-: 139人/日-2018年-;開業年月日: 1915年（大正4年）2月4日;備考: 無人駅","日本の鉄道駅一覧_ぬ-の","箇条書き","松江方面に向かって右側に単式ホーム1面1線を有する地上駅（停留所）。無人駅である。ホームは急カーブ上に位置しており、乗降には注意を要する。"
