"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"ニセイカウシュッペ山","にせいかうしゅっぺやま","https://ja.wikipedia.org/wiki/ニセイカウシュッペ山","北緯43度46分48秒東経142度59分07秒","標高: 1,883[1]m;所在地: 日本北海道上川郡上川町;位置: 北緯43度46分48秒東経142度59分07秒座標: 北緯43度46分48秒 東経142度59分07秒[1];山系: 石狩山地、北大雪火山群;種類: 成層火山","日本三百名山","グループ形式"
"オプタテシケ山","おぷたてしけやま","https://ja.wikipedia.org/wiki/オプタテシケ山","北緯43度28分13秒東経142度45分05秒","標高: 2,012.48m;所在地: 日本北海道上川総合振興局上川郡美瑛町・十勝総合振興局上川郡新得町;位置: 北緯43度28分13秒東経142度45分05秒座標: 北緯43度28分13秒 東経142度45分05秒;山系: 石狩山地（十勝岳連峰）","日本三百名山","グループ形式"
"神威岳 (大樹町・浦河町)","かむいだけ","https://ja.wikipedia.org/wiki/神威岳_(大樹町・浦河町)","北緯42度25分42秒東経142度54分25秒","標高: 1,600.2 m;所在地: 日本北海道広尾郡大樹町・浦河郡浦河町;位置: 北緯42度25分42秒東経142度54分25秒座標: 北緯42度25分42秒 東経142度54分25秒;山系: 日高山脈;種類: 褶曲山脈;初登頂: 柴崎芳太郎（1913年）","日本三百名山","グループ形式"
"余市岳","よいちだけ","https://ja.wikipedia.org/wiki/余市岳","北緯43度1分58秒東経141度1分10秒","標高: 1,488 m;所在地: 日本北海道札幌市南区・余市郡赤井川村;位置: 北緯43度1分58秒東経141度1分10秒﻿ / ﻿北緯43.03278度 東経141.01944度﻿ / 43.03278; 141.01944座標: 北緯43度1分58秒東経141度1分10秒﻿ / ﻿北緯43.03278度 東経141.01944度﻿ / 43.03278; 141.01944","日本三百名山","グループ形式"
"ニセコアンヌプリ","にせこあんぬぷり","https://ja.wikipedia.org/wiki/ニセコアンヌプリ","北緯42度52分30秒東経140度39分32秒","標高: 1,308.2 m;所在地: 日本北海道ニセコ町・倶知安町;位置: 北緯42度52分30秒東経140度39分32秒座標: 北緯42度52分30秒 東経140度39分32秒;山系: ニセコ連峰;種類: 成層火山;初登頂: 正木照信（1898年）","日本三百名山","グループ形式"
"狩場山","かりばやま","https://ja.wikipedia.org/wiki/狩場山","北緯42度36分48秒東経139度56分26秒","標高: 1,519.9m;所在地: 日本北海道檜山振興局久遠郡せたな町後志総合振興局島牧郡島牧村;位置: 北緯42度36分48秒東経139度56分26秒座標: 北緯42度36分48秒 東経139度56分26秒;山系: 狩場山地;種類: 成層火山","日本三百名山","グループ形式"
"大千軒岳","だいせんげんだけ","https://ja.wikipedia.org/wiki/大千軒岳","北緯41度34分46秒東経140度9分39秒","標高: 1,071.87 m;所在地: 北海道松前郡松前町・上ノ国町;位置: 北緯41度34分46秒東経140度9分39秒座標: 北緯41度34分46秒 東経140度9分39秒","日本三百名山","グループ形式"
"五葉山","ごようざん","https://ja.wikipedia.org/wiki/五葉山","北緯39度12分14秒東経141度43分44秒","標高: 1,351 m;所在地: 日本岩手県：住田町、大船渡市、釜石市;位置: 北緯39度12分14秒東経141度43分44秒;山系: 北上山地","日本三百名山","グループ形式"
"乳頭山","にゅうとうさんえぼしだけ","https://ja.wikipedia.org/wiki/乳頭山","北緯39度48分18.00秒東経140度50分19.40秒","標高: 1478 m;所在地: 秋田県仙北市・岩手県岩手郡雫石町;位置: 北緯39度48分18.00秒東経140度50分19.40秒;山系: 奥羽山脈","日本三百名山","グループ形式"
"太平山 (秋田県)","たいへいざん","https://ja.wikipedia.org/wiki/太平山_(秋田県)","北緯39度47分49秒東経140度18分39秒","標高: 1,170[1]m;所在地: 日本秋田県秋田市・北秋田郡上小阿仁村;位置: 北緯39度47分49秒東経140度18分39秒座標: 北緯39度47分49秒 東経140度18分39秒","日本三百名山","グループ形式"
