"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"屋島","屋島（香川県）","https://ja.wikipedia.org/wiki/屋島","北緯34度21分21秒東経134度6分17秒","標高: 南嶺 292 m;所在地: 香川県高松市;位置: 北緯34度21分21秒東経134度6分17秒座標: 北緯34度21分21秒 東経134度6分17秒;山系: 独立峰;種類: 台地の地形（メサ型溶岩台地）","日本二十五勝","箇条書き"
"鞆の浦","鞆の浦（広島県）","https://ja.wikipedia.org/wiki/鞆の浦","","","日本二十五勝","箇条書き"
"高浜町","若狭高浜（福井県）","https://ja.wikipedia.org/wiki/高浜町","北緯35度29分25.2秒東経135度33分3.5秒","国: 日本;地方: 中部地方、北陸地方;都道府県: 福井県;郡: 大飯郡;市町村コード: 18481-1;法人番号: 3000020184811;面積: 72.40km2;総人口: 9,999人 [編集]（推計人口、2021年4月1日）;人口密度: 138人/km2;隣接自治体: 大飯郡おおい町京都府綾部市、舞鶴市;町の木: 杜仲;町の花: はまなす;町長: [編集]野瀬豊;所在地: 〒919-2292福井県大飯郡高浜町宮崎第71号7番地の1北緯35度29分25.2秒東経135度33分3.5秒座標: 北緯35度29分25.2秒 東経135度33分3.5秒町役場位置;外部リンク: 公式ウェブサイト","日本二十五勝","箇条書き"
"富士五湖","富士五湖（山梨県）","https://ja.wikipedia.org/wiki/富士五湖","","","日本二十五勝","箇条書き"
"琵琶湖","琵琶湖（滋賀県）","https://ja.wikipedia.org/wiki/琵琶湖","北緯35度20分0秒東経136度10分0秒","所在地: 日本滋賀県;位置: 北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ / 35.33333; 136.16667座標: 北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ / 35.33333; 136.16667;面積: 669.26[1]km2;周囲長: 235.20[1]km;最大水深: 103.58[1]m;平均水深: 41.2[1]m;貯水量: 27.5[1]km3;水面の標高: 84.371[2]m;成因: 構造湖;淡水・汽水: 淡水;湖沼型: 中栄養湖;透明度: 2.2（南湖）5.5（北湖）[3]m;所在地: 日本滋賀県;位置: 北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ / 35.33333; 136.16667座標: 北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ / 35.33333; 136.16667;面積: 669.26[1]km2;周囲長: 235.20[1]km;最大水深: 103.58[1]m;平均水深: 41.2[1]m;貯水量: 27.5[1]km3;水面の標高: 84.371[2]m;成因: 構造湖;淡水・汽水: 淡水;湖沼型: 中栄養湖;透明度: 2.2（南湖）5.5（北湖）[3]m;所在地: 日本滋賀県;位置: 北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ / 35.33333; 136.16667座標: 北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ / 35.33333; 136.16667;面積: 669.26[1]km2;周囲長: 235.20[1]km;最大水深: 103.58[1]m;平均水深: 41.2[1]m;貯水量: 27.5[1]km3;水面の標高: 84.371[2]m;成因: 構造湖;淡水・汽水: 淡水;湖沼型: 中栄養湖;透明度: 2.2（南湖）5.5（北湖）[3]m","日本二十五勝","箇条書き"
"大沼 (七飯町)","大沼（北海道）","https://ja.wikipedia.org/wiki/大沼_(七飯町)","北緯41度59分51秒東経140度41分02秒","所在地: 北海道（渡島総合振興局）北緯41度59分51秒東経140度41分02秒﻿ / ﻿北緯41.99750度 東経140.68389度﻿ / 41.99750; 140.68389﻿ (大沼)大沼- 地理院地図大沼- Google マップ大沼の位置北海道南部の地図を表示大沼の位置北海道の地図を表示大沼の位置日本の地図を表示;面積: 5.31[1]km2;周囲長: 24 km;最大水深: 12.2[2]m;平均水深: 4.7[2]m;水面の標高: 130[3]m;成因: 堰止湖;淡水・汽水: 淡水[3]","日本二十五勝","箇条書き"
"立山","立山（富山県）","https://ja.wikipedia.org/wiki/立山","北緯36度34分33秒東経137度37分11秒","標高: 3,015[1]m;所在地: 富山県中新川郡立山町芦峅寺;位置: 北緯36度34分33秒東経137度37分11秒[1];山系: 飛騨山脈、立山連峰","日本二十五勝","箇条書き"
"阿蘇山","阿蘇山（熊本県）","https://ja.wikipedia.org/wiki/阿蘇山","北緯32度53分3秒東経131度6分14秒","所在地: 日本熊本県;位置: 北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ / 32.88417; 131.10389座標: 北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ / 32.88417; 131.10389;最高峰: 高岳（1,592m）;種類: 複成火山(活火山ランクA);インペリアル換算: インペリアル換算123456789101112  3.7 3524  5.1 3826  8.8 4631  9.4 5641  12 6349  25 6857  26 7364  13 7564  11 7059  5.2 6148  4.4 5138  2.9 4028気温（°F）総降水量（in）;最高気温記録 °C（°F）: 16.0(60.8);平均最高気温 °C（°F）: 1.7(35.1);日平均気温 °C（°F）: −1.5(29.3);平均最低気温 °C（°F）: −4.6(23.7);最低気温記録 °C（°F）: −15.4(4.3);降水量mm （inch）: 93.2(3.669);降雪量cm （inch）: 47(18.5);% 湿度: 83;平均月間日照時間: 95.3;所在地: 日本熊本県;位置: 北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ / 32.88417; 131.10389座標: 北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ / 32.88417; 131.10389;最高峰: 高岳（1,592m）;種類: 複成火山(活火山ランクA);インペリアル換算: インペリアル換算123456789101112  3.7 3524  5.1 3826  8.8 4631  9.4 5641  12 6349  25 6857  26 7364  13 7564  11 7059  5.2 6148  4.4 5138  2.9 4028気温（°F）総降水量（in）;最高気温記録 °C（°F）: 16.0(60.8);平均最高気温 °C（°F）: 1.7(35.1);日平均気温 °C（°F）: −1.5(29.3);平均最低気温 °C（°F）: −4.6(23.7);最低気温記録 °C（°F）: −15.4(4.3);降水量mm （inch）: 93.2(3.669);降雪量cm （inch）: 47(18.5);% 湿度: 83;平均月間日照時間: 95.3","日本二十五勝","箇条書き"
"御嶽山 (長野県)","木曽御嶽（長野県）","https://ja.wikipedia.org/wiki/御嶽山_(長野県)","北緯35度53分34秒東経137度28分49秒","標高: 最高峰剣ヶ峰 3,067[1]m;所在地: 日本長野県木曽郡木曽町・王滝村岐阜県下呂市・高山市;位置: 北緯35度53分34秒東経137度28分49秒座標: 北緯35度53分34秒 東経137度28分49秒[1];山系: 独立峰（御嶽山系）;種類: 成層火山活火山ランクB[2][3]、噴火警戒レベル1(活火山であることに留意)[4];最新噴火: 2014年（継続中）;初登頂: （702年に役小角が開山）[5];標高: 最高峰剣ヶ峰 3,067[1]m;所在地: 日本長野県木曽郡木曽町・王滝村岐阜県下呂市・高山市;位置: 北緯35度53分34秒東経137度28分49秒座標: 北緯35度53分34秒 東経137度28分49秒[1];山系: 独立峰（御嶽山系）;種類: 成層火山活火山ランクB[2][3]、噴火警戒レベル1(活火山であることに留意)[4];最新噴火: 2014年（継続中）;初登頂: （702年に役小角が開山）[5]","日本二十五勝","箇条書き"
"白馬岳","白馬岳（長野県）","https://ja.wikipedia.org/wiki/白馬岳","北緯36度45分31秒東経137度45分31秒","標高: 2,932.24[1]m;所在地: 日本長野県北安曇郡白馬村富山県黒部市、下新川郡朝日町[2];位置: 北緯36度45分31秒東経137度45分31秒座標: 北緯36度45分31秒 東経137度45分31秒;山系: 飛騨山脈（後立山連峰）;種類: 褶曲・隆起;初登頂: 1883年（北安曇郡長ら）[3]","日本二十五勝","箇条書き"
"利根川","利根川（千葉県）","https://ja.wikipedia.org/wiki/利根川","","水系: 一級水系利根川;種別: 一級河川;延長: 322 km;平均流量: 290.43 m³/s（栗橋観測所2001年平均値）;流域面積: 16,840 km²;水源: 大水上山（群馬県）;水源の標高: 約1,800 m;河口・合流先: 太平洋（茨城県・千葉県）;流域: 日本茨城県・栃木県・群馬県・埼玉県・千葉県・東京都・長野県;水系: 一級水系利根川;種別: 一級河川;延長: 322 km;平均流量: 290.43 m³/s（栗橋観測所2001年平均値）;流域面積: 16,840 km²;水源: 大水上山（群馬県）;水源の標高: 約1,800 m;河口・合流先: 太平洋（茨城県・千葉県）;流域: 日本茨城県・栃木県・群馬県・埼玉県・千葉県・東京都・長野県","日本二十五勝","箇条書き"
"球磨川","球磨川（熊本県）","https://ja.wikipedia.org/wiki/球磨川","","水系: 一級水系球磨川;種別: 一級河川;延長: 115 km;平均流量: 103.98 m³/s（横石観測所 2000年）;流域面積: 1,880 km²;水源: 石楠越・水上越（熊本県）;水源の標高: -- m;河口・合流先: 八代海（熊本県）;流域: 日本熊本県","日本二十五勝","箇条書き"
