"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"天塩岳","てしおだけ","https://ja.wikipedia.org/wiki/天塩岳","北緯43度57分51秒東経142度53分16秒","標高: 1,557.6m;所在地: 日本北海道士別市・紋別郡滝上町;位置: 北緯43度57分51秒東経142度53分16秒座標: 北緯43度57分51秒 東経142度53分16秒","日本二百名山","グループ形式"
"石狩岳","いしかりだけ","https://ja.wikipedia.org/wiki/石狩岳","北緯43度32分48秒東経143度01分20秒","標高: 1,967[1]m;所在地: 日本北海道上川郡上川町河東郡上士幌町;位置: 北緯43度32分48秒東経143度01分20秒座標: 北緯43度32分48秒 東経143度01分20秒[1];山系: 石狩山地;種類: 褶曲山脈[2];初登頂: 松本十郎（1876年）[3]","日本二百名山","グループ形式"
"ニペソツ山","にぺそつやま","https://ja.wikipedia.org/wiki/ニペソツ山","北緯43度27分21秒東経143度01分56秒","標高: 2,012.88[1]m;所在地: 北海道十勝総合振興局上川郡新得町河東郡上士幌町;位置: 北緯43度27分21秒東経143度01分56秒座標: 北緯43度27分21秒 東経143度01分56秒[2];山系: 石狩山地;種類: 成層火山[3]","日本二百名山","グループ形式"
"カムイエクウチカウシ山","かむいえくうちかうしやま","https://ja.wikipedia.org/wiki/カムイエクウチカウシ山","北緯42度37分30秒東経142度45分59秒","標高: 1,979.5m;所在地: 北海道日高郡新ひだか町・河西郡中札内村;位置: 北緯42度37分30秒東経142度45分59秒座標: 北緯42度37分30秒 東経142度45分59秒;山系: 日高山脈;種類: 氷食尖峰[1];初登頂: 正木照信（1900年）","日本二百名山","グループ形式"
"ペテガリ岳","ぺてがりだけ","https://ja.wikipedia.org/wiki/ペテガリ岳","北緯42度29分58秒東経142度52分16秒","標高: 1,736.2 m;所在地: 日本北海道日高郡新ひだか町・広尾郡大樹町;位置: 北緯42度29分58秒東経142度52分16秒座標: 北緯42度29分58秒 東経142度52分16秒;山系: 日高山脈;種類: 褶曲山脈;初登頂: 柴崎芳太郎（1913年）","日本二百名山","グループ形式"
"芦別岳","あしべつだけ","https://ja.wikipedia.org/wiki/芦別岳","北緯43度14分09秒東経142度17分01秒","標高: 1,726.14[1]m;所在地: 日本北海道富良野市・空知郡南富良野町・芦別市;位置: 北緯43度14分09秒東経142度17分01秒座標: 北緯43度14分09秒 東経142度17分01秒[2];山系: 夕張山地","日本二百名山","グループ形式"
"夕張岳","ゆうばりだけ","https://ja.wikipedia.org/wiki/夕張岳","北緯43度05分59秒東経142度15分04秒","標高: 1,667.72[1]m;所在地: 日本北海道夕張市・空知郡南富良野町;位置: 北緯43度05分59秒東経142度15分04秒座標: 北緯43度05分59秒 東経142度15分04秒[2];山系: 夕張山地","日本二百名山","グループ形式"
"暑寒別岳","しょかんべつだけ","https://ja.wikipedia.org/wiki/暑寒別岳","北緯43度43分0秒東経141度31分20秒","標高: 1,491.62[1]m;所在地: 北海道増毛郡増毛町雨竜郡雨竜町・北竜町樺戸郡新十津川町;位置: 北緯43度43分0秒東経141度31分20秒;山系: 増毛山地","日本二百名山","グループ形式"
"樽前山","たるまえさん","https://ja.wikipedia.org/wiki/樽前山","北緯42度41分26秒東経141度22分36秒","標高: 1,041 m;所在地: 北海道苫小牧市・千歳市;位置: 北緯42度41分26秒東経141度22分36秒座標: 北緯42度41分26秒 東経141度22分36秒;山系: 支笏カルデラ;種類: 火砕丘、溶岩ドーム(活火山ランクA)","日本二百名山","グループ形式"
"北海道駒ヶ岳","こまがたけ","https://ja.wikipedia.org/wiki/北海道駒ヶ岳","北緯42度03分48秒東経140度40分38秒","標高: 1,131[1]m;所在地: 日本北海道森町、鹿部町、七飯町;位置: 北緯42度03分48秒東経140度40分38秒座標: 北緯42度03分48秒 東経140度40分38秒[1];山系: 独立峰;種類: 成層火山（活火山ランクA）","日本二百名山","グループ形式"
"白神岳","しらかみだけ","https://ja.wikipedia.org/wiki/白神岳","北緯40度30分27秒東経140度01分06秒","標高: 1,235 m;所在地: 日本青森県西津軽郡深浦町;位置: 北緯40度30分27秒東経140度01分06秒座標: 北緯40度30分27秒 東経140度01分06秒;山系: 白神山地","日本二百名山","グループ形式"
"姫神山 (岩手県)","ひめかみさん","https://ja.wikipedia.org/wiki/姫神山_(岩手県)","北緯39度50分39秒東経141度14分49秒","標高: 1,123.8 m;所在地: 日本岩手県盛岡市;位置: 北緯39度50分39秒東経141度14分49秒座標: 北緯39度50分39秒 東経141度14分49秒;山系: 北上山地","日本二百名山","グループ形式"
"秋田駒ヶ岳","あきたこまがたけ","https://ja.wikipedia.org/wiki/秋田駒ヶ岳","北緯39度45分39.9774秒東経140度47分57.7149秒","標高: 1,637.4 m;所在地: 日本秋田県仙北市岩手県岩手郡雫石町;位置: 北緯39度45分39.9774秒東経140度47分57.7149秒座標: 北緯39度45分39.9774秒 東経140度47分57.7149秒;山系: 奥羽山脈;種類: 成層火山（活火山ランクB）;最新噴火: 1971年[1]","日本二百名山","グループ形式"
"和賀岳","わがだけ","https://ja.wikipedia.org/wiki/和賀岳","北緯39度34分13.4583秒東経140度45分15.2599秒","所在地: 秋田県・岩手県;位置: 北緯39度34分13.4583秒東経140度45分15.2599秒（和賀岳）;最高峰: 和賀岳（1,439[1]m）;延長: 40km;幅: 20km;貝吹岳: 992;五番森: 1048;モッコ岳: 1278;志度内モッコ: 1290;二ノ沢モッコ: 1190;朝日岳: 1376;大荒沢岳: 1313;和賀岳: 1439;錫杖森: 918;小杉山: 1229;薬師岳: 1218;大甲: 1108;甲山: 1013;中ノ沢岳: 1061;風鞍: 1023;青シカ山: 987;権現山: 722;白岩岳: 1177;白岩薬師: 1159;ブナ: 8.6;クリ: 8.13;ミズナラ: 6.9;ブナ: 6.62;クロベ: 8.04;スギ: 12.4;クリ: 8.13;和賀岳自然環境保全地域: 環境庁;真木真昼県立自然公園: 秋田県;和賀岳鳥獣保護区: 秋田県;和賀岳植物群落保護区: 林野庁","日本二百名山","グループ形式"
