"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"兼六園","兼六園（石川県金沢市）","https://ja.wikipedia.org/wiki/兼六園","北緯36度33分43.7秒東経136度39分45.0秒","分類: 池泉回遊式日本庭園;所在地: 日本石川県金沢市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度33分43.7秒東経136度39分45.0秒﻿ / ﻿北緯36.562139度 東経136.662500度﻿ / 36.562139; 136.662500座標: 北緯36度33分43.7秒東経136度39分45.0秒﻿ / ﻿北緯36.562139度 東経136.662500度﻿ / 36.562139; 136.662500;面積: 総面積 11.7ヘクタール;前身: 蓮池庭（1676年（延宝4年））;開園: 一般公開は1874年（明治7年）5月7日;現況: 年中開放（有料）3月1日-10月15日は午前7時-午後6時、10月16日-2月末日は午前8時-午後5時（早朝入園あり）;駐車場: 554台（兼六駐車場）;事務所: 石川県金沢城・兼六園管理事務所;事務所所在地: 石川県金沢市丸の内1番1号;公式サイト: 兼六園（石川県）;国:  日本;都道府県:  石川県;市町村:  金沢市;校下（地区）: 小立野校下味噌蔵町校下[18];• 合計: 0.16km2;• 合計: 49人;等時帯: UTC+9(日本標準時);郵便番号: 920-0936[21];市外局番: 076 (金沢MA)[22];ナンバープレート: 金沢;分類: 池泉回遊式日本庭園;所在地: 日本石川県金沢市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度33分43.7秒東経136度39分45.0秒﻿ / ﻿北緯36.562139度 東経136.662500度﻿ / 36.562139; 136.662500座標: 北緯36度33分43.7秒東経136度39分45.0秒﻿ / ﻿北緯36.562139度 東経136.662500度﻿ / 36.562139; 136.662500;面積: 総面積 11.7ヘクタール;前身: 蓮池庭（1676年（延宝4年））;開園: 一般公開は1874年（明治7年）5月7日;現況: 年中開放（有料）3月1日-10月15日は午前7時-午後6時、10月16日-2月末日は午前8時-午後5時（早朝入園あり）;駐車場: 554台（兼六駐車場）;事務所: 石川県金沢城・兼六園管理事務所;事務所所在地: 石川県金沢市丸の内1番1号;公式サイト: 兼六園（石川県）;国:  日本;都道府県:  石川県;市町村:  金沢市;校下（地区）: 小立野校下味噌蔵町校下[18];• 合計: 0.16km2;• 合計: 49人;等時帯: UTC+9(日本標準時);郵便番号: 920-0936[21];市外局番: 076 (金沢MA)[22];ナンバープレート: 金沢","日本庭園","箇条書き"
"後楽園","後楽園（岡山県岡山市北区）","https://ja.wikipedia.org/wiki/後楽園","","","日本庭園","箇条書き"
"偕楽園","偕楽園（茨城県水戸市）","https://ja.wikipedia.org/wiki/偕楽園","北緯36度22分23秒東経140度27分22秒","分類: 都市公園（広域公園）;所在地: 日本茨城県水戸市見川;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度22分23秒東経140度27分22秒﻿ / ﻿北緯36.37306度 東経140.45611度﻿ / 36.37306; 140.45611座標: 北緯36度22分23秒東経140度27分22秒﻿ / ﻿北緯36.37306度 東経140.45611度﻿ / 36.37306; 140.45611;面積: 13ha[2][3]（拡張部を合わせると300ha）;開園: 1842年（天保13年）7月1日;設計者: 徳川斉昭（好文亭の配置・建築意匠など）[2];運営者: 茨城県;年来園者数: 21万9574人[4];現況: 年中開放但し、偕楽園本園及び歴史館の区域は2/20～9/30の間午前6時から午後7時まで、10/1～2/19の間午前7時から午後6時まで。また、有料公園施設の好文亭は2/20～9/30の間午前9時から午後5時まで、10/1～2/19の間午前9時から午後4時30分まで。;公式サイト: 公式ウェブサイト;用途: 多目的施設;設計者: 徳川斉昭;延床面積: 381.05 m²;階数: 3;高さ: 8.01m;エレベーター数: 1;着工: 1841年3月11日;竣工: 1842年7月1日;開館開所: 1842年7月;所在地: 〒〒310-0033茨城県水戸市常磐町1丁目3-3;座標: 北緯36度22分27秒東経140度27分9秒﻿ / ﻿北緯36.37417度 東経140.45250度﻿ / 36.37417; 140.45250﻿ (好文亭);分類: 都市公園（広域公園）;所在地: 日本茨城県水戸市見川;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度22分23秒東経140度27分22秒﻿ / ﻿北緯36.37306度 東経140.45611度﻿ / 36.37306; 140.45611座標: 北緯36度22分23秒東経140度27分22秒﻿ / ﻿北緯36.37306度 東経140.45611度﻿ / 36.37306; 140.45611;面積: 13ha[2][3]（拡張部を合わせると300ha）;開園: 1842年（天保13年）7月1日;設計者: 徳川斉昭（好文亭の配置・建築意匠など）[2];運営者: 茨城県;年来園者数: 21万9574人[4];現況: 年中開放但し、偕楽園本園及び歴史館の区域は2/20～9/30の間午前6時から午後7時まで、10/1～2/19の間午前7時から午後6時まで。また、有料公園施設の好文亭は2/20～9/30の間午前9時から午後5時まで、10/1～2/19の間午前9時から午後4時30分まで。;公式サイト: 公式ウェブサイト;用途: 多目的施設;設計者: 徳川斉昭;延床面積: 381.05 m²;階数: 3;高さ: 8.01m;エレベーター数: 1;着工: 1841年3月11日;竣工: 1842年7月1日;開館開所: 1842年7月;所在地: 〒〒310-0033茨城県水戸市常磐町1丁目3-3;座標: 北緯36度22分27秒東経140度27分9秒﻿ / ﻿北緯36.37417度 東経140.45250度﻿ / 36.37417; 140.45250﻿ (好文亭)","日本庭園","箇条書き"
"毛越寺","毛越寺庭園 （岩手県西磐井郡平泉町）","https://ja.wikipedia.org/wiki/毛越寺","北緯38度59分14秒東経141度6分27秒","所在地: 岩手県西磐井郡平泉町字大沢58;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ / 38.98722; 141.10750﻿ (毛越寺本堂)座標: 北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ / 38.98722; 141.10750﻿ (毛越寺本堂);山号: 医王山（いおうざん）;宗旨: 天台宗;寺格: 別格本山;本尊: 薬師如来;創建年: （伝）嘉祥3年（850年）;開基: （伝）円仁（慈覚大師）;札所等: 奥州三十三観音霊場 番外札所四寺廻廊札所;文化財: 特別史跡特別名勝;公式HP: 天台宗 別格本山 毛越寺;法人番号: 8400505000257","日本庭園","箇条書き"
"旧観自在王院庭園","旧観自在王院庭園（岩手県西磐井郡平泉町）","https://ja.wikipedia.org/wiki/旧観自在王院庭園","","","日本庭園","箇条書き"
"光前寺","光前寺（長野県駒ヶ根市）","https://ja.wikipedia.org/wiki/光前寺","北緯35度44分5.45秒東経137度53分43.58秒","所在地: 長野県駒ヶ根市赤穂29番地;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度44分5.45秒東経137度53分43.58秒﻿ / ﻿北緯35.7348472度 東経137.8954389度﻿ / 35.7348472; 137.8954389座標: 北緯35度44分5.45秒東経137度53分43.58秒﻿ / ﻿北緯35.7348472度 東経137.8954389度﻿ / 35.7348472; 137.8954389;山号: 宝積山;院号: 無動院;宗派: 天台宗;寺格: 別格本山;本尊: 不動明王;創建年: 貞観2年（860年）;開基: 本聖;正式名: 宝積山 無動院 光前寺;札所等: 信濃五大寺伊那七福神（弁財天）;文化財: 弁天堂（国の重要文化財）国の名勝;法人番号: 6100005009054","日本庭園","箇条書き"
"一乗谷朝倉氏遺跡","一乗谷朝倉氏庭園（福井県福井市）","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","北緯35度59分58.17秒東経136度17分44.03秒","別名: 一乗谷城;城郭構造: 山城;天守構造: なし;築城主: 朝倉氏;築城年: 南北朝時代;主な改修者: 桂田長俊;主な城主: 朝倉氏、桂田長俊;廃城年: 1575年（天正3年）;遺構: 土塁、堀、虎口、石垣、礎石、;指定文化財: 遺跡（特別史跡）、庭園（特別名勝）、遺跡出土品（重要文化財）;位置: 北緯35度59分58.17秒東経136度17分44.03秒座標: 北緯35度59分58.17秒 東経136度17分44.03秒;地図: 朝倉館跡","日本庭園","箇条書き"
"西芳寺","西芳寺（苔寺） （京都府京都市西京区）","https://ja.wikipedia.org/wiki/西芳寺","北緯34度59分31.06秒東経135度40分59.93秒","所在地: 京都府京都市西京区松尾神ヶ谷町56;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ / 34.9919611; 135.6833139座標: 北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ / 34.9919611; 135.6833139;山号: 洪隠山;宗派: 臨済宗系単立;本尊: 阿弥陀如来;創建年: (伝)天平年間（729年- 749年）中興：暦応2年（1339年）;開基: (伝)行基中興：夢窓疎石;別称: 苔寺;文化財: 湘南亭・夢窓国師画像（重要文化財）庭園（特別名勝、史跡）世界遺産;法人番号: 6130005001735","日本庭園","箇条書き"
"龍安寺","龍安寺方丈石庭 （京都府京都市右京区）","https://ja.wikipedia.org/wiki/龍安寺","北緯35度2分4.18秒東経135度43分5.71秒","所在地: 京都府京都市右京区龍安寺御陵下町13;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ / 35.0344944; 135.7182528座標: 北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ / 35.0344944; 135.7182528;山号: 大雲山;宗派: 臨済宗妙心寺派;寺格: 境外塔頭;本尊: 釈迦如来;創建年: 宝徳2年（1450年）;開山: 義天玄承;開基: 細川勝元;文化財: 方丈、太平記12冊（重要文化財）方丈庭園（史跡・特別名勝）庭園（名勝）世界遺産;法人番号: 3130005001201","日本庭園","箇条書き"
"恵林寺","恵林寺国指定名勝庭園（山梨県甲州市）","https://ja.wikipedia.org/wiki/恵林寺","北緯35度43分47.9秒東経138度42分49.8秒","所在地: 山梨県甲州市塩山小屋敷2280;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度43分47.9秒東経138度42分49.8秒﻿ / ﻿北緯35.729972度 東経138.713833度﻿ / 35.729972; 138.713833座標: 北緯35度43分47.9秒東経138度42分49.8秒﻿ / ﻿北緯35.729972度 東経138.713833度﻿ / 35.729972; 138.713833;山号: 乾徳山;宗派: 臨済宗妙心寺派;本尊: 釈迦如来;創建年: 元徳2年（1330年）;開基: 夢窓疎石;札所等: 甲斐百八霊場9番;文化財: 四脚門ほか（重要文化財）庭園（名勝）;法人番号: 8090005003825","日本庭園","箇条書き"
