"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"石北峠","1石北峠せきほく北海道上川郡上川町・北見市","https://ja.wikipedia.org/wiki/石北峠","北緯43度38分54秒東経143度09分32秒","所在地: 北海道上川郡上川町・北見市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度38分54秒東経143度09分32秒﻿ / ﻿北緯43.64833度 東経143.15889度﻿ / 43.64833; 143.15889座標: 北緯43度38分54秒東経143度09分32秒﻿ / ﻿北緯43.64833度 東経143.15889度﻿ / 43.64833; 143.15889;標高: 1,050 m;山系: 石狩山地;通過路: 国道39号","日本百名峠","表形式"
"美幌峠","2美幌峠びほろ北海道網走郡美幌町・川上郡弟子屈町","https://ja.wikipedia.org/wiki/美幌峠","北緯43度38分55秒東経144度14分53秒","所在地: 日本北海道網走郡美幌町・川上郡弟子屈町;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度38分55秒東経144度14分53秒﻿ / ﻿北緯43.64861度 東経144.24806度﻿ / 43.64861; 144.24806座標: 北緯43度38分55秒東経144度14分53秒﻿ / ﻿北緯43.64861度 東経144.24806度﻿ / 43.64861; 144.24806;標高: 493 m;山系: 屈斜路カルデラ外輪山;通過路: 国道243号","日本百名峠","表形式"
"狩勝峠","3狩勝峠かりかち北海道空知郡南富良野町・上川郡新得町","https://ja.wikipedia.org/wiki/狩勝峠","北緯43度8分7.6秒東経142度45分52秒","所在地: 北海道空知郡南富良野町・上川郡新得町;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度8分7.6秒東経142度45分52秒﻿ / ﻿北緯43.135444度 東経142.76444度﻿ / 43.135444; 142.76444座標: 北緯43度8分7.6秒東経142度45分52秒﻿ / ﻿北緯43.135444度 東経142.76444度﻿ / 43.135444; 142.76444;標高: 644 m;山系: 日高山脈;通過路: 根室本線（新狩勝トンネル）国道38号道東自動車道（狩勝第一トンネル）","日本百名峠","表形式"
"発荷峠","4発荷峠はっか秋田県鹿角市・鹿角郡小坂町","https://ja.wikipedia.org/wiki/発荷峠","北緯40度24分30.31秒東経140度51分51.17秒","所在地: 秋田県鹿角市・小坂町;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度24分30.31秒東経140度51分51.17秒﻿ / ﻿北緯40.4084194度 東経140.8642139度﻿ / 40.4084194; 140.8642139座標: 北緯40度24分30.31秒東経140度51分51.17秒﻿ / ﻿北緯40.4084194度 東経140.8642139度﻿ / 40.4084194; 140.8642139;標高: 631 m;山系: 奥羽山脈;通過路: 国道103号","日本百名峠","表形式"
"矢立峠","5矢立峠やたて青森県平川市・秋田県大館市","https://ja.wikipedia.org/wiki/矢立峠","北緯40度25分16秒東経140度37分35秒","所在地: 秋田県大館市・青森県平川市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度25分16秒東経140度37分35秒﻿ / ﻿北緯40.42111度 東経140.62639度﻿ / 40.42111; 140.62639座標: 北緯40度25分16秒東経140度37分35秒﻿ / ﻿北緯40.42111度 東経140.62639度﻿ / 40.42111; 140.62639;標高: 258 m;山系: 奥羽山脈;通過路: 国道7号奥羽本線（矢立トンネル）","日本百名峠","表形式"
"八幡平","6八幡平はちまんたい岩手県八幡平市・秋田県鹿角市・仙北市","https://ja.wikipedia.org/wiki/八幡平","北緯39度57分28秒東経140度51分15秒","標高: 1,613.50[1]m;所在地: 日本岩手県八幡平市秋田県仙北市・鹿角市;位置: 北緯39度57分28秒東経140度51分15秒座標: 北緯39度57分28秒 東経140度51分15秒[2];山系: 奥羽山脈;種類: 成層火山[注釈 1]","日本百名峠","表形式"
"国見峠 (岩手県・秋田県)","7国見峠くにみ岩手県岩手郡雫石町・秋田県仙北市","https://ja.wikipedia.org/wiki/国見峠_(岩手県・秋田県)","北緯39度43分11秒東経140度47分18秒","所在地: 岩手県岩手郡雫石町・秋田県仙北市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯39度43分11秒東経140度47分18秒﻿ / ﻿北緯39.71972度 東経140.78833度﻿ / 39.71972; 140.78833座標: 北緯39度43分11秒東経140度47分18秒﻿ / ﻿北緯39.71972度 東経140.78833度﻿ / 39.71972; 140.78833;標高: 940 m;山系: 奥羽山脈","日本百名峠","表形式"
"笛吹峠 (岩手県)","8笛吹峠ふえふき岩手県遠野市・釜石市","https://ja.wikipedia.org/wiki/笛吹峠_(岩手県)","北緯39度20分39秒東経141度39分36秒","所在地: 岩手県遠野市・釜石市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯39度20分39秒東経141度39分36秒﻿ / ﻿北緯39.34417度 東経141.66000度﻿ / 39.34417; 141.66000座標: 北緯39度20分39秒東経141度39分36秒﻿ / ﻿北緯39.34417度 東経141.66000度﻿ / 39.34417; 141.66000;標高: 867 m;山系: 北上山地;通過路: 岩手県道35号釜石遠野線","日本百名峠","表形式"
"五輪峠 (岩手県)","9五輪峠ごりん岩手県花巻市・遠野市・奥州市","https://ja.wikipedia.org/wiki/五輪峠_(岩手県)","北緯39度15分37秒東経141度21分25秒","所在地: 岩手県花巻市・遠野市・奥州市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯39度15分37秒東経141度21分25秒﻿ / ﻿北緯39.26028度 東経141.35694度﻿ / 39.26028; 141.35694座標: 北緯39度15分37秒東経141度21分25秒﻿ / ﻿北緯39.26028度 東経141.35694度﻿ / 39.26028; 141.35694;標高: 556 m;山系: 北上山地;通過路: 岩手県道174号小友米里線","日本百名峠","表形式"
"仙人峠 (岩手県)","10仙人峠せんにん岩手県遠野市・釜石市","https://ja.wikipedia.org/wiki/仙人峠_(岩手県)","北緯39度16分35秒東経141度41分49秒","所在地: 岩手県遠野市・釜石市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯39度16分35秒東経141度41分49秒﻿ / ﻿北緯39.27639度 東経141.69694度﻿ / 39.27639; 141.69694座標: 北緯39度16分35秒東経141度41分49秒﻿ / ﻿北緯39.27639度 東経141.69694度﻿ / 39.27639; 141.69694;標高: 887 m;山系: 北上山地;通過路: 国道283号仙人峠道路（新仙人トンネル）国道283号（仙人トンネル）釜石線","日本百名峠","表形式"
