"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"縫道石山","1 ぬいどういしやま縫道石山青森県626地理院地図Googleマップ北緯41度18分47秒東経140度50分49秒﻿ / ﻿北緯41.313144度 東経140.846889度﻿ / 41.313144; 140.846889﻿ (縫道石山)","https://ja.wikipedia.org/wiki/縫道石山","北緯41度18分47.3秒東経140度50分48.8秒","標高: 626 m;所在地: 青森県佐井村・むつ市;位置: 北緯41度18分47.3秒東経140度50分48.8秒座標: 北緯41度18分47.3秒 東経140度50分48.8秒;種類: 岩頸[1]","東北百名山","表形式"
"吹越烏帽子","2 ふっこしえぼし吹越烏帽子青森県507.7地理院地図Googleマップ北緯41度02分15秒東経141度19分02秒﻿ / ﻿北緯41.037447度 東経141.317137度﻿ / 41.037447; 141.317137﻿ (吹越烏帽子)","https://ja.wikipedia.org/wiki/吹越烏帽子","北緯41度02分15秒東経141度19分02秒","標高: 507.8 m;所在地: 日本青森県横浜町・六ヶ所村;位置: 北緯41度02分15秒東経141度19分02秒座標: 北緯41度02分15秒 東経141度19分02秒","東北百名山","表形式"
"袴腰岳 (青森県むつ市) (存在しないページ)","3 画 像 募 集 中はかまごしだけ袴腰岳青森県707地理院地図Googleマップ北緯41度10分05秒東経140度34分46秒﻿ / ﻿北緯41.168014度 東経140.579325度﻿ / 41.168014; 140.579325﻿ (袴腰岳)","https://ja.wikipedia.org/w/index.php?title=袴腰岳_(青森県むつ市)&amp;action=edit&amp;redlink=1","","","東北百名山","表形式"
"天狗岳 (青森県)","4 てんぐだけ天狗岳青森県957.9地理院地図Googleマップ北緯40度31分38秒東経140度05分04秒﻿ / ﻿北緯40.527140度 東経140.084343度﻿ / 40.527140; 140.084343﻿ (天狗岳)白神山地","https://ja.wikipedia.org/wiki/天狗岳_(青森県)","北緯40度31分38秒東経140度05分04秒","標高: 957.6 m;所在地: 日本青森県西津軽郡深浦町;位置: 北緯40度31分38秒東経140度05分04秒座標: 北緯40度31分38秒 東経140度05分04秒;山系: 白神山地","東北百名山","表形式"
"白神岳","5 しらかみだけ白神岳青森県1,235地理院地図Googleマップ北緯40度30分13秒東経140度01分07秒﻿ / ﻿北緯40.503644度 東経140.018665度﻿ / 40.503644; 140.018665﻿ (白神岳)日本二百名山新日本百名山世界遺産白神山地","https://ja.wikipedia.org/wiki/白神岳","北緯40度30分27秒東経140度01分06秒","標高: 1,235 m;所在地: 日本青森県西津軽郡深浦町;位置: 北緯40度30分27秒東経140度01分06秒座標: 北緯40度30分27秒 東経140度01分06秒;山系: 白神山地","東北百名山","表形式"
"岩木山","6 いわきさん岩木山青森県1,624.7地理院地図Googleマップ北緯40度39分21秒東経140度18分11秒﻿ / ﻿北緯40.655920度 東経140.303069度﻿ / 40.655920; 140.303069﻿ (岩木山)日本百名山新日本百名山青森県最高峰津軽富士","https://ja.wikipedia.org/wiki/岩木山","北緯40度39分20秒東経140度18分13秒","標高: 1,624.62[1][2]m;所在地: 日本青森県弘前市・西津軽郡鰺ヶ沢町;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度39分20秒東経140度18分13秒﻿ / ﻿北緯40.65556度 東経140.30361度﻿ / 40.65556; 140.30361座標: 北緯40度39分20秒東経140度18分13秒﻿ / ﻿北緯40.65556度 東経140.30361度﻿ / 40.65556; 140.30361;山系: 独立峰;種類: 成層火山;最新噴火: 1863年[3]","東北百名山","表形式"
"八甲田山","7 きたはっこうだ・おおだけ北八甲田・大岳青森県1,584.6地理院地図Googleマップ北緯40度39分32秒東経140度52分38秒﻿ / ﻿北緯40.658912度 東経140.877243度﻿ / 40.658912; 140.877243﻿ (北八甲田・大岳)日本百名山（八甲田連峰全体を指す）新日本百名山新・花の百名山大岳","https://ja.wikipedia.org/wiki/八甲田山","北緯40度39分31秒東経140度52分38秒","標高: 大岳: 1,584 m;所在地: 青森県青森市・十和田市;位置: 北緯40度39分31秒東経140度52分38秒座標: 北緯40度39分31秒 東経140度52分38秒（大岳）;山系: 奥羽山脈;種類: 複成火山[1][2]（成層火山や溶岩ドームの火山群）[3]","東北百名山","表形式"
"櫛ヶ峯","8 みなみはっこうだ・くしがみね南八甲田・櫛ヶ峯青森県1,516.7地理院地図Googleマップ北緯40度36分11秒東経140度50分33秒﻿ / ﻿北緯40.603179度 東経140.842569度﻿ / 40.603179; 140.842569﻿ (南八甲田・櫛ヶ峯)上岳","https://ja.wikipedia.org/wiki/櫛ヶ峯","北緯40度36分11.4秒東経140度50分33.2秒","標高: 1,517 m;所在地: 日本青森県平川市・黒石市;位置: 北緯40度36分11.4秒東経140度50分33.2秒座標: 北緯40度36分11.4秒 東経140度50分33.2秒;山系: 南八甲田山系;種類: 火山","東北百名山","表形式"
"戸来岳","9 へらいだけ戸来岳青森県1,159.5地理院地図Googleマップ北緯40度27分11秒東経141度00分05秒﻿ / ﻿北緯40.452932度 東経141.001496度﻿ / 40.452932; 141.001496﻿ (戸来岳)三ツ岳大駒ヶ岳十和田湖東の外輪山","https://ja.wikipedia.org/wiki/戸来岳","北緯40度27分11秒東経141度00分05秒","標高: 1159.5 m;所在地: 日本青森県新郷村・十和田市;位置: 北緯40度27分11秒東経141度00分05秒座標: 北緯40度27分11秒 東経141度00分05秒","東北百名山","表形式"
"十和利山","10 とわりさん十和利山青森県秋田県990.9地理院地図Googleマップ北緯40度25分37秒東経140度59分06秒﻿ / ﻿北緯40.426930度 東経140.985135度﻿ / 40.426930; 140.985135﻿ (十和利山)十和田湖東の外輪山","https://ja.wikipedia.org/wiki/十和利山","北緯40度25分37.0秒東経140度59分06.5秒","標高: 990.9 m;所在地: 日本秋田県鹿角市青森県十和田市・三戸郡新郷村;位置: 北緯40度25分37.0秒東経140度59分06.5秒座標: 北緯40度25分37.0秒 東経140度59分06.5秒","東北百名山","表形式"
