"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"野幌森林公園","野幌森林公園（北海道札幌市）","https://ja.wikipedia.org/wiki/野幌森林公園","北緯43度03分09秒東経141度30分02秒","分類: 自然公園;所在地: 日本札幌市厚別区・江別市・北広島市;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度03分09秒東経141度30分02秒﻿ / ﻿北緯43.05250度 東経141.50056度﻿ / 43.05250; 141.50056座標: 北緯43度03分09秒東経141度30分02秒﻿ / ﻿北緯43.05250度 東経141.50056度﻿ / 43.05250; 141.50056;面積: 2,053ヘクタール;開園: 1968年;設計者: 加藤誠平ら[1];運営者: 北海道;バリアフリー: 公衆トイレ[2];アクセス: #交通アクセス参照;事務所: 北海道博物館総務課;事務所所在地: 札幌市厚別区厚別町小野幌53-2;備考: 公園内への動物・植物などの持ち込みは禁止（一部遊歩道では犬の散歩ができる）[3]広域避難場所[4];公式サイト: 道立自然公園野幌森林公園","森林浴の森100選","箇条書き"
"函館山","函館山（北海道函館市）","https://ja.wikipedia.org/wiki/函館山","北緯41度45分33秒東経140度42分16秒","標高: 334 m;所在地: 日本北海道函館市;位置: 北緯41度45分33秒東経140度42分16秒座標: 北緯41度45分33秒 東経140度42分16秒;種類: 成層火山[1]","森林浴の森100選","箇条書き"
"利尻島","利尻島自然休養林 （北海道利尻郡利尻町）","https://ja.wikipedia.org/wiki/利尻島","北緯45度10分東経141度15分","所在地: 日本(北海道);所在海域: 日本海;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度10分東経141度15分﻿ / ﻿北緯45.167度 東経141.250度﻿ / 45.167; 141.250座標: 北緯45度10分東経141度15分﻿ / ﻿北緯45.167度 東経141.250度﻿ / 45.167; 141.250;面積: 182.11 km²;最高標高: 1,721 m;最高峰: 利尻山;最大都市: 利尻富士町","森林浴の森100選","箇条書き"
"網走自然休養林 (存在しないページ)","網走自然休養林（北海道網走市）","https://ja.wikipedia.org/w/index.php?title=網走自然休養林&amp;action=edit&amp;redlink=1","","","森林浴の森100選","箇条書き"
"浅虫生活環境保全林 (存在しないページ)","浅虫生活環境保全林（青森県青森市）","https://ja.wikipedia.org/w/index.php?title=浅虫生活環境保全林&amp;action=edit&amp;redlink=1","","","森林浴の森100選","箇条書き"
"十二湖","十二湖自然休養林] （青森県西津軽郡深浦町）","https://ja.wikipedia.org/wiki/十二湖","","","森林浴の森100選","箇条書き"
"安比高原ブナ林 (存在しないページ)","安比高原ブナ林（岩手県八幡平市）","https://ja.wikipedia.org/w/index.php?title=安比高原ブナ林&amp;action=edit&amp;redlink=1","","","森林浴の森100選","箇条書き"
"耗山国有林 (存在しないページ)","耗山国有林、十二神自然観察教育林（岩手県宮古市）","https://ja.wikipedia.org/w/index.php?title=耗山国有林&amp;action=edit&amp;redlink=1","","","森林浴の森100選","箇条書き"
"高田松原","高田松原（岩手県陸前高田市）","https://ja.wikipedia.org/wiki/高田松原","","","森林浴の森100選","箇条書き"
"仙台自然休養林 (存在しないページ)","仙台自然休養林（宮城県仙台市）","https://ja.wikipedia.org/w/index.php?title=仙台自然休養林&amp;action=edit&amp;redlink=1","","","森林浴の森100選","箇条書き"
