"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"船泊遺跡 (存在しないページ)","船泊遺跡（礼文町）","https://ja.wikipedia.org/w/index.php?title=船泊遺跡&amp;action=edit&amp;redlink=1","","","縄文時代の遺跡一覧","箇条書き"
"戸井貝塚 (存在しないページ)","戸井貝塚（函館市）","https://ja.wikipedia.org/w/index.php?title=戸井貝塚&amp;action=edit&amp;redlink=1","","","縄文時代の遺跡一覧","箇条書き"
"著保内野遺跡","著保内野遺跡（函館市）","https://ja.wikipedia.org/wiki/著保内野遺跡","","","縄文時代の遺跡一覧","箇条書き"
"垣ノ島遺跡","垣ノ島遺跡（函館市）","https://ja.wikipedia.org/wiki/垣ノ島遺跡","","","縄文時代の遺跡一覧","箇条書き"
"大船遺跡","大船遺跡（函館市）","https://ja.wikipedia.org/wiki/大船遺跡","","","縄文時代の遺跡一覧","箇条書き"
"サイベ沢遺跡","サイベ沢遺跡（函館市）","https://ja.wikipedia.org/wiki/サイベ沢遺跡","","","縄文時代の遺跡一覧","箇条書き"
"中野A遺跡 (存在しないページ)","中野A遺跡（函館市）","https://ja.wikipedia.org/w/index.php?title=中野A遺跡&amp;action=edit&amp;redlink=1","","","縄文時代の遺跡一覧","箇条書き"
"中野B遺跡 (存在しないページ)","中野B遺跡（函館市）","https://ja.wikipedia.org/w/index.php?title=中野B遺跡&amp;action=edit&amp;redlink=1","","","縄文時代の遺跡一覧","箇条書き"
"コタン温泉遺跡 (存在しないページ)","コタン温泉遺跡（八雲町）","https://ja.wikipedia.org/w/index.php?title=コタン温泉遺跡&amp;action=edit&amp;redlink=1","","","縄文時代の遺跡一覧","箇条書き"
"鷲ノ木遺跡","鷲ノ木遺跡（森町）","https://ja.wikipedia.org/wiki/鷲ノ木遺跡","","","縄文時代の遺跡一覧","箇条書き"
"東山1遺跡 (存在しないページ)","東山1遺跡（岩内町）","https://ja.wikipedia.org/w/index.php?title=東山1遺跡&amp;action=edit&amp;redlink=1","","","縄文時代の遺跡一覧","箇条書き"
"北黄金貝塚","北黄金貝塚（伊達市）","https://ja.wikipedia.org/wiki/北黄金貝塚","","","縄文時代の遺跡一覧","箇条書き"
"忍路環状列石","忍路環状列石（小樽市）","https://ja.wikipedia.org/wiki/忍路環状列石","","","縄文時代の遺跡一覧","箇条書き"
