"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"東京国立博物館","（東京都）","https://ja.wikipedia.org/wiki/東京国立博物館","北緯35度43分8.6秒東経139度46分36秒","正式名称: 東京国立博物館;愛称: 東博、トーハク;前身: 文部省博物館、帝室博物館;専門分野: 日本と東洋の文化財;管理運営: 独立行政法人国立文化財機構;建物設計: 本館 - 渡辺仁東洋館 - 谷口吉郎表慶館 - 片山東熊法隆寺宝物館 - 谷口吉生黒田記念館 - 岡田信一郎;開館: 1872年（明治5年）;所在地: 〒110-8712東京都台東区上野公園13番9号;位置: 北緯35度43分8.6秒東経139度46分36秒﻿ / ﻿北緯35.719056度 東経139.77667度﻿ / 35.719056; 139.77667座標: 北緯35度43分8.6秒東経139度46分36秒﻿ / ﻿北緯35.719056度 東経139.77667度﻿ / 35.719056; 139.77667;アクセス: JR・東京メトロ上野駅京成本線京成上野駅より徒歩;外部リンク: www.tnm.jp","美術館の一覧","箇条書き,制限あり","1872年（明治5年）に創設された、日本最古の博物館である。東京都台東区の上野恩賜公園内にある。本館、表慶館、 東洋館、平成館、法隆寺宝物館の5つの展示館と資料館その他の施設からなる。2020年3月31日時点で、国宝89件、重要文化財646件を含む収蔵品の総数は119,871件。これとは別に、国宝52件、重要文化財245件を含む総数2,591件の寄託品を収蔵している。総合文化展（平常展）に展示している文化財の件数は約3,000件で、2019年度の平常展の展示替え件数は5,813件、展示総件数は9,267件。同年度の来館者数は約259万人で、平常展来場者は約103万人。"
"京都国立博物館","（京都府）","https://ja.wikipedia.org/wiki/京都国立博物館","北緯34度59分23.8秒東経135度46分23.2秒","正式名称: 京都国立博物館;愛称: 京博、キョーハク;前身: 帝国京都博物館京都帝室博物館恩賜京都博物館;専門分野: 京都を中心とした日本・東洋の文化財;管理運営: 独立行政法人国立文化財機構;建物設計: 明治古都館 - 片山東熊平成知新館 - 谷口吉生;延床面積: 25,275m2;開館: 1897年（明治30年）5月;所在地: 〒605-0931京都府京都市東山区茶屋町527;位置: 北緯34度59分23.8秒東経135度46分23.2秒﻿ / ﻿北緯34.989944度 東経135.773111度﻿ / 34.989944; 135.773111座標: 北緯34度59分23.8秒東経135度46分23.2秒﻿ / ﻿北緯34.989944度 東経135.773111度﻿ / 34.989944; 135.773111;アクセス: 最寄駅：京阪本線七条駅;外部リンク: 京都国立博物館","美術館の一覧","箇条書き,制限あり","主に平安時代から江戸時代にかけての京都の文化を中心とした文化財を、収集・保管・展示するとともに、文化財に関する研究、普及活動を行っている。平常展示のほかに特別展が1年に2～4回行われている。"
"奈良国立博物館","（奈良県）","https://ja.wikipedia.org/wiki/奈良国立博物館","北緯34度41分1.32秒東経135度50分11.04秒","愛称: 奈良博、ならはく;前身: 帝国奈良博物館奈良帝室博物館;専門分野: 仏教美術;管理運営: 独立行政法人国立文化財機構;延床面積: 19,539m2（展示館部分）;開館: 1895年（明治28年）;所在地: 〒630-8213奈良県奈良市登大路町50;位置: 北緯34度41分1.32秒東経135度50分11.04秒﻿ / ﻿北緯34.6837000度 東経135.8364000度﻿ / 34.6837000; 135.8364000座標: 北緯34度41分1.32秒東経135度50分11.04秒﻿ / ﻿北緯34.6837000度 東経135.8364000度﻿ / 34.6837000; 135.8364000;外部リンク: 奈良国立博物館","美術館の一覧","箇条書き,制限あり","仏教美術を中心とした文化財の収集、保管、研究、展示を行うとともに、講演会や出版活動などを通じた普及活動を行うことを主たる活動内容としている。展示施設は本館、本館付属棟、東新館、西新館、地下回廊がある。このうち本館は、赤坂離宮（迎賓館）などを手がけた宮廷建築家・片山東熊の設計により1894年（明治27年）竣工したもので、明治期の洋風建築の代表例として重要文化財に指定されている。展示品は館蔵品のほか、奈良県下を中心とした社寺や個人からの寄託品も多い。毎年秋に実施される「正倉院展」の会場でもある。"
"九州国立博物館","（福岡県）","https://ja.wikipedia.org/wiki/九州国立博物館","北緯33度31分6.08秒東経130度32分17.87秒","愛称: 九博、キューハク、九国、キューコク;専門分野: 日本とアジアの歴史;管理運営: 独立行政法人国立文化財機構;開館: 2005年10月16日;所在地: 〒818-0118福岡県太宰府市石坂4-7-2;位置: 北緯33度31分6.08秒東経130度32分17.87秒﻿ / ﻿北緯33.5183556度 東経130.5382972度﻿ / 33.5183556; 130.5382972座標: 北緯33度31分6.08秒東経130度32分17.87秒﻿ / ﻿北緯33.5183556度 東経130.5382972度﻿ / 33.5183556; 130.5382972;外部リンク: 九州国立博物館","美術館の一覧","箇条書き,制限あり","100年以上の歴史を有する東京・京都・奈良の3つの国立博物館が美術系博物館であるのに対して、九州国立博物館は歴史系博物館として設立された。九州が日本におけるアジア文化との交流の重要な窓口であった歴史的かつ地理的背景を踏まえ「日本文化の形成をアジア史的観点から捉える博物館」を基本理念に、旧石器時代から近世末期（開国）までの日本の文化の形成について展示している。"
"国立西洋美術館","（東京都）","https://ja.wikipedia.org/wiki/国立西洋美術館","北緯35度42分56秒東経139度46分33秒","専門分野: 20世紀初頭までの西洋美術;収蔵作品数: 5,772点、寄託作品数 319点（平成28年度末現在）;来館者数: 1,162,345人(2016年);館長: 馬渕明子: 2013年（平成25年）8月 - 2021年（令和3年）3月31日田中正之：2021年（令和3）年4月1日就任;管理運営: 独立行政法人国立美術館;建物設計: 本文を参照;延床面積: 17,369m2;開館: 1959年（昭和34年)6月10日;所在地: 〒110-0007東京都台東区上野公園7番7号;位置: 北緯35度42分56秒東経139度46分33秒﻿ / ﻿北緯35.71556度 東経139.77583度﻿ / 35.71556; 139.77583座標: 北緯35度42分56秒東経139度46分33秒﻿ / ﻿北緯35.71556度 東経139.77583度﻿ / 35.71556; 139.77583;アクセス: JR・東京メトロ上野駅京成本線京成上野駅より徒歩;外部リンク: https://www.nmwa.go.jp/","美術館の一覧","箇条書き,制限あり","2020年10月19日より2022年春（予定）まで、館内施設整備のため、全館休館。"
"国立国際美術館","（大阪府）","https://ja.wikipedia.org/wiki/国立国際美術館","北緯34度41分30.43秒東経135度29分31.28秒","愛称: 国際美、NMAO;専門分野: 現代美術;管理運営: 独立行政法人国立美術館;開館: 1977年10月15日;所在地: 〒530-0005大阪市北区中之島4-2-55;位置: 北緯34度41分30.43秒東経135度29分31.28秒﻿ / ﻿北緯34.6917861度 東経135.4920222度﻿ / 34.6917861; 135.4920222座標: 北緯34度41分30.43秒東経135度29分31.28秒﻿ / ﻿北緯34.6917861度 東経135.4920222度﻿ / 34.6917861; 135.4920222;外部リンク: 国立国際美術館","美術館の一覧","箇条書き,制限あり","設計者は建築家シーザー・ペリ。大阪市立科学館に隣接する敷地に、美術館としての機能を果たす主要部分を全て地下に収めたユニークな建物で、エントランス・講堂、レストラン、ミュージアムショップなどは地下1階に、展示室及び収蔵庫は地下2・3階にある。展示室のうち、企画展示（現代美術に限らず、新聞社主催の様々な展覧会が開催される）は地下3階で、常設展示（および、現代美術の若手など重要な作家を紹介する企画展シリーズ）は地下2階で行われている。"
"東京国立近代美術館","（東京都）","https://ja.wikipedia.org/wiki/東京国立近代美術館","北緯35度41分25.83秒東経139度45分16.75秒","愛称: 東近美、MoMAT;館長: 加藤敬;管理運営: 独立行政法人国立美術館;建物設計: 谷口吉郎;延床面積: 14,439m2;所在地: 〒102-0091東京都千代田区北の丸公園3番1号;位置: 北緯35度41分25.83秒東経139度45分16.75秒﻿ / ﻿北緯35.6905083度 東経139.7546528度﻿ / 35.6905083; 139.7546528座標: 北緯35度41分25.83秒東経139度45分16.75秒﻿ / ﻿北緯35.6905083度 東経139.7546528度﻿ / 35.6905083; 139.7546528;外部リンク: www.momat.go.jp;正式名称: 国立工芸館;愛称: NCM;専門分野: 工芸;収蔵作品数: 約1,900点;館長: 唐澤昌宏;管理運営: 独立行政法人国立美術館;開館: 2020年10月25日;所在地: 〒920-0963石川県金沢市出羽町3-2;位置: 北緯36度33分33秒東経136度39分42.5秒﻿ / ﻿北緯36.55917度 東経136.661806度﻿ / 36.55917; 136.661806﻿ (国立工芸館);外部リンク: https://www.momat.go.jp/cg/;愛称: 東近美、MoMAT;館長: 加藤敬;管理運営: 独立行政法人国立美術館;建物設計: 谷口吉郎;延床面積: 14,439m2;所在地: 〒102-0091東京都千代田区北の丸公園3番1号;位置: 北緯35度41分25.83秒東経139度45分16.75秒﻿ / ﻿北緯35.6905083度 東経139.7546528度﻿ / 35.6905083; 139.7546528座標: 北緯35度41分25.83秒東経139度45分16.75秒﻿ / ﻿北緯35.6905083度 東経139.7546528度﻿ / 35.6905083; 139.7546528;外部リンク: www.momat.go.jp;正式名称: 国立工芸館;愛称: NCM;専門分野: 工芸;収蔵作品数: 約1,900点;館長: 唐澤昌宏;管理運営: 独立行政法人国立美術館;開館: 2020年10月25日;所在地: 〒920-0963石川県金沢市出羽町3-2;位置: 北緯36度33分33秒東経136度39分42.5秒﻿ / ﻿北緯36.55917度 東経136.661806度﻿ / 36.55917; 136.661806﻿ (国立工芸館);外部リンク: https://www.momat.go.jp/cg/","美術館の一覧","箇条書き,制限あり","東京都千代田区北の丸公園内にある本館と、石川県金沢市にある工芸館（国立工芸館）から構成される。"
"京都国立近代美術館","（京都府）","https://ja.wikipedia.org/wiki/京都国立近代美術館","北緯35度0分44.6秒東経135度46分55秒","正式名称: 京都国立近代美術館（英語表記）The National Museum of Modern Art, Kyoto (MoMAK);愛称: 京近美、MoMAK;館長: 柳原正樹;管理運営: 独立行政法人国立美術館;建物設計: 槇文彦;延床面積: 9,983m2;所在地: 〒606-8344京都府京都市左京区岡崎円勝寺町26番地1;位置: 北緯35度0分44.6秒東経135度46分55秒﻿ / ﻿北緯35.012389度 東経135.78194度﻿ / 35.012389; 135.78194座標: 北緯35度0分44.6秒東経135度46分55秒﻿ / ﻿北緯35.012389度 東経135.78194度﻿ / 35.012389; 135.78194;アクセス: 京都市営地下鉄東西線東山駅徒歩約10分京都市営バス岡崎公園 美術館・平安神宮前 徒歩すぐ京都市営バス 岡崎公園 ロームシアター京都・みやこめっせ前 徒歩約5分京都市営バス東山二条・岡崎公園口 徒歩約10分;外部リンク: 京都国立近代美術館","美術館の一覧","箇条書き,制限あり","日本の近代美術史全体に配慮しながら、京都を中心に関西・西日本の美術に比重を置き、京都画壇の日本画、洋画などを積極的に収集、展示し、河井寛次郎の陶芸、染織など工芸作品のコレクションも充実している。現在の建物（新館）はプリツカー賞建築家槇文彦による設計で1986年（昭和61年）に竣工した。"
"国立新美術館","（東京都）","https://ja.wikipedia.org/wiki/国立新美術館","北緯35度39分54秒東経139度43分35秒","専門分野: 美術;来館者数: 2,623,156人（2016年）日本第1位、世界第20位;管理運営: 独立行政法人国立美術館;建物設計: 黒川紀章・日本設計;延床面積: 約49,830m2;開館: 2007年（平成19年）1月21日;所在地: 〒106-8558東京都港区六本木七丁目22番2号;位置: 北緯35度39分54秒東経139度43分35秒﻿ / ﻿北緯35.66500度 東経139.72639度﻿ / 35.66500; 139.72639座標: 北緯35度39分54秒東経139度43分35秒﻿ / ﻿北緯35.66500度 東経139.72639度﻿ / 35.66500; 139.72639;アクセス: 千代田線乃木坂駅青山霊園方面改札6出口（美術館直結）日比谷線・都営大江戸線六本木駅7出口から徒歩約4分;外部リンク: www.nact.jp","美術館の一覧","箇条書き,制限あり","文化庁国立新美術館設立準備室と独立行政法人国立美術館が主体となって東京大学生産技術研究所跡地に建設された美術館である。"
"三の丸尚蔵館","（東京都）","https://ja.wikipedia.org/wiki/三の丸尚蔵館","北緯35度41分11秒東経139度45分33秒","専門分野: 天皇・皇族から国庫に寄付された美術品等;管理運営: 宮内庁;開館: 1993年（平成5年）11月3日;所在地: 〒100-0001東京都千代田区千代田1-1 皇居東御苑内;位置: 北緯35度41分11秒東経139度45分33秒﻿ / ﻿北緯35.68639度 東経139.75917度﻿ / 35.68639; 139.75917座標: 北緯35度41分11秒東経139度45分33秒﻿ / ﻿北緯35.68639度 東経139.75917度﻿ / 35.68639; 139.75917;外部リンク: 三の丸尚蔵館","美術館の一覧","箇条書き,制限あり","昭和天皇の死後の1989年（平成元年）6月に遺族の明仁と香淳皇后から寄贈され国庫に帰属した美術品を保存、研究、公開するための施設として、1992年（平成4年）9月に皇居東御苑内に建設され、1993年（平成5年）11月3日に開館した。開館以後も皇族からの寄贈により収蔵品が度々追加されており、現在の収蔵点数は9,800点。"
