"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"高尾山","1 高尾山たかおさん599m東京都フクジュソウ 地理院地図Google Map年間登山者数世界一ミシュランガイド三ツ星の観光地","https://ja.wikipedia.org/wiki/高尾山","北緯35度37分31秒東経139度14分37秒","標高: 599.3[1]m;所在地: 日本東京都八王子市高尾町;位置: 北緯35度37分31秒東経139度14分37秒座標: 北緯35度37分31秒 東経139度14分37秒;山系: 関東山地（秩父山地）;番号: 番号和名科名1アカコミヤマスミレスミレ科2アケボノミヤマシキミミカン科3アケボノオオフジイバラバラ科4アサカワソウイネ科5アズマナシバラ科6イトホロシナス科7ウスゲヌスビトハギマメ科8ウスベニアカショウマユキノシタ科9ウスベニニリンソウキンポウゲ科10エダウチミゾシダオシダ科11オオツクバネガシブナ科12オオツルウメモドキニシキギ科13オンガタイノデオシダ科14オンガタヒゴタイキク科15キイロミミガタテンナンショウサトイモ科16キランニシキゴロモシソ科17ケタニタデアカバナ科18ケヒメカンスゲカヤツリグサ科19コボトケスミレスミレ科20サツキヒナノウスツボゴマノハグサ科21シロバナオオジャノヒゲユリ科22シロバナヒナスミレスミレ科23シロバナフクシマシャジンキキョウ科24シロミノアオキミズキ科25ジンバイカリソウメギ科26ジンバホウチャクソウユリ科27タカオイノデオシダ科28タカオコバノガマズミスイカズラ科29タカオシケチシダオシダ科30タカオスゲカヤツリグサ科31タカオスミレスミレ科32タカオヒゴタイキク科","花の百名山","表形式"
"大楠山","2 大楠山おおぐすやま241m神奈川県フユノハナワラビ 地理院地図Google Map三浦半島最高峰","https://ja.wikipedia.org/wiki/大楠山","北緯35度15分00秒東経139度37分41秒","標高: 241.3 m;所在地: 神奈川県横須賀市;位置: 北緯35度15分00秒東経139度37分41秒;山系: 三浦丘陵","花の百名山","表形式"
"御前山 (東京都)","3 御前山ごぜんやま1,405m東京都カタクリ 地理院地図Google Map奥多摩三山","https://ja.wikipedia.org/wiki/御前山_(東京都)","北緯35度46分13秒東経139度4分50秒","標高: 1,405 m;所在地: 日本東京都西多摩郡奥多摩町、檜原村;位置: 北緯35度46分13秒東経139度4分50秒﻿ / ﻿北緯35.77028度 東経139.08056度﻿ / 35.77028; 139.08056座標: 北緯35度46分13秒東経139度4分50秒﻿ / ﻿北緯35.77028度 東経139.08056度﻿ / 35.77028; 139.08056;山系: 奥多摩","花の百名山","表形式"
"三頭山 (東京都)","4 三頭山みとうさん1,531m東京都ハシリドコロ 地理院地図Google Map日本三百名山","https://ja.wikipedia.org/wiki/三頭山_(東京都)","北緯35度44分19秒東経139度00分51秒","標高: 1,531 m;所在地: 日本東京都西多摩郡奥多摩町、檜原村山梨県上野原市、北都留郡小菅村;位置: 北緯35度44分19秒東経139度00分51秒座標: 北緯35度44分19秒 東経139度00分51秒;山系: 奥多摩","花の百名山","表形式"
"幕山","5 幕山まくやま625m神奈川県タツナミソウ 地理院地図Google Map湯河原","https://ja.wikipedia.org/wiki/幕山","北緯35度10分23秒東経139度5分29秒","標高: 626 m;所在地: 神奈川県湯河原町;位置: 北緯35度10分23秒東経139度5分29秒﻿ / ﻿北緯35.17306度 東経139.09139度﻿ / 35.17306; 139.09139座標: 北緯35度10分23秒東経139度5分29秒﻿ / ﻿北緯35.17306度 東経139.09139度﻿ / 35.17306; 139.09139;山系: 箱根山;種類: 溶岩ドーム;最新噴火: 約15万年前[1]","花の百名山","表形式"
"武甲山","6 武甲山ぶこうさん1,304m埼玉県セツブンソウ 地理院地図Google Map日本二百名山","https://ja.wikipedia.org/wiki/武甲山","北緯35度57分06秒東経139度05分52秒","標高: 1,304[1]m;所在地: 埼玉県秩父市、秩父郡横瀬町;位置: 北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ / 35.95167; 139.09778座標: 北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ / 35.95167; 139.09778;山系: 秩父山地","花の百名山","表形式"
"高鈴山","7 高鈴山たかすずさん623m茨城県センブリ 地理院地図Google Map一等三角点電波塔","https://ja.wikipedia.org/wiki/高鈴山","北緯36度37分16秒東経140度35分16秒","標高: 623.3[1]m;所在地: 日本茨城県日立市・常陸太田市;位置: 北緯36度37分16秒東経140度35分16秒座標: 北緯36度37分16秒 東経140度35分16秒[1];山系: 阿武隈高地","花の百名山","表形式"
"天城山","8 天城山あまぎさん1,405m静岡県ヒメシャラ 地理院地図Google Map富士箱根伊豆国立公園日本百名山新日本百名山","https://ja.wikipedia.org/wiki/天城山","北緯34度51分46秒東経139度00分06秒","標高: 万三郎岳 1,406[1]m;所在地: 静岡県伊豆市・伊東市・賀茂郡東伊豆町・賀茂郡河津町;位置: 北緯34度51分46秒東経139度00分06秒座標: 北緯34度51分46秒 東経139度00分06秒[1];山系: 伊豆半島;種類: 成層火山;標高: 万三郎岳 1,406[1]m;所在地: 静岡県伊豆市・伊東市・賀茂郡東伊豆町・賀茂郡河津町;位置: 北緯34度51分46秒東経139度00分06秒座標: 北緯34度51分46秒 東経139度00分06秒[1];山系: 伊豆半島;種類: 成層火山","花の百名山","表形式"
"三筋山 (存在しないページ)","9 三筋山みすじやま812m静岡県ホソバコガク[[Image:画像募集中|128px]]地理院地図Google Map伊豆半島","https://ja.wikipedia.org/w/index.php?title=三筋山&amp;action=edit&amp;redlink=1","","","花の百名山","表形式"
"大山 (神奈川県)","10 大山おおやま1,252m神奈川県ウラシマソウ 地理院地図Google Map丹沢の山日本三百名山","https://ja.wikipedia.org/wiki/大山_(神奈川県)","北緯35度26分27秒東経139度13分52秒","標高: 1,252 m;所在地: 神奈川県伊勢原市、秦野市、厚木市;位置: 北緯35度26分27秒東経139度13分52秒;山系: 丹沢山地","花の百名山","表形式"
