"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"本居宣長旧宅 同 宅跡","（もとおりのりながきゅうたく どう たくあと）〔松阪市〕1922年3月8日","https://ja.wikipedia.org/wiki/本居宣長旧宅","北緯34度34分30.9秒東経136度31分33.0秒","","近畿地方の史跡一覧","箇条書き,制限あり",""
"久留倍官衙遺跡","（くるべかんがいせき）〔四日市市〕","https://ja.wikipedia.org/wiki/久留倍官衙遺跡","北緯35度00分53秒東経136度38分00秒","","近畿地方の史跡一覧","箇条書き,制限あり","久留倍官衙遺跡（くるべかんがいせき）は、三重県四日市市大矢知町にある官衙遺跡。2006年（平成18年）7月28日に国の史跡に指定されている。"
"伊勢国府跡","（いせこくふあと）〔鈴鹿市〕2002年3月19日","https://ja.wikipedia.org/wiki/伊勢国府跡","","別称: 勢州（せいしゅう）;所属: 東海道;相当領域: 三重県の北中部、愛知県弥富市の一部、愛知県愛西市の一部、岐阜県海津市の一部;国力: 大国;距離: 近国;郡・郷数: 13郡84郷;伊勢国府: 三重県鈴鹿市（伊勢国府跡）;伊勢国分寺: 三重県鈴鹿市（伊勢国分寺跡）;伊勢国分尼寺: （推定）三重県鈴鹿市;一宮: 椿大神社（三重県鈴鹿市）;津藩: 津城;久居藩津藩支藩: 久居陣屋;桑名藩: 桑名城;伊勢亀山藩: 伊勢亀山城;長島藩: 長島城;神戸藩: 神戸城;菰野藩: 菰野陣屋;田丸藩: 田丸城;松坂藩: 松坂城;伊勢上野藩: 伊勢上野城;八田藩: 東阿倉川陣屋;伊勢西条藩: 菊間陣屋;南林崎藩: 南林崎陣屋;林藩: 林城;雲出藩:;別称: 勢州（せいしゅう）;所属: 東海道;相当領域: 三重県の北中部、愛知県弥富市の一部、愛知県愛西市の一部、岐阜県海津市の一部;国力: 大国;距離: 近国;郡・郷数: 13郡84郷;伊勢国府: 三重県鈴鹿市（伊勢国府跡）;伊勢国分寺: 三重県鈴鹿市（伊勢国分寺跡）;伊勢国分尼寺: （推定）三重県鈴鹿市;一宮: 椿大神社（三重県鈴鹿市）;津藩: 津城;久居藩津藩支藩: 久居陣屋;桑名藩: 桑名城;伊勢亀山藩: 伊勢亀山城;長島藩: 長島城;神戸藩: 神戸城;菰野藩: 菰野陣屋;田丸藩: 田丸城;松坂藩: 松坂城;伊勢上野藩: 伊勢上野城;八田藩: 東阿倉川陣屋;伊勢西条藩: 菊間陣屋;南林崎藩: 南林崎陣屋;林藩: 林城;雲出藩:","近畿地方の史跡一覧","箇条書き,制限あり","語源は「伊呂勢（＝弟）」であり、出雲の分派としての機能から発達したという説がある。また、海に近いことから「イソ」が転じたとする説もある。"
"伊勢国分寺跡","（いせこくぶんじあと）〔鈴鹿市〕1922年10月12日","https://ja.wikipedia.org/wiki/伊勢国分寺跡","","","近畿地方の史跡一覧","箇条書き,制限あり",""
"正法寺山荘跡","（しょうぼうじさんそうあと）〔亀山市〕","https://ja.wikipedia.org/w/index.php?title=正法寺山荘跡&amp;action=edit&amp;redlink=1","","","近畿地方の史跡一覧","箇条書き,制限あり",""
"野村一里塚","（のむらいちりづか）〔亀山市〕1934年1月22日","https://ja.wikipedia.org/wiki/野村一里塚","北緯34度51分26秒東経136度26分14秒","","近畿地方の史跡一覧","箇条書き,制限あり",""
"明合古墳","（あけあいこふん）〔津市〕","https://ja.wikipedia.org/wiki/明合古墳","北緯34度46分2.65秒東経136度26分23.22秒","所属: 明合古墳群;所在地: 三重県津市安濃町田端上野（明合古墳歴史公園内）;位置: 北緯34度46分2.65秒東経136度26分23.22秒﻿ / ﻿北緯34.7674028度 東経136.4397833度﻿ / 34.7674028; 136.4397833座標: 北緯34度46分2.65秒東経136度26分23.22秒﻿ / ﻿北緯34.7674028度 東経136.4397833度﻿ / 34.7674028; 136.4397833;形状: 方墳（または双方中方墳）;規模: 一辺60m（墳丘長81m）高さ10m;埋葬施設: 不明;出土品: 埴輪・須恵器;陪塚: 5基（8基?）;築造時期: 5世紀前半;史跡: 国の史跡「明合古墳」;特記事項: 方墳としては全国第10位の規模;地図: 明合古墳","近畿地方の史跡一覧","箇条書き,制限あり","三重県中部、安濃川右岸の経ヶ峰から延びる台地上に築造された大型方墳である。1949年（昭和24年）に古墳として発見されている。"
"多気北畠氏城館跡","（たげきたばたけしやかたあと）〔津市〕1936年9月3日北畠氏館跡（きたばたけしやかたあと） - 北畠神社霧山城跡（きりやまじょうあと）","https://ja.wikipedia.org/w/index.php?title=多気御所&amp;action=edit&amp;redlink=1","","","近畿地方の史跡一覧","箇条書き,制限あり",""
"北畠神社","","https://ja.wikipedia.org/wiki/北畠神社","北緯34度31分06.86秒東経136度17分55.93秒","所在地: 三重県津市美杉町上多気1148;位置: 北緯34度31分06.86秒東経136度17分55.93秒﻿ / ﻿北緯34.5185722度 東経136.2988694度﻿ / 34.5185722; 136.2988694﻿ (北畠神社)座標: 北緯34度31分06.86秒東経136度17分55.93秒﻿ / ﻿北緯34.5185722度 東経136.2988694度﻿ / 34.5185722; 136.2988694﻿ (北畠神社);主祭神: 北畠顕能;社格等: 別格官幣社・別表神社;創建: 寛永20年（1643年）;別名: 国司さん;例祭: 5月5日、10月13日;地図: 北畠神社","近畿地方の史跡一覧","箇条書き,制限あり","由来書によれば、北畠具房の4代孫鈴木孫兵衛家次が寛永20年（1643年）3月、旧縁の地に小祠を設けて北畠八幡宮と称したのが創祀という。ただし、当初は八幡神の勧請のみで、顕能を奉祀したのは元禄年間に下るとの説もある。やがて八幡三神に倣い、北畠親房・顕家を合祀する。1881年（明治14年）11月村社北畠神社に改称。1907年（同40年）12月多芸村内の16社を合祀し、1916年（大正5年）宝庫・社務所などを整備。1928年（昭和3年）10月社殿を新造して主神を遷座し、11月10日別格官幣社に昇格した。別当寺の真善院が現在の庭園の位置にあったが、天保11年（1840年）春に火災に遭い、再興しないまま1898年（明治31年）廃絶した。"
"霧山城","跡（きりやまじょうあと）","https://ja.wikipedia.org/wiki/霧山城","北緯34度31分23.5秒東経136度17分21.7秒","別名: 多気城・霧山御所;城郭構造: 山城;築城主: 北畠顕能;築城年: 興国3年/康永元年（1342年）または興国4年/康永2年（1343年）;主な城主: 北畠氏;廃城年: 天正4年（1576年）;遺構: 堀切・土塁、郭、;指定文化財: 国の史跡（「多気北畠氏城館跡」のうち）;位置: 北緯34度31分23.5秒東経136度17分21.7秒﻿ / ﻿北緯34.523194度 東経136.289361度﻿ / 34.523194; 136.289361;地図: 霧山城","近畿地方の史跡一覧","箇条書き,制限あり","伊勢国司から戦国大名となった北畠氏の本拠地であり、16,000騎を有する大将にふさわしい城郭であった。"
