"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"道の駅大栄","だいえい大栄（だいえい）東伯郡北栄町国道9号鳥取-01","https://ja.wikipedia.org/wiki/道の駅大栄","北緯35度29分55.5秒東経133度45分42.5秒","所在地: 〒689-2221鳥取県東伯郡北栄町由良宿1458-10;座標: 北緯35度29分55.5秒東経133度45分42.5秒﻿ / ﻿北緯35.498750度 東経133.761806度﻿ / 35.498750; 133.761806座標: 北緯35度29分55.5秒東経133度45分42.5秒﻿ / ﻿北緯35.498750度 東経133.761806度﻿ / 35.498750; 133.761806;登録路線: 国道9号;登録回: 第1回 （31001）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 8:30 - 17:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中国地方","表形式","「道の駅登録全国第一号」と記されている石碑"
"道の駅三朝・楽市楽座","みささらくいちらくざ三朝・楽市楽座（みささらくいちらくざ）東伯郡三朝町国道179号鳥取-02","https://ja.wikipedia.org/wiki/道の駅三朝・楽市楽座","北緯35度21分58.8秒東経133度51分1.2秒","所在地: 〒682-0177鳥取県東伯郡三朝町大柿591;座標: 北緯35度21分58.8秒東経133度51分1.2秒﻿ / ﻿北緯35.366333度 東経133.850333度﻿ / 35.366333; 133.850333座標: 北緯35度21分58.8秒東経133度51分1.2秒﻿ / ﻿北緯35.366333度 東経133.850333度﻿ / 35.366333; 133.850333;登録路線: 国道179号;登録回: 第1回 （31002）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 8:30 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中国地方","表形式",""
"道の駅北条公園","ほうじょうこうえん北条公園（ほうじょうこうえん）東伯郡北栄町国道9号鳥取-03","https://ja.wikipedia.org/wiki/道の駅北条公園","北緯35度29分53.6秒東経133度49分11.9秒","所在地: 〒689-2102鳥取県東伯郡北栄町国坂1525-92;座標: 北緯35度29分53.6秒東経133度49分11.9秒﻿ / ﻿北緯35.498222度 東経133.819972度﻿ / 35.498222; 133.819972座標: 北緯35度29分53.6秒東経133度49分11.9秒﻿ / ﻿北緯35.498222度 東経133.819972度﻿ / 35.498222; 133.819972;登録路線: 国道9号;登録回: 第3回 （31003）;登録日: 1993年11月24日;開駅日: 1993年11月24日;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中国地方","表形式","国道9号を挟んで、情報交流施設やキャンプ場のある北側と特産物販売所やレストランのある南側に別れる。"
"道の駅ポート赤碕","ぽーとあかさきポート赤碕（ポートあかさき）東伯郡琴浦町国道9号鳥取-04","https://ja.wikipedia.org/wiki/道の駅ポート赤碕","北緯35度30分24.9秒東経133度39分45.9秒","所在地: 〒689-2502鳥取県東伯郡琴浦町別所255;座標: 北緯35度30分24.9秒東経133度39分45.9秒﻿ / ﻿北緯35.506917度 東経133.662750度﻿ / 35.506917; 133.662750座標: 北緯35度30分24.9秒東経133度39分45.9秒﻿ / ﻿北緯35.506917度 東経133.662750度﻿ / 35.506917; 133.662750;登録路線: 国道9号;登録回: 第3回 （31004）;登録日: 1993年11月24日;開駅日: 1994年8月9日;営業時間: 8:30 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中国地方","表形式",""
"道の駅はっとう","はっとう八頭郡八頭町国道29号鳥取-05","https://ja.wikipedia.org/wiki/道の駅はっとう","北緯35度21分59.2秒東経134度20分22.7秒","所在地: 〒680-0607鳥取県八頭郡八頭町徳丸625;座標: 北緯35度21分59.2秒東経134度20分22.7秒﻿ / ﻿北緯35.366444度 東経134.339639度﻿ / 35.366444; 134.339639座標: 北緯35度21分59.2秒東経134度20分22.7秒﻿ / ﻿北緯35.366444度 東経134.339639度﻿ / 35.366444; 134.339639;登録路線: 国道29号;登録回: 第9回 （31005）;登録日: 1995年8月3日;開駅日: 1996年4月1日;営業時間: 9:00- 17:30（4 - 10月）9:00 - 17:00（11 - 3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中国地方","表形式","2020年（令和2年）8月29日にリニューアル工事が完成した。"
"道の駅犬挟","いぬばさり犬挟（いぬばさり）倉吉市国道313号鳥取-06","https://ja.wikipedia.org/wiki/道の駅犬挟","北緯35度19分45.3秒東経133度45分22.0秒","所在地: 〒682-0412鳥取県倉吉市関金町山口2030-46;座標: 北緯35度19分45.3秒東経133度45分22.0秒﻿ / ﻿北緯35.329250度 東経133.756111度﻿ / 35.329250; 133.756111座標: 北緯35度19分45.3秒東経133度45分22.0秒﻿ / ﻿北緯35.329250度 東経133.756111度﻿ / 35.329250; 133.756111;登録路線: 国道313号;登録回: 第13回 （31006）;登録日: 1997年10月22日;開駅日: 1998年8月8日;営業時間: 9:00 - 19:00（4月 - 10月）9:00 - 18:00（11月 - 3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中国地方","表形式",""
"はわいサービスエリア","はわい東伯郡湯梨浜町国道9号鳥取-07山陰自動車道はわいSAに併設","https://ja.wikipedia.org/wiki/はわいサービスエリア","北緯35度29分45.0秒東経133度53分29.4秒","所属路線: E9山陰自動車道;本線標識の表記: 道の駅はわい;起点からの距離: 30.5 km（鳥取IC起点）;供用開始日: 2003年（平成15年）3月21日;所在地: 〒682-0701鳥取県東伯郡湯梨浜町宇野2343北緯35度29分45.0秒東経133度53分29.4秒﻿ / ﻿北緯35.495833度 東経133.891500度﻿ / 35.495833; 133.891500座標: 北緯35度29分45.0秒東経133度53分29.4秒﻿ / ﻿北緯35.495833度 東経133.891500度﻿ / 35.495833; 133.891500;所在地: 〒682-0701鳥取県東伯郡湯梨浜町宇野2343;座標: 北緯35度29分39.5秒東経133度53分25.7秒﻿ / ﻿北緯35.494306度 東経133.890472度﻿ / 35.494306; 133.890472﻿ (道の駅はわい);登録路線: 山陰自動車道（国道9号青谷羽合道路）;登録回: 第19回 （31007）;登録日: 2003年8月8日;開駅日: 2003年8月9日;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ;所属路線: E9山陰自動車道;本線標識の表記: 道の駅はわい;起点からの距離: 30.5 km（鳥取IC起点）;供用開始日: 2003年（平成15年）3月21日;所在地: 〒682-0701鳥取県東伯郡湯梨浜町宇野2343北緯35度29分45.0秒東経133度53分29.4秒﻿ / ﻿北緯35.495833度 東経133.891500度﻿ / 35.495833; 133.891500座標: 北緯35度29分45.0秒東経133度53分29.4秒﻿ / ﻿北緯35.495833度 東経133.891500度﻿ / 35.495833; 133.891500;所在地: 〒682-0701鳥取県東伯郡湯梨浜町宇野2343;座標: 北緯35度29分39.5秒東経133度53分25.7秒﻿ / ﻿北緯35.494306度 東経133.890472度﻿ / 35.494306; 133.890472﻿ (道の駅はわい);登録路線: 山陰自動車道（国道9号青谷羽合道路）;登録回: 第19回 （31007）;登録日: 2003年8月8日;開駅日: 2003年8月9日;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中国地方","表形式","施設・駐車場は上り線側（鳥取方面）、下り線側（米子方面）共通で道路の南側に位置し、上り線は本線をオーバークロスする構造となっている。そのため、Uターンが可能である。"
"道の駅神話の里 白うさぎ","しんわのさとしろうさぎ神話の里 白うさぎ（しんわのさとしろうさぎ）鳥取市国道9号鳥取-08重点「道の駅」","https://ja.wikipedia.org/wiki/道の駅神話の里_白うさぎ","北緯35度31分32.0秒東経134度6分51.8秒","所在地: 〒689-0206鳥取県鳥取市白兎613;座標: 北緯35度31分32.0秒東経134度6分51.8秒﻿ / ﻿北緯35.525556度 東経134.114389度﻿ / 35.525556; 134.114389座標: 北緯35度31分32.0秒東経134度6分51.8秒﻿ / ﻿北緯35.525556度 東経134.114389度﻿ / 35.525556; 134.114389;登録路線: 国道9号;登録回: 第21回 （31008）;登録日: 2005年8月10日;開駅日: 2006年4月21日;営業時間: 7:00 - 22:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中国地方","表形式","日本神話「因幡の白兎」（いなばのしろうさぎ）の伝説の地に位置し、国土交通省（駐車場・トイレ・休憩所・情報コーナー）および鳥取市（その他の施設）が所有する施設を有限会社むらかみ（ぎんりんグループ）が指定管理者として運営管理を行っている。"
"道の駅清流茶屋 かわはら","せいりゅうちゃやかわはら清流茶屋 かわはら（せいりゅうちゃやかわはら）鳥取市国道53号鳥取-09鳥取自動車道の河原IC/PAに併設","https://ja.wikipedia.org/wiki/道の駅清流茶屋_かわはら","北緯35度23分35.9秒東経134度12分9.9秒","所在地: 〒680-1213鳥取県鳥取市河原町高福837;座標: 北緯35度23分35.9秒東経134度12分9.9秒﻿ / ﻿北緯35.393306度 東経134.202750度﻿ / 35.393306; 134.202750座標: 北緯35度23分35.9秒東経134度12分9.9秒﻿ / ﻿北緯35.393306度 東経134.202750度﻿ / 35.393306; 134.202750;登録路線: 国道53号;登録回: 第21回 （31009）;登録日: 2005年8月10日;開駅日: 2006年4月21日;営業時間: 8:00 - 19:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中国地方","表形式","隣接する鳥取自動車道河原PA（下り線のみ）からも利用可能。"
"道の駅若桜","わかさ若桜（わかさ）八頭郡若桜町国道29号鳥取-10若桜駅に隣接","https://ja.wikipedia.org/wiki/道の駅若桜","北緯35度20分38.0秒東経134度24分1.1秒","所在地: 〒680-0701鳥取県八頭郡若桜町若桜983-2;座標: 北緯35度20分38.0秒東経134度24分1.1秒﻿ / ﻿北緯35.343889度 東経134.400306度﻿ / 35.343889; 134.400306座標: 北緯35度20分38.0秒東経134度24分1.1秒﻿ / ﻿北緯35.343889度 東経134.400306度﻿ / 35.343889; 134.400306;登録路線: 国道29号;登録回: 第27回 （31010）;登録日: 2008年5月19日;開駅日: 2008年6月1日;営業時間: 9:00 - 18:00（3月 - 12月）9:00 - 17:00（1月 - 2月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中国地方","表形式","2008年（平成20年）6月1日に開駅。"
