"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"道の駅日義木曽駒高原","ひよしきそこまこうげん日義木曽駒高原（ひよしきそこまこうげん）木曽郡木曽町国道19号長野-04(南-01)","https://ja.wikipedia.org/wiki/道の駅日義木曽駒高原","北緯35度51分59秒東経137度44分24秒","所在地: 〒399-6101長野県木曽郡木曽町日義4730-3;座標: 北緯35度51分59秒東経137度44分24秒﻿ / ﻿北緯35.86642度 東経137.74006度﻿ / 35.86642; 137.74006座標: 北緯35度51分59秒東経137度44分24秒﻿ / ﻿北緯35.86642度 東経137.74006度﻿ / 35.86642; 137.74006;登録路線: 国道19号;登録回: 第1回 （20026）;登録日: 1993年4月22日;開駅日: 不明;営業時間: 8:30 - 17:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中部地方","表形式",""
"道の駅大桑","おおくわ大桑（おおくわ）木曽郡大桑村国道19号長野-05(南-02)","https://ja.wikipedia.org/wiki/道の駅大桑","北緯35度40分55秒東経137度39分12秒","所在地: 〒339-5504長野県木曽郡大桑村大字野尻160-27;座標: 北緯35度40分55秒東経137度39分12秒﻿ / ﻿北緯35.682度 東経137.65347度﻿ / 35.682; 137.65347座標: 北緯35度40分55秒東経137度39分12秒﻿ / ﻿北緯35.682度 東経137.65347度﻿ / 35.682; 137.65347;登録路線: 国道19号;登録回: 第1回 （20027）;登録日: 1993年4月22日;開駅日: 2006年4月;営業時間: 9:00 - 18:00（木楽舎）11:30 - 20:00（きらく）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中部地方","表形式",""
"道の駅奈良井木曽の大橋","ならいきそのおおはし奈良井木曽の大橋（ならいきそのおおはし）塩尻市国道19号長野-06(南-03)","https://ja.wikipedia.org/wiki/道の駅奈良井木曽の大橋","北緯35度57分57秒東経137度48分52秒","所在地: 〒399-6303長野県塩尻市大字奈良井1346の3;座標: 北緯35度57分57秒東経137度48分52秒﻿ / ﻿北緯35.96592度 東経137.81439度﻿ / 35.96592; 137.81439座標: 北緯35度57分57秒東経137度48分52秒﻿ / ﻿北緯35.96592度 東経137.81439度﻿ / 35.96592; 137.81439;登録路線: 国道19号;登録回: 第1回 （20028）;登録日: 1993年4月22日;開駅日: 不明;営業時間: 9:00 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中部地方","表形式","木曽の大橋が併設されており、道の駅としては珍しく、売店など商業施設がまったくない。また、木曽の大橋は冬季閉鎖であるため、冬季は対岸にあるトイレや水辺公園、奈良井宿まで道の駅駐車場から行くことができず、国道または堤防等を迂回する必要があったが、2011年7月に、奈良井駅至近の位置に駐車場と休憩施設が増設され、また国道からのアクセス道路が整備された。"
"道の駅信州平谷","しんしゅうひらや信州平谷（しんしゅうひらや）下伊那郡平谷村国道153号長野-07(南-04)","https://ja.wikipedia.org/wiki/道の駅信州平谷","北緯35度19分28秒東経137度37分54秒","所在地: 〒395-0601長野県下伊那郡平谷村252;座標: 北緯35度19分28秒東経137度37分54秒﻿ / ﻿北緯35.32436度 東経137.63175度﻿ / 35.32436; 137.63175座標: 北緯35度19分28秒東経137度37分54秒﻿ / ﻿北緯35.32436度 東経137.63175度﻿ / 35.32436; 137.63175;登録路線: 国道153号;登録回: 第6回 （20029）;登録日: 1994年8月4日;開駅日: 1995年12月18日;営業時間: 8:30 - 18:008:30 - 17:00（冬季）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中部地方","表形式","併設されている「信州平谷温泉ひまわりの湯」「しょうかん亭」「ほっとパークひらや郷（Go!!）」についても併記する。標高は920メートルである。"
"道の駅信濃路下條","しなのじしもじょう信濃路下條（しなのじしもじょう）下伊那郡下條村国道151号長野-12(南-05)","https://ja.wikipedia.org/wiki/道の駅信濃路下條","北緯35度25分02秒東経137度47分41秒","所在地: 〒399-2101長野県下伊那郡下條村睦沢2514-2;座標: 北緯35度25分02秒東経137度47分41秒﻿ / ﻿北緯35.41717度 東経137.79472度﻿ / 35.41717; 137.79472座標: 北緯35度25分02秒東経137度47分41秒﻿ / ﻿北緯35.41717度 東経137.79472度﻿ / 35.41717; 137.79472;登録路線: 国道151号;登録回: 第9回 （20030）;登録日: 1995年8月3日;開駅日: 1996年4月22日;営業時間: 9:00 - 18:009:00 - 17:00（冬季のみ）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中部地方","表形式","吉岡城二の丸をイメージした建物（そばの城）が設置されている。また下條村がタレント・俳優の峰竜太の出身地であることから、売店では峰をあしらった商品が販売されている。"
"道の駅南アルプスむら長谷","みなみあるぷすむらはせ南アルプスむら長谷（みなみアルプスむらはせ）伊那市国道152号長野-14(南-06)","https://ja.wikipedia.org/wiki/道の駅南アルプスむら長谷","北緯35度48分35秒東経138度05分01秒","所在地: 〒396-0401長野県伊那市長谷非持1400番地;座標: 北緯35度48分35秒東経138度05分01秒﻿ / ﻿北緯35.80975度 東経138.08369度﻿ / 35.80975; 138.08369座標: 北緯35度48分35秒東経138度05分01秒﻿ / ﻿北緯35.80975度 東経138.08369度﻿ / 35.80975; 138.08369;登録路線: 国道152号;登録回: 第12回 （20031）;登録日: 1997年4月11日;開駅日: 不明;営業時間: 9:00 - 17:30（4 - 11月）9:00 - 17:00（12 - 3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中部地方","表形式",""
"道の駅木曽ならかわ","きそならかわ木曽ならかわ（きそならかわ）塩尻市国道19号長野-26(南-07)","https://ja.wikipedia.org/wiki/道の駅木曽ならかわ","北緯35度59分10秒東経137度50分33秒","所在地: 〒399-6302長野県塩尻市大字木曽平沢2272-7;座標: 北緯35度59分10秒東経137度50分33秒﻿ / ﻿北緯35.98622度 東経137.8425度﻿ / 35.98622; 137.8425座標: 北緯35度59分10秒東経137度50分33秒﻿ / ﻿北緯35.98622度 東経137.8425度﻿ / 35.98622; 137.8425;登録路線: 国道19号;登録回: 第15回 （20032）;登録日: 1999年8月27日;開駅日: 不明;営業時間: 9:00 - 17:0010:00 - 16:00（冬期）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中部地方","表形式","400年の伝統を誇る木曽漆器の展示販売施設（木曽くらしの工芸館）や地元農産物の直売所が設置されている。"
"道の駅三岳","みたけ三岳（みたけ）木曽郡木曽町県道20号開田三岳福島線長野-27(南-08)","https://ja.wikipedia.org/wiki/道の駅三岳","北緯35度49分21秒東経137度38分53秒","所在地: 〒397-0101長野県木曽郡木曽町三岳10491-9;座標: 北緯35度49分21秒東経137度38分53秒﻿ / ﻿北緯35.82258度 東経137.64803度﻿ / 35.82258; 137.64803座標: 北緯35度49分21秒東経137度38分53秒﻿ / ﻿北緯35.82258度 東経137.64803度﻿ / 35.82258; 137.64803;登録路線: 長野県道20号;登録回: 第15回 （20033）;登録日: 1999年8月27日;開駅日: 不明;営業時間: 8:00 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_中部地方","表形式",""
"道の駅信州新野千石平","しんしゅうにいのせんごくだいら信州新野千石平（しんしゅうにいのせんごくだいら）下伊那郡阿南町国道151号長野-30(南-09)","https://ja.wikipedia.org/wiki/道の駅信州新野千石平","北緯35度15分27秒東経137度44分44秒","所在地: 〒399-1612長野県下伊那郡阿南町新野2700;座標: 北緯35度15分27秒東経137度44分44秒﻿ / ﻿北緯35.2575度 東経137.74542度﻿ / 35.2575; 137.74542座標: 北緯35度15分27秒東経137度44分44秒﻿ / ﻿北緯35.2575度 東経137.74542度﻿ / 35.2575; 137.74542;登録路線: 国道151号;登録回: 第16回 （20034）;登録日: 2000年8月18日;開駅日: 2001年4月20日;営業時間: 8:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中部地方","表形式","運営は株式会社 蔵が行っており、名産品としては幣束御幣餅が有名で、夏はオリジナルブレンドとうもろこし、あんみつ姫・甘太郎などの特産物があり、愛知県・静岡県の避暑地になっている。"
"道の駅花の里いいじま","はなのさといいじま花の里いいじま（はなのさといいじま）上伊那郡飯島町県道15号飯島飯田線長野-32(南-10)","https://ja.wikipedia.org/wiki/道の駅花の里いいじま","北緯35度39分42秒東経137度54分36秒","所在地: 〒399-3705長野県上伊那郡飯島町七久保2252;座標: 北緯35度39分42秒東経137度54分36秒﻿ / ﻿北緯35.66178度 東経137.90997度﻿ / 35.66178; 137.90997座標: 北緯35度39分42秒東経137度54分36秒﻿ / ﻿北緯35.66178度 東経137.90997度﻿ / 35.66178; 137.90997;登録路線: 長野県道15号;登録回: 第18回 （20035）;登録日: 2002年8月13日;開駅日: 2002年8月2日;営業時間: 9:00 - 18:30（4月 - 10月）9:00 - 17:30（11月 - 3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_中部地方","表形式",""
