"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"道の駅三笠","みかさ三笠（みかさ）道央三笠市国道12号北海道-001","https://ja.wikipedia.org/wiki/道の駅三笠","北緯43度14分48秒東経141度48分16秒","所在地: 〒068-2165北海道三笠市岡山1056-1;座標: 北緯43度14分48秒東経141度48分16秒﻿ / ﻿北緯43.24656度 東経141.80453度﻿ / 43.24656; 141.80453座標: 北緯43度14分48秒東経141度48分16秒﻿ / ﻿北緯43.24656度 東経141.80453度﻿ / 43.24656; 141.80453;登録路線: 国道12号;登録回: 第1回 （01001）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 9:00 - 18:00（4-9月）9:00 - 17:00（10-3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式","前身はサンファーム三笠で、1993年（平成5年）4月22日に第1回登録103駅の1つとして登録された。"
"道の駅スタープラザ芦別","すたーぷらざあしべつスタープラザ芦別（スタープラザあしべつ）道央芦別市国道38号北海道-002","https://ja.wikipedia.org/wiki/道の駅スタープラザ芦別","北緯43度31分33秒東経142度11分21秒","所在地: 〒075-0014北海道芦別市北4条東1丁目1;座標: 北緯43度31分33秒東経142度11分21秒﻿ / ﻿北緯43.52592度 東経142.18903度﻿ / 43.52592; 142.18903座標: 北緯43度31分33秒東経142度11分21秒﻿ / ﻿北緯43.52592度 東経142.18903度﻿ / 43.52592; 142.18903;登録路線: 国道38号;登録回: 第1回 （01002）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 9:00～19:00（5～10月）9:00～18:00（11～4月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式",""
"道の駅南ふらの","みなみふらの南ふらの（みなみふらの）道北空知郡南富良野町国道38号北海道-003","https://ja.wikipedia.org/wiki/道の駅南ふらの","北緯43度10分11秒東経142度34分21秒","所在地: 〒079-2400北海道空知郡南富良野町字幾寅687-1;座標: 北緯43度10分11秒東経142度34分21秒﻿ / ﻿北緯43.16975度 東経142.57261度﻿ / 43.16975; 142.57261座標: 北緯43度10分11秒東経142度34分21秒﻿ / ﻿北緯43.16975度 東経142.57261度﻿ / 43.16975; 142.57261;登録路線: 国道38号;登録回: 第1回 （01003）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 9:00～17:00（10月～5月）9:00 - 19:00（6月～9月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式","狩勝峠の近くにある。2015年1月に重点道の駅候補に選定された。"
"道の駅しらぬか恋問","しらぬか恋問（しらぬかこいとい）釧路・根室白糠郡白糠町国道38号北海道-004","https://ja.wikipedia.org/wiki/道の駅しらぬか恋問","北緯42度59分34秒東経144度11分53秒","所在地: 〒088-0562北海道白糠郡白糠町恋問3丁目3番地1;座標: 北緯42度59分34秒東経144度11分53秒﻿ / ﻿北緯42.99275度 東経144.19814度﻿ / 42.99275; 144.19814座標: 北緯42度59分34秒東経144度11分53秒﻿ / ﻿北緯42.99275度 東経144.19814度﻿ / 42.99275; 144.19814;登録路線: 国道38号;登録回: 第1回 （01004）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 8:30～18:30（5～8月）9:00～18:30（9～4月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式","漁協直売の魚介類やレストランの豚丼が名物である。"
"道の駅びふか","びふか道北中川郡美深町国道40号北海道-005","https://ja.wikipedia.org/wiki/道の駅びふか","北緯44度33分32秒東経142度19分12秒","所在地: 〒098-2362北海道中川郡美深町字大手307-1;座標: 北緯44度33分32秒東経142度19分12秒﻿ / ﻿北緯44.55883度 東経142.32003度﻿ / 44.55883; 142.32003座標: 北緯44度33分32秒東経142度19分12秒﻿ / ﻿北緯44.55883度 東経142.32003度﻿ / 44.55883; 142.32003;登録路線: 国道40号;登録回: 第1回 （01005）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 9:00 - 17:30（11-4月）9:00 - 19:00（7月下旬-8月中旬の土日祝）9:00 - 18:00（その他の期間）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北海道地方","表形式","施設の裏手には森林公園びふかアイランドがあり、キャンプ場・びふか温泉・チョウザメ館などがある。"
"道の駅江差","えさし江差（えさし）道南檜山郡江差町国道227号北海道-006","https://ja.wikipedia.org/wiki/道の駅江差","北緯41度53分40秒東経140度08分22秒","所在地: 〒043-0024北海道檜山郡江差町字尾山町1;座標: 北緯41度53分40秒東経140度08分22秒﻿ / ﻿北緯41.89433度 東経140.13931度﻿ / 41.89433; 140.13931座標: 北緯41度53分40秒東経140度08分22秒﻿ / ﻿北緯41.89433度 東経140.13931度﻿ / 41.89433; 140.13931;登録路線: 国道227号;登録回: 第1回 （01006）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 9:00 - 17:00（4月-11月）10:00 - 16:00（12月-3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式","江戸時代の江差地域に実在したといわれるとんちの名人・繁次郎のコンクリート彫像がある。"
"道の駅望羊中山","ぼうようなかやま望羊中山（ぼうようなかやま）道央虻田郡喜茂別町国道230号北海道-007","https://ja.wikipedia.org/wiki/道の駅望羊中山","北緯42度51分21秒東経141度05分48秒","所在地: 〒044-0223北海道虻田郡喜茂別町字川上345;座標: 北緯42度51分21秒東経141度05分48秒﻿ / ﻿北緯42.85581度 東経141.09667度﻿ / 42.85581; 141.09667座標: 北緯42度51分21秒東経141度05分48秒﻿ / ﻿北緯42.85581度 東経141.09667度﻿ / 42.85581; 141.09667;登録路線: 国道230号;登録回: （01007）;登録日: 1993年4月22日;営業時間: 8:30 - 17:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式","道の駅望羊中山の前身は、1965年（昭和40年）に開設した「中山峠キャンプ村」の施設（中山峠健民センター国民宿舎「中山荘」や物産館）であり、翌年には「道立中山峠ユースホステル」（1997年休館）が完成した。1983年（昭和58年）には拡張工事を経た「中山峠健民センター物産館」、「中山峠高原ホテル」がオープンした（現在は休業中）。"
"道の駅えんべつ富士見","えんべつふじみえんべつ富士見（えんべつふじみ）道北天塩郡遠別町国道232号北海道-008旧名「富士見」","https://ja.wikipedia.org/wiki/道の駅えんべつ富士見","","所在地: 〒098-3534北海道天塩郡遠別町字富士見46-21;座標:;登録路線: 国道232号;登録回: 第1回 （01008）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 10:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式",""
"道の駅忠類","ちゅうるい忠類（ちゅうるい）十勝中川郡幕別町国道236号北海道-009帯広広尾自動車道忠類ICに隣接","https://ja.wikipedia.org/wiki/道の駅忠類","北緯42度33分32秒東経143度17分57秒","所在地: 〒089-1701北海道中川郡幕別町忠類白銀町384-12;座標: 北緯42度33分32秒東経143度17分57秒﻿ / ﻿北緯42.55886度 東経143.29919度﻿ / 42.55886; 143.29919座標: 北緯42度33分32秒東経143度17分57秒﻿ / ﻿北緯42.55886度 東経143.29919度﻿ / 42.55886; 143.29919;登録路線: 国道236号;登録回: 第1回 （01009）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式","ナウマン温泉ホテル「アルコ236」が併設されている。"
"道の駅足寄湖","あしょろこ足寄湖（あしょろこ）十勝足寄郡足寄町国道241号北海道-010","https://ja.wikipedia.org/wiki/道の駅足寄湖","北緯43度15分08秒東経143度28分50秒","所在地: 〒089-3873北海道足寄郡足寄町中矢673-4;座標: 北緯43度15分08秒東経143度28分50秒﻿ / ﻿北緯43.25225度 東経143.48067度﻿ / 43.25225; 143.48067座標: 北緯43度15分08秒東経143度28分50秒﻿ / ﻿北緯43.25225度 東経143.48067度﻿ / 43.25225; 143.48067;登録路線: 国道241号;登録回: 第1回 （01010）;登録日: 1993年4月22日;開駅日: 1993年4月22日;営業時間: レストラン・売店　休止中（無人駅）スタンプは24時間可能;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北海道地方","表形式","北海道で最初に登録された道の駅の一つである。"
