"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"道の駅豊栄","とよさか豊栄（とよさか）新潟市北区国道7号新新バイパス新潟-01 ","https://ja.wikipedia.org/wiki/道の駅豊栄","北緯37度57分29秒東経139度13分23秒","所在地: 〒950-3304新潟県新潟市北区木崎3644-乙;座標: 北緯37度57分29秒東経139度13分23秒﻿ / ﻿北緯37.95792度 東経139.223度﻿ / 37.95792; 139.223座標: 北緯37度57分29秒東経139度13分23秒﻿ / ﻿北緯37.95792度 東経139.223度﻿ / 37.95792; 139.223;登録路線: 国道7号;登録回: 第1回 （15001）;登録日: 1993年4月22日;開駅日: 1988年11月10日;営業時間: 7:00-19:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北陸地方","表形式","日本で初めて一般道に設置されたパーキングエリアで、施設内に「道の駅 発祥の地」の碑がある。"
"道の駅加治川","かじかわ加治川（かじかわ）新発田市国道7号新潟-02 ","https://ja.wikipedia.org/wiki/道の駅加治川","北緯38度00分08秒東経139度22分21秒","所在地: 〒959-2411新潟県新発田市横岡1147;座標: 北緯38度00分08秒東経139度22分21秒﻿ / ﻿北緯38.00231度 東経139.37242度﻿ / 38.00231; 139.37242座標: 北緯38度00分08秒東経139度22分21秒﻿ / ﻿北緯38.00231度 東経139.37242度﻿ / 38.00231; 139.37242;登録路線: 国道7号;登録回: 第1回 （15002）;登録日: 1993年4月22日;開駅日: 不明;営業時間: 9:00-18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式",""
"道の駅神林","かみはやし神林（かみはやし）村上市国道7号新潟-03 ","https://ja.wikipedia.org/wiki/道の駅神林","北緯38度10分21秒東経139度27分38秒","所在地: 〒959-3423新潟県村上市九日市809;座標: 北緯38度10分21秒東経139度27分38秒﻿ / ﻿北緯38.17256度 東経139.46069度﻿ / 38.17256; 139.46069座標: 北緯38度10分21秒東経139度27分38秒﻿ / ﻿北緯38.17256度 東経139.46069度﻿ / 38.17256; 139.46069;登録路線: 国道7号;登録回: 第1回 （15003）;登録日: 1993年4月22日;開駅日: 1993年;営業時間: 8:30-16:15;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北陸地方","表形式","1993年（平成5年）、当時の岩船郡神林村大字牧目584に開設された。オープン当初の愛称はあんあんむら。しかし国道7号と羽越本線に挟まれた箇所で、敷地が狭隘であるため駐車台数も少なく、大型車は事実上利用できなかった。軽食堂と農産物販売コーナーが設けられていたが、敷地の問題もあって運営体制は段階的に縮小され、軽食堂はラーメン店となったあと閉店した。"
"道の駅朝日","あさひ朝日（あさひ）村上市国道7号新潟-04 ","https://ja.wikipedia.org/wiki/道の駅朝日","北緯38度16分56秒東経139度31分21秒","所在地: 〒958-0261新潟県村上市猿沢1212;座標: 北緯38度16分56秒東経139度31分21秒﻿ / ﻿北緯38.28214度 東経139.52242度﻿ / 38.28214; 139.52242座標: 北緯38度16分56秒東経139度31分21秒﻿ / ﻿北緯38.28214度 東経139.52242度﻿ / 38.28214; 139.52242;登録路線: 国道7号;登録回: 第1回 （15004）;登録日: 1993年4月22日;開駅日: 不明;営業時間: 9:00-17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式","日本海東北自動車道の本線上にも案内標識が設けられている。"
"道の駅新潟ふるさと村","にいがたふるさとむら新潟ふるさと村（にいがたふるさとむら）新潟市西区国道8号新潟-05 ","https://ja.wikipedia.org/wiki/道の駅新潟ふるさと村","北緯37度51分58.9秒東経139度1分12.6秒","所在地: 〒950-1101新潟県新潟市西区山田2307;座標: 北緯37度51分58.9秒東経139度1分12.6秒﻿ / ﻿北緯37.866361度 東経139.020167度﻿ / 37.866361; 139.020167座標: 北緯37度51分58.9秒東経139度1分12.6秒﻿ / ﻿北緯37.866361度 東経139.020167度﻿ / 37.866361; 139.020167;登録路線: 国道8号;登録回: 第1回 （15005）;登録日: 1993年4月22日;開駅日: 1991年7月;営業時間: 9:30-17:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト;種類: 株式会社;本社所在地: 日本〒950-1101新潟県新潟市西区山田2307番地;設立: 1988年（昭和63年）7月28日;業種: サービス業;事業内容: 新潟県の広域観光に関する情報の収集、宣伝および案内事業ほか;代表者: 濱口 章（代表取締役）;資本金: 10億2085万6000円;売上高: 1,040,678,021円（2012年3月期）;営業利益: 101,357円（2012年3月期）;純利益: 1,365,303円（2012年3月期）;純資産: 29,856,629円（2012年3月期）;総資産: 1,086,482,110円（2012年3月期）;従業員数: 41人（正社員、2012年3月31日現在）;決算期: 3月期;主要株主: 新潟県 (79.4%);所在地: 〒950-1101新潟県新潟市西区山田2307;座標: 北緯37度51分58.9秒東経139度1分12.6秒﻿ / ﻿北緯37.866361度 東経139.020167度﻿ / 37.866361; 139.020167座標: 北緯37度51分58.9秒東経139度1分12.6秒﻿ / ﻿北緯37.866361度 東経139.020167度﻿ / 37.866361; 139.020167;登録路線: 国道8号;登録回: 第1回 （15005）;登録日: 1993年4月22日;開駅日: 1991年7月;営業時間: 9:30-17:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト;種類: 株式会社;本社所在地: 日本〒950-1101新潟県新潟市西区山田2307番地;設立: 1988年（昭和63年）7月28日;業種: サービス業;事業内容: 新潟県の広域観光に関する情報の収集、宣伝および案内事業ほか;代表者: 濱口 章（代表取締役）;資本金: 10億2085万6000円;売上高: 1,040,678,021円（2012年3月期）;営業利益: 101,357円（2012年3月期）;純利益: 1,365,303円（2012年3月期）;純資産: 29,856,629円（2012年3月期）;総資産: 1,086,482,110円（2012年3月期）;従業員数: 41人（正社員、2012年3月31日現在）;決算期: 3月期;主要株主: 新潟県 (79.4%)","道の駅一覧_北陸地方","表形式","1991年（平成3年）7月、当時の西蒲原郡黒埼町大字山田地内の旧新潟県運転免許試験場跡地に「新潟ふるさと村」として開業した。「新潟ふるさと村」の名称は、施設の総称として開業当初から使用しているが、1993年（平成5年）4月22日付で道の駅に登録する際の正式名称は、当時の町名から「道の駅黒埼」として登録した。その後2001年1月1日に黒埼町が新潟市に編入合併されたことに伴い、施設の総称「新潟ふるさと村」を道の駅の正式名称として採用した。"
"道の駅能生","のう能生（のう）糸魚川市国道8号新潟-06 ","https://ja.wikipedia.org/wiki/道の駅能生","北緯37度06分50秒東経138度00分15秒","所在地: 〒949-1351新潟県糸魚川市大字能生小泊3596-2;座標: 北緯37度06分50秒東経138度00分15秒﻿ / ﻿北緯37.11375度 東経138.00406度﻿ / 37.11375; 138.00406座標: 北緯37度06分50秒東経138度00分15秒﻿ / ﻿北緯37.11375度 東経138.00406度﻿ / 37.11375; 138.00406;登録路線: 国道8号;登録回: 第1回 （15006）;登録日: 1993年4月22日;開駅日: 不明;営業時間: 9:00-18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式",""
"道の駅みかわ (新潟県)","みかわ東蒲原郡阿賀町国道49号新潟-07 ","https://ja.wikipedia.org/wiki/道の駅みかわ_(新潟県)","北緯37度43分03秒東経139度21分37秒","所在地: 〒959-4627新潟県東蒲原郡阿賀町岩谷2865;座標: 北緯37度43分03秒東経139度21分37秒﻿ / ﻿北緯37.7175度 東経139.36019度﻿ / 37.7175; 139.36019﻿ (道の駅みかわ)座標: 北緯37度43分03秒東経139度21分37秒﻿ / ﻿北緯37.7175度 東経139.36019度﻿ / 37.7175; 139.36019﻿ (道の駅みかわ);登録路線: 国道49号;登録回: 第1回 （15007）;登録日: 1993年4月22日;開駅日: 不明;営業時間: 11:00 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北陸地方","表形式","本道を挟み込む形で設置されている。新潟側300mほど西にこの周辺の難所である五十島トンネル（いがしまトンネル）がある。"
"道の駅関川","せきかわ関川（せきかわ）岩船郡関川村国道113号新潟-08 ","https://ja.wikipedia.org/wiki/道の駅関川","北緯38度05分31秒東経139度33分59秒","所在地: 〒959-3264新潟県岩船郡関川村上関1252-1;座標: 北緯38度05分31秒東経139度33分59秒﻿ / ﻿北緯38.09192度 東経139.56625度﻿ / 38.09192; 139.56625座標: 北緯38度05分31秒東経139度33分59秒﻿ / ﻿北緯38.09192度 東経139.56625度﻿ / 38.09192; 139.56625;登録路線: 国道113号;登録回: 第1回 （15008）;登録日: 1993年4月22日;開駅日: 不明;営業時間: 9:00-16:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式",""
"道の駅ちぢみの里おぢや","ちぢみの里おぢや（ちぢみのさとおぢや）小千谷市国道17号新潟-09 ","https://ja.wikipedia.org/wiki/道の駅ちぢみの里おぢや","北緯37度18分18秒東経138度49分22秒","所在地: 〒947-0003新潟県小千谷市大字薭生甲1670-1;座標: 北緯37度18分18秒東経138度49分22秒﻿ / ﻿北緯37.30506度 東経138.82289度﻿ / 37.30506; 138.82289座標: 北緯37度18分18秒東経138度49分22秒﻿ / ﻿北緯37.30506度 東経138.82289度﻿ / 37.30506; 138.82289;登録路線: 国道17号;登録回: 第5回 （15009）;登録日: 1994年4月26日;開駅日: 不明;営業時間: 10:00-21:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式","1994年（平成6年）4月26日に道の駅に登録された。"
"道の駅阿賀の里","あがのさと阿賀の里（あがのさと）東蒲原郡阿賀町国道49号新潟-10 ","https://ja.wikipedia.org/wiki/道の駅阿賀の里","北緯37度44分17秒東経139度18分26秒","所在地: 〒959-4636新潟県東蒲原郡阿賀町石間4301;座標: 北緯37度44分17秒東経139度18分26秒﻿ / ﻿北緯37.73803度 東経139.30719度﻿ / 37.73803; 139.30719座標: 北緯37度44分17秒東経139度18分26秒﻿ / ﻿北緯37.73803度 東経139.30719度﻿ / 37.73803; 139.30719;登録路線: 国道49号;登録回: 第5回 （15010）;登録日: 1994年4月26日;開駅日: 不明;営業時間: 9:00-18:00（4-11月）9:00-17:00（12-3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式","阿賀野川沿いにあり、対岸に磐越自動車道阿賀野川サービスエリアがある。同SAの新潟方面から本駅を一望できる。"
"道の駅笹川流れ","ささがわながれ笹川流れ（ささがわながれ）村上市国道345号新潟-11桑川駅に併設","https://ja.wikipedia.org/wiki/道の駅笹川流れ","北緯38度22分28秒東経139度27分29秒","所在地: 〒959-3665新潟県村上市桑川892-5;座標: 北緯38度22分28秒東経139度27分29秒﻿ / ﻿北緯38.37444度 東経139.45814度﻿ / 38.37444; 139.45814座標: 北緯38度22分28秒東経139度27分29秒﻿ / ﻿北緯38.37444度 東経139.45814度﻿ / 38.37444; 139.45814;登録路線: 国道345号;登録回: 第5回 （15011）;登録日: 1994年6月26日;開駅日: 1993年12月3日;営業時間: 8:30-17:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北陸地方","表形式","観光列車「海里」の停車駅である羽越本線桑川駅と併設している。登録日に先立つ1993年（平成5年）12月3日に開業した。"
"道の駅越後出雲崎天領の里","えちごいずもざきてんりょうのさと越後出雲崎天領の里（えちごいずもざきてんりょうのさと）三島郡出雲崎町国道352号新潟-12 ","https://ja.wikipedia.org/wiki/道の駅越後出雲崎天領の里","北緯37度32分20秒東経138度40分43秒","所在地: 〒949-4308新潟県三島郡出雲崎町大字尼瀬6-57;座標: 北緯37度32分20秒東経138度40分43秒﻿ / ﻿北緯37.53883度 東経138.67858度﻿ / 37.53883; 138.67858座標: 北緯37度32分20秒東経138度40分43秒﻿ / ﻿北緯37.53883度 東経138.67858度﻿ / 37.53883; 138.67858;登録路線: 国道352号;登録回: 第5回 （15012）;登録日: 1994年4月26日;開駅日: 不明;営業時間: 9:00-17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式","佐渡島からの金銀の荷揚げや北前船の集散地として栄えた江戸幕府天領・出雲崎を再現し、江戸時代にタイムスリップすることをコンセプトに、1994年（平成6年）4月にオープンした。メイン施設となる「天領出雲崎・時代館」を中心に観光物産センター、海上木橋、日本海夕日公園などを併設した敷地面積21,000 ㎡の施設として尼瀬海岸埋め立て地にオープンした。2005年（平成17年）4月には時代館に併設して「石油記念館」もオープンした。"
"道の駅胎内","たいない胎内（たいない）胎内市県道53号胎内二王子公園羽黒線新潟-13 ","https://ja.wikipedia.org/wiki/道の駅胎内","北緯38度03分49秒東経139度27分11秒","所在地: 〒959-2806新潟県胎内市下赤谷387-1;座標: 北緯38度03分49秒東経139度27分11秒﻿ / ﻿北緯38.0635度 東経139.45297度﻿ / 38.0635; 139.45297座標: 北緯38度03分49秒東経139度27分11秒﻿ / ﻿北緯38.0635度 東経139.45297度﻿ / 38.0635; 139.45297;登録路線: 新潟県道53号;登録回: 第5回 （15013）;登録日: 1994年4月26日;開駅日: 不明;営業時間: 8:00-20:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_北陸地方","表形式",""
"道の駅ゆのたに","ゆのたに魚沼市県道50号小出奥只見線新潟-14 ","https://ja.wikipedia.org/wiki/道の駅ゆのたに","北緯37度13分26秒東経138度58分58秒","所在地: 〒946-0075新潟県魚沼市吉田1148;座標: 北緯37度13分26秒東経138度58分58秒﻿ / ﻿北緯37.22394度 東経138.98272度﻿ / 37.22394; 138.98272座標: 北緯37度13分26秒東経138度58分58秒﻿ / ﻿北緯37.22394度 東経138.98272度﻿ / 37.22394; 138.98272;登録路線: 新潟県道50号;登録回: 第6回 （15014）;登録日: 1994年8月4日;開駅日: 不明;営業時間: 8:30-18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式",""
"道の駅良寛の里わしま","りょうかんのさとわしま良寛の里わしま（りょうかんのさとわしま）長岡市国道116号新潟-15 ","https://ja.wikipedia.org/wiki/道の駅良寛の里わしま","北緯37度34分54秒東経138度45分33秒","所在地: 〒949-4525新潟県長岡市島崎5713番2;座標: 北緯37度34分54秒東経138度45分33秒﻿ / ﻿北緯37.58156度 東経138.75908度﻿ / 37.58156; 138.75908座標: 北緯37度34分54秒東経138度45分33秒﻿ / ﻿北緯37.58156度 東経138.75908度﻿ / 37.58156; 138.75908;登録路線: 国道116号;登録回: 第9回 （15015）;登録日: 1995年8月3日;開駅日: 不明;営業時間: 9:00-17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式","「良寛の里美術館」、「菊盛記念美術館」を核とする1995年（平成7年）登録の「美術館ゾーン」と国道116号線沿いに増設された2003年（平成15年）登録の「道路情報ターミナルゾーン」「地域交流ゾーン」の2箇所で構成されている。"
"道の駅まつだいふるさと会館","まつだいふるさと会館（まつだいふるさとかいかん）十日町市国道253号新潟-16まつだい駅に併設","https://ja.wikipedia.org/wiki/道の駅まつだいふるさと会館","北緯37度07分58秒東経138度36分50秒","所在地: 〒942-1526新潟県十日町市松代3816-1;座標: 北緯37度07分58秒東経138度36分50秒﻿ / ﻿北緯37.13264度 東経138.61383度﻿ / 37.13264; 138.61383座標: 北緯37度07分58秒東経138度36分50秒﻿ / ﻿北緯37.13264度 東経138.61383度﻿ / 37.13264; 138.61383;登録路線: 国道253号;登録回: 第9回 （15016）;登録日: 1995年8月3日;開駅日: 1997年;営業時間: 8:30-20:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式","北越急行ほくほく線まつだい駅と併設している。"
"道の駅越後市振の関","えちごいちぶりのせき越後市振の関（えちごいちぶりのせき）糸魚川市国道8号新潟-17 ","https://ja.wikipedia.org/wiki/道の駅越後市振の関","北緯36度58分48秒東経137度38分41秒","所在地: 〒949-0111新潟県糸魚川市大字市振1035-50;座標: 北緯36度58分48秒東経137度38分41秒﻿ / ﻿北緯36.97997度 東経137.64486度﻿ / 36.97997; 137.64486座標: 北緯36度58分48秒東経137度38分41秒﻿ / ﻿北緯36.97997度 東経137.64486度﻿ / 36.97997; 137.64486;登録路線: 国道8号;登録回: 第12回 （15017）;登録日: 1997年4月11日;開駅日: 1994年;営業時間: 8:00-21:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_北陸地方","表形式","1994年に、玉ノ木情報ターミナルとして整備された。敷地面積は7,200㎡、駐車場は3,500㎡、道路情報ターミナルは190㎡、除雪基地は540㎡、休憩所などは2970㎡となっている。"
