"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"道の駅貞光ゆうゆう館","さだみつゆうゆうかん貞光ゆうゆう館（さだみつゆうゆうかん）美馬郡つるぎ町国道192号徳島-01 ","https://ja.wikipedia.org/wiki/道の駅貞光ゆうゆう館","北緯34度2分33.5秒東経134度3分36.1秒","所在地: 〒779-4101徳島県美馬郡つるぎ町貞光字大須賀11番地1;座標: 北緯34度2分33.5秒東経134度3分36.1秒﻿ / ﻿北緯34.042639度 東経134.060028度﻿ / 34.042639; 134.060028座標: 北緯34度2分33.5秒東経134度3分36.1秒﻿ / ﻿北緯34.042639度 東経134.060028度﻿ / 34.042639; 134.060028;登録路線: 国道192号;登録回: 第5回 （36001）;登録日: 1994年4月26日;開駅日: 1995年11月1日;営業時間: 9:00 - 20:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_四国地方","表形式","四国のみずべ八十八カ所、とくしま88景に選定。"
"道の駅鷲の里","わしのさと鷲の里（わしのさと）那賀郡那賀町県道19号阿南鷲敷日和佐線徳島-02EVスポット","https://ja.wikipedia.org/wiki/道の駅鷲の里","北緯33度51分47秒東経134度30分08秒","所在地: 〒771-5201徳島県那賀郡那賀町和喰字田野89;座標: 北緯33度51分47秒東経134度30分08秒﻿ / ﻿北緯33.86317度 東経134.50233度﻿ / 33.86317; 134.50233座標: 北緯33度51分47秒東経134度30分08秒﻿ / ﻿北緯33.86317度 東経134.50233度﻿ / 33.86317; 134.50233;登録路線: 徳島県道19号阿南鷲敷日和佐線;登録回: 第8回 （36002）;登録日: 1995年4月11日;開駅日: 1995年;営業時間: 7:10 - 17:40（3月 - 11月）8:00 - 17:20（12月 - 2月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_四国地方","表形式","道の駅は1995年（平成7年）に登録申請された。"
"道の駅宍喰温泉","ししくいおんせん宍喰温泉（ししくいおんせん）海部郡海陽町国道55号徳島-03 ","https://ja.wikipedia.org/wiki/道の駅宍喰温泉","北緯33度34分09秒東経134度18分26秒","所在地: 〒775-0501徳島県海部郡海陽町大字久保字板取219-6;座標: 北緯33度34分09秒東経134度18分26秒﻿ / ﻿北緯33.56911度 東経134.30719度﻿ / 33.56911; 134.30719座標: 北緯33度34分09秒東経134度18分26秒﻿ / ﻿北緯33.56911度 東経134.30719度﻿ / 33.56911; 134.30719;登録路線: 国道55号;登録回: 第10回 （36003）;登録日: 1996年4月16日;開駅日: 1997年4月12日;営業時間: 8:00 - 20:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_四国地方","表形式","1996年（平成8年）4月16日に道の駅に登録され、1997年（平成9年）4月12日に開駅した。"
"道の駅どなり","どなり阿波市国道318号徳島-04","https://ja.wikipedia.org/wiki/道の駅どなり","北緯34度09分03秒東経134度21分09秒","所在地: 〒771-1508徳島県阿波市土成町宮川内字平間28-2;座標: 北緯34度09分03秒東経134度21分09秒﻿ / ﻿北緯34.15086度 東経134.35247度﻿ / 34.15086; 134.35247座標: 北緯34度09分03秒東経134度21分09秒﻿ / ﻿北緯34.15086度 東経134.35247度﻿ / 34.15086; 134.35247;登録路線: 国道318号;登録回: 第10回 （36004）;登録日: 1996年4月16日;開駅日: 1993年2月23日;営業時間: 10:00 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_四国地方","表形式","平成28年4月にリニューアルオープンした。コンセプトは、食とアートの融合。"
"道の駅にしいや","にしいや三好市県道45号西祖谷山山城線徳島-05 ","https://ja.wikipedia.org/wiki/道の駅にしいや","北緯33度53分21秒東経133度48分41秒","所在地: 〒778-0101徳島県三好市西祖谷山村尾井ノ内348-2;座標: 北緯33度53分21秒東経133度48分41秒﻿ / ﻿北緯33.88917度 東経133.81131度﻿ / 33.88917; 133.81131座標: 北緯33度53分21秒東経133度48分41秒﻿ / ﻿北緯33.88917度 東経133.81131度﻿ / 33.88917; 133.81131;登録路線: 徳島県道45号;登録回: 第13回 （36005）;登録日: 1997年10月22日;開駅日: 1998年8月;営業時間: 9:00 - 17:00（4月 - 11月）10:00 - 15:00（12月 - 3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_四国地方","表形式","※12月 - 2月 積雪等により休業の場合有。要問い合わせ。(AM10:00〜PM16:00)"
"道の駅わじき","わじき那賀郡那賀町国道195号徳島-06 ","https://ja.wikipedia.org/wiki/道の駅わじき","北緯33度52分08秒東経134度33分17秒","所在地: 〒771-5204徳島県那賀郡那賀町中山字関ヶ原34-56;座標: 北緯33度52分08秒東経134度33分17秒﻿ / ﻿北緯33.86897度 東経134.55467度﻿ / 33.86897; 134.55467座標: 北緯33度52分08秒東経134度33分17秒﻿ / ﻿北緯33.86897度 東経134.55467度﻿ / 33.86897; 134.55467;登録路線: 国道195号;登録回: 第14回 （36006）;登録日: 1998年4月17日;開駅日: 1998年4月;営業時間: 9:00 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_四国地方","表形式",""
"道の駅公方の郷なかがわ","くぼうのさとなかがわ公方の郷なかがわ（くぼうのさとなかがわ）阿南市国道55号徳島-07旧々名称「公方の郷なかがわ」旧名称「阿南市那賀川」","https://ja.wikipedia.org/wiki/道の駅公方の郷なかがわ","北緯33度57分11秒東経134度40分04秒","所在地: 〒779-1236徳島県阿南市那賀川町工地803番地;座標: 北緯33度57分11秒東経134度40分04秒﻿ / ﻿北緯33.95294度 東経134.66781度﻿ / 33.95294; 134.66781座標: 北緯33度57分11秒東経134度40分04秒﻿ / ﻿北緯33.95294度 東経134.66781度﻿ / 33.95294; 134.66781;登録路線: 国道55号;登録回: 第15回 （36007）;登録日: 1999年8月27日;開駅日: 2002年12月9日;営業時間: 9:00 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_四国地方","表形式","1999年（平成11年）にオープン。2006年（平成18年）に那賀川町が羽ノ浦町とともに阿南市に編入した際、駅名を阿南市那賀川と改称したが、地元住民などから公方の郷の名称の復活を求める声が多く寄せられたため、2008年（平成20年）に再び公方の郷なかがわと改称した。駅名の由来は江戸時代この地に阿波公方が住していたことによる。"
"道の駅もみじ川温泉","もみじ川温泉（もみじがわおんせん）那賀郡那賀町国道195号徳島-08 ","https://ja.wikipedia.org/wiki/道の駅もみじ川温泉","北緯33度47分52秒東経134度26分47秒","所在地: 〒771-5410徳島県那賀郡那賀町大久保西納野4-7;座標: 北緯33度47分52秒東経134度26分47秒﻿ / ﻿北緯33.79764度 東経134.44625度﻿ / 33.79764; 134.44625座標: 北緯33度47分52秒東経134度26分47秒﻿ / ﻿北緯33.79764度 東経134.44625度﻿ / 33.79764; 134.44625;登録路線: 国道195号;登録回: 第16回 （36008）;登録日: 2000年8月18日;開駅日: 2000年8月18日;営業時間: 10:00 - 22:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_四国地方","表形式",""
"道の駅温泉の里神山","おんせんのさとかみやま温泉の里神山（おんせんのさとかみやま）名西郡神山町国道438号徳島-09 ","https://ja.wikipedia.org/wiki/道の駅温泉の里神山","北緯33度58分25秒東経134度22分04秒","所在地: 〒771-3310徳島県名西郡神山町神領字西上角151-1;座標: 北緯33度58分25秒東経134度22分04秒﻿ / ﻿北緯33.97356度 東経134.36769度﻿ / 33.97356; 134.36769座標: 北緯33度58分25秒東経134度22分04秒﻿ / ﻿北緯33.97356度 東経134.36769度﻿ / 33.97356; 134.36769;登録路線: 国道438号;登録回: 第17回 （36009）;登録日: 2001年8月21日;開駅日: 2001年8月;営業時間: 9:00 - 18:00（3月 - 10月）9:00 - 17:00（11月 - 2月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_四国地方","表形式",""
"道の駅藍ランドうだつ","あいランドうだつ藍ランドうだつ（あいランドうだつ）美馬市県道12号鳴門池田線徳島-10 ","https://ja.wikipedia.org/wiki/道の駅藍ランドうだつ","北緯34度04分01秒東経134度08分47秒","所在地: 〒779-3610徳島県美馬市脇町大字脇町55;座標: 北緯34度04分01秒東経134度08分47秒﻿ / ﻿北緯34.06697度 東経134.1465度﻿ / 34.06697; 134.1465座標: 北緯34度04分01秒東経134度08分47秒﻿ / ﻿北緯34.06697度 東経134.1465度﻿ / 34.06697; 134.1465;登録路線: 徳島県道12号;登録回: 第18回 （36010）;登録日: 2002年8月13日;開駅日: 2002年12月9日;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_四国地方","表形式",""
