"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"道の駅しちのへ","しちのへ上北郡七戸町国道4号青森-01 ","https://ja.wikipedia.org/wiki/道の駅しちのへ","北緯40度43分01秒東経141度09分18秒","所在地: 〒039-2501青森県上北郡七戸町字荒熊内67-94;座標: 北緯40度43分01秒東経141度09分18秒﻿ / ﻿北緯40.716883度 東経141.154881度﻿ / 40.716883; 141.154881座標: 北緯40度43分01秒東経141度09分18秒﻿ / ﻿北緯40.716883度 東経141.154881度﻿ / 40.716883; 141.154881;登録路線: 国道4号;登録回: 第1回 （02001）;登録日: 1993年4月22日;開駅日: 1994年3月;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式","正門"
"道の駅はしかみ","はしかみ三戸郡階上町国道45号青森-02 ","https://ja.wikipedia.org/wiki/道の駅はしかみ","北緯40度27分31秒東経141度36分30秒","所在地: 〒039-1201青森県三戸郡階上町大字道仏字耳ヶ吠3-3;座標: 北緯40度27分31秒東経141度36分30秒﻿ / ﻿北緯40.45856度 東経141.60833度﻿ / 40.45856; 141.60833座標: 北緯40度27分31秒東経141度36分30秒﻿ / ﻿北緯40.45856度 東経141.60833度﻿ / 40.45856; 141.60833;登録路線: 国道45号;登録回: 第1回 （02002）;登録日: 1993年4月22日;開駅日: 1994年4月;営業時間: 9:00 - 19:00（4月 - 12月）9:00 - 18:00（1月 - 3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式",""
"道の駅虹の湖","にじのこ虹の湖（にじのこ）黒石市国道102号青森-03 ","https://ja.wikipedia.org/wiki/道の駅虹の湖","北緯40度34分51秒東経140度41分15秒","所在地: 〒036-0402青森県黒石市大字沖浦字山神1-5;座標: 北緯40度34分51秒東経140度41分15秒﻿ / ﻿北緯40.58081度 東経140.6875度﻿ / 40.58081; 140.6875座標: 北緯40度34分51秒東経140度41分15秒﻿ / ﻿北緯40.58081度 東経140.6875度﻿ / 40.58081; 140.6875;登録路線: 国道102号;登録回: 第1回 （02003）;登録日: 1993年4月22日;開駅日: 1989年4月;営業時間: 9:00 - 17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式","1988年（昭和63年）の浅瀬石川（あせいしがわ）ダム完成にあわせてオープンした。"
"道の駅わきのさわ","わきのさわむつ市国道338号青森-04 ","https://ja.wikipedia.org/wiki/道の駅わきのさわ","北緯41度10分05秒東経140度48分17秒","所在地: 〒039-5323青森県むつ市脇野沢七引201-5;座標: 北緯41度10分05秒東経140度48分17秒﻿ / ﻿北緯41.16794度 東経140.80478度﻿ / 41.16794; 140.80478座標: 北緯41度10分05秒東経140度48分17秒﻿ / ﻿北緯41.16794度 東経140.80478度﻿ / 41.16794; 140.80478;登録路線: 国道338号;登録回: 第5回 （02004）;登録日: 1994年4月26日;開駅日: 1987年4月;営業時間: 8:30-17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_東北地方","表形式",""
"道の駅かわうち湖","かわうち湖（かわうちこ）むつ市県道253号長後川内線青森-05 ","https://ja.wikipedia.org/wiki/道の駅かわうち湖","北緯41度16分13秒東経140度53分17秒","所在地: 〒039-4701青森県むつ市川内町福浦山314;座標: 北緯41度16分13秒東経140度53分17秒﻿ / ﻿北緯41.27036度 東経140.88817度﻿ / 41.27036; 140.88817座標: 北緯41度16分13秒東経140度53分17秒﻿ / ﻿北緯41.27036度 東経140.88817度﻿ / 41.27036; 140.88817;登録路線: 青森県道253号;登録回: 第5回 （02005）;登録日: 1994年4月26日;開駅日: 1994年9月;営業時間: 9:00-17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_東北地方","表形式",""
"道の駅しんごう","しんごう三戸郡新郷村国道454号青森-06 ","https://ja.wikipedia.org/wiki/道の駅しんごう","北緯40度25分54秒東経141度04分28秒","所在地: 〒039-1801青森県三戸郡新郷村大字戸来字雨池11-2;座標: 北緯40度25分54秒東経141度04分28秒﻿ / ﻿北緯40.43178度 東経141.07444度﻿ / 40.43178; 141.07444座標: 北緯40度25分54秒東経141度04分28秒﻿ / ﻿北緯40.43178度 東経141.07444度﻿ / 40.43178; 141.07444;登録路線: 国道454号;登録回: 第5回 （02006）;登録日: 1994年4月26日;開駅日: 1994年5月;営業時間: 9:00-17:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式","施設は国道を挟んで2つのエリアに分かれる。"
"道の駅ひろさき","ひろさき弘前市国道7号青森-07 ","https://ja.wikipedia.org/wiki/道の駅ひろさき","北緯40度33分19秒東経140度32分57秒","所在地: 〒036-8124青森県弘前市大字石川字泉田62-1;座標: 北緯40度33分19秒東経140度32分57秒﻿ / ﻿北緯40.55519度 東経140.54903度﻿ / 40.55519; 140.54903座標: 北緯40度33分19秒東経140度32分57秒﻿ / ﻿北緯40.55519度 東経140.54903度﻿ / 40.55519; 140.54903;登録路線: 国道7号;登録回: 第8回 （02007）;登録日: 1995年4月11日;開駅日: 1995年4月11日;営業時間: 9:00-18:309:00-17:30（冬季）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式","1995年（平成7年）4月にJA津軽石川（現：JA津軽みらい）の直売所として開設され、道の駅に指定された。"
"道の駅奥入瀬","おいらせ奥入瀬（おいらせ）十和田市国道102号青森-08 ","https://ja.wikipedia.org/wiki/道の駅奥入瀬","北緯40度35分07秒東経141度07分03秒","所在地: 〒034-0301青森県十和田市奥瀬字堰道39-1;座標: 北緯40度35分07秒東経141度07分03秒﻿ / ﻿北緯40.58519度 東経141.11739度﻿ / 40.58519; 141.11739座標: 北緯40度35分07秒東経141度07分03秒﻿ / ﻿北緯40.58519度 東経141.11739度﻿ / 40.58519; 141.11739;登録路線: 国道102号;登録回: 第8回 （02008）;登録日: 1995年4月11日;開駅日: 1995年7月;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式","停留所名は奥入瀬ろまんパークである。"
"道の駅さんのへ","さんのへ三戸郡三戸町国道4号青森-09 ","https://ja.wikipedia.org/wiki/道の駅さんのへ","北緯40度23分16秒東経141度15分19秒","所在地: 〒039-0141青森県三戸郡三戸町大字川守田字西張渡39-1;座標: 北緯40度23分16秒東経141度15分19秒﻿ / ﻿北緯40.38772度 東経141.25539度﻿ / 40.38772; 141.25539座標: 北緯40度23分16秒東経141度15分19秒﻿ / ﻿北緯40.38772度 東経141.25539度﻿ / 40.38772; 141.25539;登録路線: 国道4号;登録回: 第10回 （02009）;登録日: 1996年4月16日;開駅日: 1996年11月;営業時間: 9:00 - 18:009:00 - 18:30（8月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式",""
"道の駅なみおか","なみおか青森市国道7号青森-10 ","https://ja.wikipedia.org/wiki/道の駅なみおか","北緯40度43分06秒東経140度34分49秒","所在地: 〒038-1331青森県青森市浪岡大字女鹿沢字野尻2-3;座標: 北緯40度43分06秒東経140度34分49秒﻿ / ﻿北緯40.71839度 東経140.58017度﻿ / 40.71839; 140.58017座標: 北緯40度43分06秒東経140度34分49秒﻿ / ﻿北緯40.71839度 東経140.58017度﻿ / 40.71839; 140.58017;登録路線: 国道7号;登録回: 第10回 （02010）;登録日: 1996年4月16日;開駅日: 1996年7月;営業時間: 9:00 - 19:00（3月16日 - 11月15日）9:00 - 18:00（11月16日 - 3月15日）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_東北地方","表形式","施設内にある観光りんご園では春にはりんご人口授粉体験、秋にはりんご狩り体験、冬には雪見りんごなど、1年を通してりんごの成長を見られる。子どもが楽しめるコンビネーション遊具、百人テーブル、整備された広い野原があり、家族連れで楽しめる。"
