"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"道の駅河野","こうの河野（こうの）南条郡南越前町国道8号福井-01 ","https://ja.wikipedia.org/wiki/道の駅河野","北緯35度47分48秒東経136度05分31秒","所在地: 〒915-1103福井県南条郡南越前町大谷86-1-6;座標: 北緯35度47分48秒東経136度05分31秒﻿ / ﻿北緯35.79669度 東経136.09194度﻿ / 35.79669; 136.09194座標: 北緯35度47分48秒東経136度05分31秒﻿ / ﻿北緯35.79669度 東経136.09194度﻿ / 35.79669; 136.09194;登録路線: 国道8号;登録回: 第5回 （18001）;登録日: 1994年4月26日;開駅日: 1997年11月19日;営業時間: 8:30 - 19:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_近畿地方","表形式","名前の由来は、合併前の所在地が河野村であったことによる。"
"道の駅九頭竜","くずりゅう九頭竜（くずりゅう）大野市国道158号福井-02 ","https://ja.wikipedia.org/wiki/道の駅九頭竜","北緯35度54分15秒東経136度39分41秒","所在地: 〒912-0205福井県大野市朝日第26号30番地の1（和泉ふれあい会館）;座標: 北緯35度54分15秒東経136度39分41秒﻿ / ﻿北緯35.90425度 東経136.66144度﻿ / 35.90425; 136.66144座標: 北緯35度54分15秒東経136度39分41秒﻿ / ﻿北緯35.90425度 東経136.66144度﻿ / 35.90425; 136.66144;登録路線: 国道158号;登録回: 第5回 （18002）;登録日: 1994年4月26日;開駅日: 1993年11月17日（和泉ふれあい会館）;営業時間: 8:30 - 17:00（生産物直売所・ふれあい会館）6:00 - 22:00（ファミリーマート）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式","2005年（平成17年）11月7日に合併する前は、旧大野郡和泉村にあった。西日本旅客鉄道（JR西日本）越美北線の終着駅である九頭竜湖駅に隣接する。"
"道の駅パークイン丹生ケ丘","ぱーくいんにゅうがおかパークイン丹生ヶ丘（パークインにゅうがおか）丹生郡越前町国道417号福井-03 ","https://ja.wikipedia.org/wiki/道の駅パークイン丹生ケ丘","北緯35度58分10秒東経136度07分10秒","所在地: 〒916-0142福井県丹生郡越前町上川去第45号1番地7;座標: 北緯35度58分10秒東経136度07分10秒﻿ / ﻿北緯35.96956度 東経136.11947度﻿ / 35.96956; 136.11947座標: 北緯35度58分10秒東経136度07分10秒﻿ / ﻿北緯35.96956度 東経136.11947度﻿ / 35.96956; 136.11947;登録路線: 国道417号;登録回: 第10回 （18003）;登録日: 1996年4月16日;開駅日: 1996年7月1日;営業時間: 10:00 - 19:00（4月 - 9月）10:00 - 18:00（10月 - 3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_近畿地方","表形式","2005年（平成17年）2月1日に合併する前は、旧・丹生郡朝日町にあった。"
"道の駅名田庄","なたしょう名田庄（なたしょう）大飯郡おおい町国道162号福井-04 ","https://ja.wikipedia.org/wiki/道の駅名田庄","北緯35度23分40秒東経135度35分03秒","所在地: 〒917-0375福井県大飯郡おおい町名田庄納田終109-4-1;座標: 北緯35度23分40秒東経135度35分03秒﻿ / ﻿北緯35.39458度 東経135.58422度﻿ / 35.39458; 135.58422座標: 北緯35度23分40秒東経135度35分03秒﻿ / ﻿北緯35.39458度 東経135.58422度﻿ / 35.39458; 135.58422;登録路線: 国道162号;登録回: 第14回 （18004）;登録日: 1998年4月17日;開駅日: 1998年4月17日;営業時間: 9:00 - 18:30（4月 - 11月）10:00 - 17:30（12月 - 2月）9:00 - 18:00（3月）;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式",""
"道の駅みくに","みくに坂井市国道305号福井-05 ","https://ja.wikipedia.org/wiki/道の駅みくに","北緯36度11分23秒東経136度08分21秒","所在地: 〒913-0032福井県坂井市三国町山岸67-3-1;座標: 北緯36度11分23秒東経136度08分21秒﻿ / ﻿北緯36.1897度 東経136.1392度﻿ / 36.1897; 136.1392座標: 北緯36度11分23秒東経136度08分21秒﻿ / ﻿北緯36.1897度 東経136.1392度﻿ / 36.1897; 136.1392;登録路線: 国道305号;登録回: 第14回 （18005）;登録日: 1998年4月17日;開駅日: 1998年7月3日;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式",""
"道の駅若狭熊川宿","わかさくまがわじゅく若狭熊川宿（わかさくまがわじゅく）三方上中郡若狭町国道303号福井-06 ","https://ja.wikipedia.org/wiki/道の駅若狭熊川宿","北緯35度26分26秒東経135度54分22秒","所在地: 〒919-1532福井県三方上中郡若狭町熊川第11号1番地1;座標: 北緯35度26分26秒東経135度54分22秒﻿ / ﻿北緯35.44064度 東経135.90611度﻿ / 35.44064; 135.90611座標: 北緯35度26分26秒東経135度54分22秒﻿ / ﻿北緯35.44064度 東経135.90611度﻿ / 35.44064; 135.90611;登録路線: 国道303号;登録回: 第14回 （18006）;登録日: 1998年4月17日;開駅日: 1999年10月14日;営業時間: 10:00 - 18:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式","京都や奈良に運ばれた鯖街道として歴史街道に指定されているこの街道にちなんだ展示や物産がある。"
"道の駅さかい (福井県)","さかい坂井市県道29号福井金津線福井-07 ","https://ja.wikipedia.org/wiki/道の駅さかい_(福井県)","北緯36度10分15秒東経136度13分19秒","所在地: 〒919-0542福井県坂井市坂井町蔵垣内第34号14番地1;座標: 北緯36度10分15秒東経136度13分19秒﻿ / ﻿北緯36.17094度 東経136.22192度﻿ / 36.17094; 136.22192﻿ (道の駅さかい)座標: 北緯36度10分15秒東経136度13分19秒﻿ / ﻿北緯36.17094度 東経136.22192度﻿ / 36.17094; 136.22192﻿ (道の駅さかい);登録路線: 福井県道29号;登録回: 第16回 （18007）;登録日: 2000年8月18日;開駅日: 2001年6月15日;営業時間: 10:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","道の駅一覧_近畿地方","表形式","2000年（平成12年）8月18日に道の駅に登録された。道の駅に坂井市の地域交流センター「いねす」が併設されている。"
"道の駅シーサイド高浜","しーさいどたかはまシーサイド高浜（シーサイドたかはま）大飯郡高浜町国道27号福井-08 ","https://ja.wikipedia.org/wiki/道の駅シーサイド高浜","北緯35度29分20秒東経135度35分45秒","所在地: 〒919-2205福井県大飯郡高浜町下車持第46号10番地1;座標: 北緯35度29分20秒東経135度35分45秒﻿ / ﻿北緯35.48886度 東経135.59594度﻿ / 35.48886; 135.59594座標: 北緯35度29分20秒東経135度35分45秒﻿ / ﻿北緯35.48886度 東経135.59594度﻿ / 35.48886; 135.59594;登録路線: 国道27号;登録回: 第17回 （18008）;登録日: 2001年8月21日;開駅日: 2002年5月1日;営業時間: 10:00 - 22:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式","外観・内装とも地中海の装いで統一されており、中でも、現地調達した家具をそろえたレストランを中心とした物産館は、地中海を満喫することができる。なお、施設整備の総事業費20億円超のうち、約3割が関西電力高浜発電所立地に伴う電源三法の交付金で賄われている。"
"道の駅若狭おばま","わかさおばま若狭おばま（わかさおばま）小浜市県道24号小浜上中線福井-09 ","https://ja.wikipedia.org/wiki/道の駅若狭おばま","北緯35度29分31秒東経135度45分47秒","所在地: 〒917-0027福井県小浜市和久里第24号45番2;座標: 北緯35度29分31秒東経135度45分47秒﻿ / ﻿北緯35.49197度 東経135.76308度﻿ / 35.49197; 135.76308座標: 北緯35度29分31秒東経135度45分47秒﻿ / ﻿北緯35.49197度 東経135.76308度﻿ / 35.49197; 135.76308;登録路線: 福井県道24号;登録回: 第35回 （18009）;登録日: 2011年3月3日;開駅日: 2011年3月12日;営業時間: 9:00 - 19:30;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式","2009年（平成21年）10月26日、小浜市和久里に農産物の加工などができる施設「わかさ国府の郷 四季菜館」が開業。この「四季菜館」周辺に小浜市が駐車場などを整備し、2011年（平成23年）3月12日に道の駅としてオープンした。"
"道の駅うみんぴあ大飯","うみんぴあ大飯（うみんぴあおおい）大飯郡おおい町国道27号福井-10 ","https://ja.wikipedia.org/wiki/道の駅うみんぴあ大飯","北緯35度28分53秒東経135度37分48秒","所在地: 〒919-2107福井県大飯郡おおい町成海第1号1番地2;座標: 北緯35度28分53秒東経135度37分48秒﻿ / ﻿北緯35.48125度 東経135.62989度﻿ / 35.48125; 135.62989座標: 北緯35度28分53秒東経135度37分48秒﻿ / ﻿北緯35.48125度 東経135.62989度﻿ / 35.48125; 135.62989;登録路線: 国道27号;登録回: 第38回 （18010）;登録日: 2012年9月14日;開駅日: 2013年5月30日;営業時間: 9:00-18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式","2007年4月にオープンしたうみんぴあ大飯マリーナを皮切りに、複合レジャー空間として開発を続け、同マリーナは海の駅に登録している。2012年4月に国土交通省北陸地方整備局がみなとオアシスに、同年9月に同省近畿地方整備局が道の駅にそれぞれ登録している（同一施設が道の駅・海の駅・みなとオアシスの代表施設の三重登録をしているのは全国でも当施設とあいおい白龍城の2施設のみ）。"
"道の駅西山公園","にしやまこうえん西山公園（にしやまこうえん）鯖江市国道417号福井-11西山公園に併設","https://ja.wikipedia.org/wiki/道の駅西山公園","北緯35度56分55.3秒東経136度10分50.5秒","所在地: 〒916-0027福井県鯖江市桜町3丁目950番;座標: 北緯35度56分55.3秒東経136度10分50.5秒﻿ / ﻿北緯35.948694度 東経136.180694度﻿ / 35.948694; 136.180694﻿ (道の駅西山公園);登録路線: 国道417号;登録回: 第40回 （18011）;登録日: 2013年3月27日;開駅日: 2014年4月5日;営業時間: 9:00 - 18:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","道の駅一覧_近畿地方","表形式","西山公園南側に道の駅が2014年（平成26年）4月5日に開業した。鯖江市西山動物園へは道の駅内にあるエレベーターと橋を利用して行くことができる。"
