"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"厚岸道立自然公園","","https://ja.wikipedia.org/wiki/厚岸道立自然公園","北緯42度59分43秒東経144度55分10秒","分類: 国定公園;所在地: 日本北海道釧路郡釧路町、厚岸郡厚岸町、厚岸郡浜中町、川上郡標茶町;座標: 北緯42度59分43秒東経144度55分10秒﻿ / ﻿北緯42.99528度 東経144.91944度﻿ / 42.99528; 144.91944座標: 北緯42度59分43秒東経144度55分10秒﻿ / ﻿北緯42.99528度 東経144.91944度﻿ / 42.99528; 144.91944;面積: 41,487ヘクタール;前身: 厚岸道立自然公園;開園: 2021年;運営者: 北海道;告示: 環境省告示第24号;事務所: 釧路総合振興局保健環境部環境生活課;事務所所在地: 北海道釧路市浦見2丁目2-54","都道府県立自然公園","参照","釧路町東部の太平洋沿岸から厚岸町を経て浜中町霧多布にかけての海岸段丘、海食崖、湖沼、湿原などの変化に富んだ地形に恵まれている。釧路町昆布森から尻羽岬にかけての海岸一帯はトド岩、タコ岩などの奇岩を見ることができる。大黒島は海鳥の繁殖地になっており、「大黒島海鳥繁殖地」として国の「天然記念物」、「鳥獣保護区」に指定されている。また、厚岸湖・別寒辺牛湿原と霧多布湿原（藻散布沼・火散布沼を含む）が「ラムサール条約」登録湿地、国の「鳥獣保護区」に指定されている。嶮暮帰島は畑正憲がクマやウマを連れて約1年間移住した島である。"
"富良野芦別道立自然公園","","https://ja.wikipedia.org/wiki/富良野芦別道立自然公園","北緯43度12分48秒東経142度17分03秒","分類: 自然公園;所在地: 日本北海道夕張市、芦別市、三笠市、富良野市、空知郡南富良野町;座標: 北緯43度12分48秒東経142度17分03秒﻿ / ﻿北緯43.21333度 東経142.28417度﻿ / 43.21333; 142.28417座標: 北緯43度12分48秒東経142度17分03秒﻿ / ﻿北緯43.21333度 東経142.28417度﻿ / 43.21333; 142.28417;面積: 35,756ヘクタール;開園: 1955年;運営者: 北海道;事務所: 上川総合振興局保健環境部環境生活課空知総合振興局保健環境部環境生活課;事務所所在地: 北海道旭川市永山6条19丁目1北海道岩見沢市8条西5丁目;備考: 自動車・スノーモビルなどの乗入れ規制区域あり;公式サイト: 富良野芦別道立自然公園","都道府県立自然公園","参照","夕張岳一帯は超塩基性岩の蛇紋岩が分布している特殊な地質であり、「ユウバリ（ユウパリ）」の名を冠する固有種の高山植物が数多く生息している。そのほとんどが環境省のレッドリストに指定されている植物であるため、夕張岳は「花の名山」として知られている。「夕張岳の高山植物群落及び蛇紋岩メランジュ帯」として国の「天然記念物」に指定され、「日本の地質百選」に選定されている。また、北海道内では初となる「日本山岳遺産」に認定されている。"
"檜山道立自然公園","","https://ja.wikipedia.org/wiki/檜山道立自然公園","北緯41度52分08秒東経140度06分52秒","分類: 自然公園;所在地: 日本北海道檜山郡上ノ国町、檜山郡江差町、爾志郡乙部町、二海郡八雲町、久遠郡せたな町、奥尻郡奥尻町;座標: 北緯41度52分08秒東経140度06分52秒﻿ / ﻿北緯41.86889度 東経140.11444度﻿ / 41.86889; 140.11444座標: 北緯41度52分08秒東経140度06分52秒﻿ / ﻿北緯41.86889度 東経140.11444度﻿ / 41.86889; 140.11444;面積: 約17,000ヘクタール;開園: 1960年;運営者: 北海道;事務所: 檜山振興局保健環境部環境生活課;事務所所在地: 北海道檜山郡江差町字陣屋町336-3;公式サイト: 檜山道立自然公園","都道府県立自然公園","参照","公園区域は江差町からせたな町にかけての日本海沿いに点在しているほか、上ノ国町の夷王山一帯、八雲町熊石地区の見市川流域、奥尻町（奥尻島）全域からなる。日本海の強風と荒波によって形成された海食崖と海岸段丘が連なり、奇岩や岩石海岸が随所に見られるほか、見市川上流部は渓谷景観を有している。また、檜山振興局管内は北海道内で最も古くから開けた土地であることから、寺社、城跡、墳墓などの歴史的・文化的遺産が比較的多く残されている地域になっている。"
"恵山道立自然公園","","https://ja.wikipedia.org/wiki/恵山道立自然公園","北緯41度48分54秒東経141度10分24秒","分類: 自然公園;所在地: 日本北海道函館市、亀田郡七飯町、茅部郡鹿部町;座標: 北緯41度48分54秒東経141度10分24秒﻿ / ﻿北緯41.81500度 東経141.17333度﻿ / 41.81500; 141.17333座標: 北緯41度48分54秒東経141度10分24秒﻿ / ﻿北緯41.81500度 東経141.17333度﻿ / 41.81500; 141.17333;面積: 4,116ヘクタール;開園: 1961年2007年（横津岳地域編入）;運営者: 北海道;事務所: 渡島総合振興局保健環境部環境生活課;事務所所在地: 北海道函館市美原4丁目6-16;備考: 自動車・スノーモビルなどの乗入れ規制区域あり;公式サイト: 恵山道立自然公園","都道府県立自然公園","参照","公園区域は恵山周辺の恵山地域、柱状節理や海食崖・奇岩が連続している海岸地域、南茅部地区の川汲川、大船川沿いの森林地域、2007年（平成19年）に編入した横津岳・袴腰岳周辺の横津岳地域からなる。"
"野付風蓮道立自然公園","","https://ja.wikipedia.org/wiki/野付風蓮道立自然公園","","分類: 自然公園;所在地: 日本北海道根室市、野付郡別海町、標津郡標津町;面積: 11,692ヘクタール;開園: 1962年;運営者: 北海道;事務所: 根室振興局保健環境部環境生活課;事務所所在地: 北海道根室市常盤町3丁目28;備考: 自動車・スノーモビルなどの乗入れ規制区域あり;公式サイト: 野付風蓮道立自然公園","都道府県立自然公園","参照","野付半島地区と風蓮地区の2つに分けられており、日本国内最大の規模をもつ鉤状の砂嘴を形成している野付半島、海跡湖の風蓮湖、温根沼（おんねとう）、長節湖（ちょうぼしこ）、根釧台地を背景とした砂浜海岸やヨシに覆われた湿原など、北海道らしい景観を有している。野付半島・野付湾と風蓮湖・春国岱が「ラムサール条約」登録湿地になっており、「野付半島・野付湾」と「風蓮湖」として国の「鳥獣保護区」に指定されている。トドワラは「日本の渚百選」に選定されている。"
"松前矢越道立自然公園","","https://ja.wikipedia.org/wiki/松前矢越道立自然公園","北緯41度23分54秒東経140度11分58秒","分類: 自然公園;所在地: 日本北海道松前郡松前町、松前郡福島町、上磯郡知内町;座標: 北緯41度23分54秒東経140度11分58秒﻿ / ﻿北緯41.39833度 東経140.19944度﻿ / 41.39833; 140.19944座標: 北緯41度23分54秒東経140度11分58秒﻿ / ﻿北緯41.39833度 東経140.19944度﻿ / 41.39833; 140.19944;面積: 2,052ヘクタール;開園: 1968年;運営者: 北海道;事務所: 渡島総合振興局保健環境部環境生活課;事務所所在地: 北海道函館市美原4丁目6-16;公式サイト: 松前矢越道立自然公園","都道府県立自然公園","参照","公園は松前町西方沖の渡島大島・渡島小島、松前町から福島町を経て知内町にかけての海食崖や海浜などが断続的に続く海岸地域、知内町内陸部の森林景観を主体とした知内温泉の地域からなる。渡島大島は「オオミズナギドリ繁殖地」、渡島小島は「松前小島」として国の「天然記念物」、北海道の「鳥獣保護区」に指定されている。"
"北オホーツク道立自然公園","","https://ja.wikipedia.org/wiki/北オホーツク道立自然公園","北緯45度08分50.0秒東経142度22分10.6秒","分類: 自然公園;所在地: 日本北海道宗谷郡猿払村、枝幸郡浜頓別町、枝幸郡枝幸町;座標: 北緯45度08分50.0秒東経142度22分10.6秒﻿ / ﻿北緯45.147222度 東経142.369611度﻿ / 45.147222; 142.369611座標: 北緯45度08分50.0秒東経142度22分10.6秒﻿ / ﻿北緯45.147222度 東経142.369611度﻿ / 45.147222; 142.369611;面積: 3,927ヘクタール;開園: 1968年;運営者: 北海道;事務所: 宗谷総合振興局保健環境部環境生活課;事務所所在地: 北海道稚内市末広4丁目2-27;備考: 自動車・スノーモビルなどの乗入れ規制区域あり;公式サイト: 北オホーツク道立自然公園","都道府県立自然公園","参照","公園は浅茅野台地や頓別平野の海跡湖沼周辺、オホーツク海に突き出た岬の断崖と岩礁から構成している。海跡湖沼のカムイト沼、モケウニ沼、瓢箪沼（ひょうたんぬま）、クッチャロ湖の周囲には湿原が広がっており、背後は森林になっている。クッチャロ湖は日本国内最大となるコハクチョウの中継地になっており、「ラムサール条約」登録湿地となり、「浜頓別クッチャロ湖」として国の「鳥獣保護区」に指定されている。"
"道立自然公園野幌森林公園","","https://ja.wikipedia.org/wiki/道立自然公園野幌森林公園","北緯43度03分09秒東経141度30分02秒","分類: 自然公園;所在地: 日本札幌市厚別区・江別市・北広島市;座標: 北緯43度03分09秒東経141度30分02秒﻿ / ﻿北緯43.05250度 東経141.50056度﻿ / 43.05250; 141.50056座標: 北緯43度03分09秒東経141度30分02秒﻿ / ﻿北緯43.05250度 東経141.50056度﻿ / 43.05250; 141.50056;面積: 2,053ヘクタール;開園: 1968年;設計者: 加藤誠平ら;運営者: 北海道;バリアフリー: 公衆トイレ;アクセス: #交通アクセス参照;事務所: 北海道博物館総務課;事務所所在地: 札幌市厚別区厚別町小野幌53-2;備考: 公園内への動物・植物などの持ち込みは禁止（一部遊歩道では犬の散歩ができる）広域避難場所;公式サイト: 道立自然公園野幌森林公園","都道府県立自然公園","参照","3市にまたがる野幌丘陵にあり、大都市近郊でまとまった面積の森林（平地林）が残されているのは日本国内でも数少ない。公園内のおよそ8割が国有林で、鳥獣保護区にもなっている。1977年（昭和52年）には昭和天皇在位50周年を記念して「昭和の森」に指定された。公園内には遊歩道があり、自然観察や森林浴を楽しむことができる。歩くスキー（クロスカントリースキー）コースの標識が常設されており、冬には整備されたコースが常時利用可能になるが、管理者はスキー専用ではないとの立場をとっている。"
"狩場茂津多道立自然公園","","https://ja.wikipedia.org/wiki/狩場茂津多道立自然公園","北緯42度36分35秒東経139度51分11秒","分類: 自然公園;所在地: 日本北海道寿都郡寿都町、島牧郡島牧村、久遠郡せたな町;座標: 北緯42度36分35秒東経139度51分11秒﻿ / ﻿北緯42.60972度 東経139.85306度﻿ / 42.60972; 139.85306座標: 北緯42度36分35秒東経139度51分11秒﻿ / ﻿北緯42.60972度 東経139.85306度﻿ / 42.60972; 139.85306;面積: 22,647ヘクタール;開園: 1972年;運営者: 北海道;事務所: 檜山振興局保健環境部環境生活課後志総合振興局保健環境部環境生活課;事務所所在地: 北海道檜山郡江差町字陣屋町336-3北海道虻田郡倶知安町北1条東2丁目;公式サイト: 狩場茂津多道立自然公園","都道府県立自然公園","参照","公園区域は狩場山地の山岳地域、弁慶岬から太櫓海岸にかけての海岸地域、大平山山岳地域からなる。狩場山の周辺地域は林野庁の指定する「狩場山地須築川源流部森林生態系保護地域」になっており、ほぼ原生状態で存在しているブナを主とする森林の生態系を保護している。江ノ島海岸は「日本の渚百選」、賀老の滝は「日本の滝百選」に選定されている。"
"朱鞠内道立自然公園","","https://ja.wikipedia.org/wiki/朱鞠内道立自然公園","北緯44度18分30秒東経142度10分53秒","分類: 自然公園;所在地: 日本北海道雨竜郡幌加内町、士別市、天塩郡遠別町、苫前郡羽幌町;座標: 北緯44度18分30秒東経142度10分53秒﻿ / ﻿北緯44.30833度 東経142.18139度﻿ / 44.30833; 142.18139座標: 北緯44度18分30秒東経142度10分53秒﻿ / ﻿北緯44.30833度 東経142.18139度﻿ / 44.30833; 142.18139;面積: 13,767ヘクタール;開園: 1974年;運営者: 北海道;事務所: 上川総合振興局保健環境部環境生活課留萌振興局保健環境部環境生活課;事務所所在地: 北海道旭川市永山6条19丁目1北海道留萌市住之江町2丁目1-2;公式サイト: 朱鞠内道立自然公園","都道府県立自然公園","参照","公園は、ダムによって堰き止められて形成した朱鞠内湖や宇津内湖、ウツナイ川の湖沼地域、天塩山地最高峰のピッシリ山を中心とする山岳地域に分けられる。朱鞠内湖は雨竜川の上流に建設した雨竜第一ダムによる人造湖であり、常時満水位までの面積（湛水面積）2,373 haは人造湖として日本国内最大になっており、周囲約40 km、水深約40 mある。岬角、湾入などの変化に富み、大小の島々が浮かんでいる。宇津内湖もウツナイ川の下流部が雨竜第二ダムによって堰き止められた人造湖である。これら湖沼は、支流の多い河谷が深く水没したために形成したものであり、他の北海道内の自然湖や人造湖では見ることのできない特殊な地形・景観になっている。"
