"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"朝日岳 (群馬県)","1朝日岳1945群馬県26至仏山2228群馬県51鋸山329千葉県76岩茸石山793東京都","https://ja.wikipedia.org/wiki/朝日岳_(群馬県)","北緯36度52分50秒東経138度58分21秒","標高: 1,945.26[1]m;所在地: 日本群馬県利根郡みなかみ町新潟県南魚沼市;位置: 北緯36度52分50秒東経138度58分21秒座標: 北緯36度52分50秒 東経138度58分21秒[2];山系: 三国山脈","関東百名山","表形式"
"谷川岳","2谷川岳1977群馬県27鬼怒沼山2140.8栃木県52高宕山330千葉県77御岳山929東京都","https://ja.wikipedia.org/wiki/谷川岳","北緯36度50分14秒東経138度55分48秒","標高: 1,977 m;所在地: 日本群馬県利根郡みなかみ町新潟県南魚沼郡湯沢町;位置: 北緯36度50分14秒東経138度55分48秒﻿ / ﻿北緯36.83722度 東経138.93000度﻿ / 36.83722; 138.93000座標: 北緯36度50分14秒東経138度55分48秒﻿ / ﻿北緯36.83722度 東経138.93000度﻿ / 36.83722; 138.93000;山系: 三国山脈","関東百名山","表形式"
"仙ノ倉山","3仙ノ倉山2026群馬県28太郎山2368栃木県53富山349.6千葉県78大岳山1267東京都","https://ja.wikipedia.org/wiki/仙ノ倉山","北緯36度49分03秒東経138度50分22秒","標高: 2,026.3 m;所在地: 日本群馬県利根郡みなかみ町新潟県南魚沼郡湯沢町;位置: 北緯36度49分03秒東経138度50分22秒座標: 北緯36度49分03秒 東経138度50分22秒;山系: 三国山脈","関東百名山","表形式"
"白砂山","4白砂山2140群馬県29奥白根山2578栃木県54伊予ヶ岳336.3千葉県79御前山1405東京都","https://ja.wikipedia.org/wiki/白砂山","北緯36度44分17秒東経138度41分36秒","標高: 2,139.7 m;所在地: 日本長野県下水内郡栄村新潟県南魚沼郡湯沢町群馬県吾妻郡中之条町;位置: 北緯36度44分17秒東経138度41分36秒座標: 北緯36度44分17秒 東経138度41分36秒;山系: 上信越高原","関東百名山","表形式"
"草津白根山","5草津白根山2171群馬県30女峰山2483栃木県55御殿山363.9千葉県80三頭山1531東京都","https://ja.wikipedia.org/wiki/草津白根山","北緯36度38分38秒東経138度31分40秒","標高: 2,160 m;所在地: 日本群馬県吾妻郡草津町;位置: 北緯36度38分38秒東経138度31分40秒座標: 北緯36度38分38秒 東経138度31分40秒;種類: 活火山ランクB・常時観測火山","関東百名山","表形式"
"黒斑山","6黒斑山2404群馬県31男体山2486栃木県56日和田山305埼玉県81浅間嶺903東京都","https://ja.wikipedia.org/wiki/黒斑山","北緯36度24分19秒東経138度29分19秒","標高: 2,404[1]m;所在地: 日本群馬県嬬恋村長野県小諸市;位置: 北緯36度24分19秒東経138度29分19秒座標: 北緯36度24分19秒 東経138度29分19秒[1];山系: 浅間山;種類: 馬蹄形カルデラ外輪山","関東百名山","表形式"
"湯ノ丸山","7湯ノ丸山2101群馬県32皇海山2144栃木県57笠山837埼玉県82陣馬山854.8東京都","https://ja.wikipedia.org/wiki/湯ノ丸山","北緯36度26分5秒東経138度24分4秒","標高: 2,101 m;所在地: 日本長野県東御市・上田市群馬県嬬恋村;位置: 北緯36度26分5秒東経138度24分4秒;山系: 烏帽子火山群;種類: 溶岩ドーム[1]","関東百名山","表形式"
"鼻曲山","8鼻曲山1655群馬県33袈裟丸山1961栃木県58大霧山766.7埼玉県83高尾山599.3東京都","https://ja.wikipedia.org/wiki/鼻曲山","北緯36度24分39秒東経138度38分43秒","標高: 1,655 m;所在地: 群馬県高崎市・吾妻郡長野原町・長野県北佐久郡軽井沢町;位置: 北緯36度24分39秒東経138度38分43秒座標: 北緯36度24分39秒 東経138度38分43秒","関東百名山","表形式"
"浅間隠山","9浅間隠山1757群馬県34根本山1199栃木県59鐘撞堂山330.2埼玉県84棒ノ嶺969東京都","https://ja.wikipedia.org/wiki/浅間隠山","北緯36度27分13秒東経138度39分09秒","標高: 1,757 m;所在地: 日本群馬県吾妻郡東吾妻町・長野原町;位置: 北緯36度27分13秒東経138度39分09秒座標: 北緯36度27分13秒 東経138度39分09秒","関東百名山","表形式"
"妙義山","10妙義山1104群馬県35古峰ヶ原1377.9栃木県60城峯山1037.7埼玉県85生藤山990東京都","https://ja.wikipedia.org/wiki/妙義山","北緯36度17分55秒東経138度44分56秒","標高: 1,103.8 m;所在地: 群馬県甘楽郡下仁田町・富岡市・安中市;位置: 北緯36度17分55秒東経138度44分56秒座標: 北緯36度17分55秒 東経138度44分56秒","関東百名山","表形式"
"荒船山","11荒船山1423群馬県36石裂山879栃木県61二子山1165.79埼玉県86天上山572東京都","https://ja.wikipedia.org/wiki/荒船山","北緯36度12分14秒東経138度38分13秒","標高: 1,423 m;所在地: 日本群馬県甘楽郡下仁田町長野県佐久市;位置: 北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ / 36.20389; 138.63694座標: 北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ / 36.20389; 138.63694;種類: メサ","関東百名山","表形式"
