# 天文年鑑2020 星座略符表 裏ページ,
略符,星座名
And,アンドロメダ
Ant,ポンプ
Aps,ふうちょう
Aql,わし
Aqr,みずがめ
Ara,さいだん
Arl,おひつじ
Aur,ぎょしゃ
Boo,うしかい
Cae,ちょうこくぐ
Cam,きりん
Cap,やぎ
Car,りゅうこつ
Cas,カシオペア
Cen,ケンタウルス
Cep,ケフェウス
Cet,くじら
Cha,カメレオン
Cir,コンパス
Cma,おおいぬ
Cmi,こいぬ
Cnc,かに
Col,はと
Com,かみのけ
CrA,みなみのかんむり
CrB,かんむり
Crt,コップ
Cru,みなみじゅうじ
Crv,からす
Cvn,りょうけん
Cyg,はくちょう
Del,いるか
Dor,かじき
Dra,りゅう
Equ,こうま
Eri,エリダヌス
For,ろ
Gem,ふたご
Gru,つる
Her,ヘルクルス
Hor,とけい
Hya,うみへび
Hyi,みすへび
Ind,インディアン
Lac,とかげ
Leo,しし
Lep,うさぎ
Lib,てんびん
Lmi,こじし
Lup,おおかみ
Lyn,やまねこ
Lyr,こと
Men,テーブルさん
Mic,けんびきょう
Mon,いっかくじゅう
Mus,はえ
Nor,じょうぎ
Oct,はちぶんぎ
Oph,へびつかい
Ori,オリオン
Pav,くじゃく
Peg,ペガサス
Per,ペルセウス
Phe,ほうおう
Pic,がか
PsA,みなみのうお
Psc,うお
Pup,とも
Pyx,らしんばん
Ret,レチクル
Scl,ちょうこくしつ
Sco,さそり
Sct,たて
Ser,へびつかい
Sex,ろくぶんぎ
Sge,やぎ
Sgr,いて
Tau,おうし
Tel,ぼうえんきょう
TrA,みなみのさんかく
Tri,さんかく
Tuc,きょしちょう
Uma,おおぐま
Umi,こぐま
Vel,ほ
Vir,おとめ
Vol,とびうお
Vul,こぎつね
