# 理科年表2021 おもな恒星 (J2000) p32,,,,,,
星名,赤経(hhmm.m),赤緯(±ddmm),実視等級,赤経固有運動量,赤緯固有運動量,距離(光年)
α And,0008.4,+2905,2.1,+137,-163,97
β Cas,0009.2,+5909,2.3,+524,-180,55
β Hyi,0025.8,-7715,2.8,+2220,+324,24
α Phe,0026.3,-4218,2.4,+233,-356,85
α Cas,0040.5,+5632,2.2,+51,-32,228
β Cet,0043.6,-1759,2.0,+233,-+32,96
γ Cas,0056.7,+6043,2.5,+25,-4,549
β And,0109.7,+3537,2.1,+176,-112,197
δ Cas,0125.8,+6014,2.7,+297,-49,99
α Eri,0137.7,-5714,0.5,+87,-38,139
β Ari,0154.6,+2048,2.6,+99,-110,59
α Hyi,0158.8,-6134,2.9,+264,+27,72
γ And,0203.9,+4220,2.2d,+42,-49,393
α Ari,0207.2,+2328,2.0,+189,-148,66
β Tri,0209.5,+3459,3.0,+149,-39,127
ο Cet,0219.3,-0259,3.0v,+9,-237,299
α Umi,0231.8,+8916,2.0,+44,-12,433
α Cet,0302.3,+0405,2.5,-10,-77,249
β Per,0308.2,+4057,2.1v,+3,-2,90
α Per,0324.3,+4952,1.8,+24,-26,506
α Tau,0435.9,+1631,0.9,+63,-189,67
ι Aur,0457.0,+3310,2.7,+7,-15,493
β Eri,0507.8,-0505,2.8,-83,-75,89
β Ori,0514.5,-0812,0.1,+1,+1,863
α Aur,0516.7,+4600,0.1d,+75,-427,43
γ Ori,0525.1,+0621,1.6,-8,-13,252
β Tau,0526.3,+2836,1.6,+23,-174,134
β Lep,0528.2,-2046,2.8,-5,-86,160
δ Ori,0532.0,-0018,2.2d,-+1,-1,692
α Lep,0532.7,-1749,2.6,+4,+1,2219
ε  Ori,0536.2,-0112,1.7,+1,-1,1977
α Col,0539.6,-3404,2.6,+2,-25,261
ζ Ori,0540.8,-0157,2.0,+3,+2,736
κ Ori,0547.8,-0940,2.1,+1,-1,647
α Ori,0555.2,+0724,0.5,+28,+11,498
β Aur,0559.5,+4457,1.9,-56,-1,81
θ Aur,0550.7,+3713,2.6,+44,-74,166
β Cma,0622.7,-1757,2.0,-3,-1,493
α Car,0624.0,-5242,-0.7,+20,+23,309
γ Gem,0637.7,+1624,1.9,+14,+-55,109
α Cma,0645.1,-1643,-1.5,-546,-1223,8.6
ε Cma,0658.6,-2858,1.5,+3,+1,405
δ Cma,0708.4,-2624,1.8,-3,+3,1607
