"HIP番号","赤経：時分秒","赤緯：±度分秒","視等級","恒星名","恒星名(日本語)","星座名"
"","00h08m24s","+29°04′00″","2.1","α And","",""
"","00h09m12s","+59°08′00″","2.3","β Cas","",""
"","00h25m48s","-77°15′00″","2.8","β Hyi","",""
"","00h26m18s","-42°17′00″","2.4","α Phe","",""
"","00h40m30s","+56°31′00″","2.2","α Cas","",""
"","00h43m36s","-17°59′00″","2.0","β Cet","",""
"","00h56m42s","+60°43′00″","2.5","γ Cas","",""
"","01h09m42s","+35°37′00″","2.1","β And","",""
"","01h25m48s","+60°14′00″","2.7","δ Cas","",""
"","01h37m42s","-57°14′00″","0.5","α Eri","",""
"","01h54m36s","+20°48′00″","2.6","β Ari","",""
"","01h58m48s","-61°34′00″","2.9","α Hyi","",""
"","02h03m54s","+42°20′00″","2.2d","γ And","",""
"","02h07m12s","+23°27′00″","2.0","α Ari","",""
"","02h09m30s","+34°59′00″","3.0","β Tri","",""
"","02h19m18s","-02°59′00″","3.0v","ο Cet","",""
"","02h31m48s","+89°15′00″","2.0","α Umi","",""
"","03h02m18s","+04°04′60″","2.5","α Cet","",""
"","03h08m12s","+40°57′00″","2.1v","β Per","",""
"","03h24m18s","+49°52′00″","1.8","α Per","",""
"","04h35m54s","+16°30′00″","0.9","α Tau","",""
"","04h57m00s","+33°09′60″","2.7","ι Aur","",""
"","05h07m48s","-05°04′00″","2.8","β Eri","",""
"","05h14m30s","-08°11′60″","0.1","β Ori","",""
"","05h16m42s","+46°00′00″","0.1d","α Aur","",""
"","05h25m06s","+06°20′00″","1.6","γ Ori","",""
"","05h26m18s","+28°36′00″","1.6","β Tau","",""
"","05h28m12s","-20°45′00″","2.8","β Lep","",""
"","05h31m00s","-00°18′00″","2.2d","δ Ori","",""
"","05h32m42s","-17°48′00″","2.6","α Lep","",""
"","05h36m12s","-01°11′00″","1.7","ε  Ori","",""
"","05h39m36s","-34°04′00″","2.6","α Col","",""
"","05h40m48s","-01°57′00″","2.0","ζ Ori","",""
"","05h47m48s","-09°39′00″","2.1","κ Ori","",""
"","05h55m12s","+07°24′00″","0.5","α Ori","",""
"","05h59m30s","+44°57′00″","1.9","β Aur","",""
"","05h50m42s","+37°13′00″","2.6","θ Aur","",""
"","06h22m42s","-17°56′00″","2.0","β Cma","",""
"","06h24m00s","-52°42′00″","-0.7","α Car","",""
"","06h37m42s","+16°23′60″","1.9","γ Gem","",""
"","06h45m06s","-16°42′60″","-1.5","α Cma","",""
"","06h58m36s","-28°57′00″","1.5","ε Cma","",""
"","07h08m24s","-26°23′00″","1.8","δ Cma","",""
"","07h17m06s","-37°06′00″","2.7","π Pup","",""
"","07h24m06s","-29°18′00″","2.5","η Cma","",""
"","07h27m06s","+08°16′00″","2.9","β Cmi","",""
"","07h34m36s","+31°52′00″","1.6d","α Gem","",""
"","07h39m18s","+05°14′00″","0.4","α Cmi","",""
"","07h45m18s","+28°02′00″","1.1","β Gem","",""
"","08h03m36s","-40°00′00″","2.2","ζ Pup","",""
"","08h09m30s","-47°21′00″","1.7d","γ Vel","",""
"","08h22m30s","-59°30′00″","1.9d","εCar","",""
"","08h44m42s","-54°43′00″","2.0","δ Vel","",""
"","09h07m00s","-43°25′00″","2.2","λ Vel","",""
"","09h13m12s","-69°43′00″","1.7","β Car","",""
"","09h17m06s","-59°16′00″","2.2","ι Car","",""
"","09h22m06s","-55°00′00″","2.5","κ Vel","",""
"","09h27m36s","-08°39′00″","2.0","α Hya","",""
"","10h08m24s","+11°58′00″","1.4","α Leo","",""
"","10h20m00s","+19°51′00″","2.1d","γ Leo","",""
"","10h46m48s","-49°24′00″","2.7d","μ Vel","",""
"","11h01m48s","+56°22′00″","2.4","β Uma","",""
"","11h03m42s","+61°45′00″","1.8","α Uma","",""
"","11h14m06s","+20°30′00″","2.6","δ Leo","",""
"","11h49m06s","+14°33′00″","2.1","β Leo","",""
"","11h53m48s","+53°42′00″","2.4","γ Uma","",""
"","12h08m24s","-50°43′00″","2.6","δ Cen","",""
"","12h15m48s","-17°33′00″","2.6","γ Crv","",""
"","12h26m36s","-63°06′00″","0.8d","α Cru","",""
"","12h31m12s","-57°07′00″","1.6","γ Cru","",""
"","12h34m24s","-23°23′00″","2.7","β Crv","",""
"","12h37m12s","-69°08′00″","2.7","α Mus","",""
"","12h41m30s","-48°58′00″","2.2","γ Cen","",""
"","12h47m42s","-59°40′00″","1.2","β Cru","",""
"","12h54m00s","+55°58′00″","1.8","ε Uma","",""
"","12h56m00s","+38°19′00″","2.8d","α Cvn","",""
"","13h23m54s","+54°55′00″","2.1d","ζ Uma","",""
"","13h25m12s","-11°09′00″","1.0d","α Vir","",""
"","23h39m54s","-53°28′00″","2.3","ε Cen","",""
"","13h47m30s","+49°19′00″","1.9","η Uma","",""
"","13h54m42s","+18°23′00″","2.7","η Boo","",""
"","13h55m30s","-47°16′00″","2.5","ζ Cen","",""
"","14h03m48s","-60°22′00″","0.6","β Cen","",""
"","14h06m42s","-36°22′00″","2.1","θ Cen","",""
"","14h15m42s","+19°11′00″","0.0","α Boo","",""
"","14h35m30s","-42°08′00″","2.3","η Cen","",""
"","14h39m36s","-60°50′00″","-0.3d","α Cen","",""
"","14h41m54s","-47°22′00″","2.3","α Lup","",""
"","14h45m00s","+27°03′00″","2.6d","ε Boo","",""
"","14h50m42s","+74°09′00″","2.1","β Umi","",""
"","14h50m54s","-16°03′00″","2.8","α Lib","",""
"","14h58m30s","-43°07′00″","2.7","β Lup","",""
"","15h16m00s","-09°22′00″","2.6","β Lib","",""
"","15h34m42s","+26°42′00″","2.2d","α CrB","",""
"","15h44m18s","+06°26′00″","2.7","α Ser","",""
"","15h55m06s","-63°20′00″","2.8","β TrA","",""
"","16h00m18s","-22°37′00″","2.3","δ Sco","",""
"","16h05m24s","-19°48′00″","2.5d","β Sco","",""
"","16h14m18s","-03°42′00″","2.7","δ Oph","",""
"","16h23m60s","+61°30′00″","2.7","η Dra","",""
"","16h29m24s","-26°26′00″","1.0d","α Sco","",""
"","16h30m12s","+21°29′00″","2.8","β Her","",""
"","16h37m12s","-10°33′00″","2.6","ζ Oph","",""
"","16h48m42s","-69°01′00″","1.9","α TrA","",""
"","16h50m12s","-34°17′00″","2.3","ε Sco","",""
"","17h10m24s","-15°43′00″","2.4","η Oph","",""
"","17h25m18s","-55°31′00″","2.8","β Ara","",""
"","17h30m24s","-52°17′00″","2.8","β Dra","",""
"","17h30m48s","-37°17′00″","2.7","ν Sco","",""
"","17h31m48s","-49°52′00″","3.0","α Ara","",""
"","17h33m36s","-37°06′00″","1.6d","λ Sco","",""
"","17h34m36s","+12°33′00″","2.1","α Oph","",""
"","17h37m18s","-43°00′00″","1.9","θ Sco","",""
"","17h42m30s","-39°01′00″","2.4","κ Seo","",""
"","17h43m30s","+04°33′00″","2.8","β Oph","",""
"","17h56m36s","+51°29′00″","2.2","γ Dra","",""
"","18h21m00s","-29°49′00″","2.7","δ Sgr","",""
"","18h24m12s","-34°22′00″","1.9","ε Sgr","",""
"","18h36m54s","+38°46′00″","0.0","α Lyr","",""
"","18h55m18s","-26°18′00″","2.0","σSgr","",""
"","19h02m36s","-29°52′00″","2.6d","ζ Sgr","",""
"","19h30m42s","+27°57′00″","2.9d","β Cyg","",""
"","19h46m18s","+10°37′00″","2.7","γ Aql","",""
"","19h50m48s","+08°52′00″","0.8d","α Aql","",""
"","20h22m12s","+40°15′00″","2.2","γ Cyg","",""
"","20h25m36s","-56°44′00″","1.0d","α Pav","",""
"","20h41m24s","+45°16′00″","1.2","αCyg","",""
"","20h46m12s","+33°58′00″","2.5","ε Cyg","",""
"","21h18m36s","+62°35′00″","2.4","α Cep","",""
"","21h31m36s","-05°33′00″","2.9","β Aqr","",""
"","21h44m12s","+09°52′00″","2.4","ε Peg","",""
"","22h05m48s","-00°19′00″","3.0","α Aqr","",""
"","22h08m12s","-46°58′00″","1.7","α Gru","",""
"","22h18m30s","-60°15′00″","2.0","α Tuc","",""
"","22h42m42s","-46°52′00″","2.1","β Gru","",""
"","22h57m42s","-29°37′00″","1.2","α PsA","",""
"","23h03m48s","+28°04′00″","2.4","β Peg","",""
